"Node1","Node2","Association","Dissimilarity","Adjecency"
"Enterobacteriaceae","Comamonadaceae",1,0,1
"Enterobacteriaceae","Sphingomonadaceae",1,0,1
"Enterobacteriaceae","Rhodospirillaceae",1,0,1
"Enterobacteriaceae","Caulobacteraceae",1,0,1
"Bifidobacteriaceae","Peptostreptococcaceae",0.994152703221659,0.0540707720415602,0.94592922795844
"Planococcaceae","Corynebacteriaceae",0.987453375361387,0.0792042443263403,0.92079575567366
"Rhodospirillaceae","Caulobacteraceae",0.978327402321157,0.10409754482898,0.89590245517102
"Sphingomonadaceae","Caulobacteraceae",0.969313217469838,0.123868443378777,0.876131556621223
"Enterobacteriaceae","Rhodocyclaceae",0.965834922231102,0.13070018701,0.86929981299
"Sphingomonadaceae","Rhodospirillaceae",0.964589468416685,0.133061135541741,0.866938864458259
"Nocardioidaceae","Microbacteriaceae",0.960916175834954,0.139792389215304,0.860207610784696
"Staphylococcaceae","Rhodobacteraceae",0.957788861638764,0.145277559108825,0.854722440891175
"Staphylococcaceae","Planococcaceae",0.957134952851405,0.146398509467471,0.853601490532529
"Bacillaceae","Clostridiaceae",0.953920545785186,0.151788428766514,0.848211571233486
"Sphingomonadaceae","Rhodocyclaceae",0.949581361044701,0.158774429545974,0.841225570454026
"Bacillaceae","Coriobacteriaceae",0.948794190405382,0.160009077234103,0.839990922765897
"Enterobacteriaceae","Aerococcaceae",0.944822062377945,0.166099273962975,0.833900726037025
"Moraxellaceae","Neisseriaceae",0.922890087378924,0.196354160410566,0.803645839589434
"Planococcaceae","Rhodobacteraceae",0.920474348943693,0.199406182271648,0.800593817728352
"Caulobacteraceae","Rhodocyclaceae",0.915515398834414,0.205529318061421,0.794470681938579
"Bacteroidaceae","[Weeksellaceae]",0.910710479399437,0.211293067326596,0.788706932673404
"Clostridiaceae","Coriobacteriaceae",0.90872108855094,0.213633929244701,0.786366070755299
"Rhodospirillaceae","Rhodocyclaceae",0.908467047312153,0.213931008374017,0.786068991625983
