"Node1","Node2","Association","Dissimilarity","Adjecency"
"Gordoniaceae","[Tissierellaceae]",0.846988379382193,0.27659683712744,0.72340316287256
"Moraxellaceae","[Weeksellaceae]",0.825911801432205,0.295032369891674,0.704967630108326
"Lachnospiraceae","Clostridiaceae",0.823158271675583,0.297356459762031,0.702643540237969
"Rhodobacteraceae","Intrasporangiaceae",0.783413129562038,0.329079679134067,0.670920320865933
"Lachnospiraceae","[Paraprevotellaceae]",0.754478718347573,0.350372146190609,0.649627853809391
"Moraxellaceae","Neisseriaceae",0.725848863119871,0.370237178630219,0.629762821369781
"Corynebacteriaceae","Ruminococcaceae",0.722432318220996,0.372537032910155,0.627462967089845
"Xanthomonadaceae","Sphingobacteriaceae",0.714732834552929,0.377668614956995,0.622331385043005
"Bdellovibrionaceae","Bacteriovoracaceae",0.696847062993231,0.38932822721116,0.61067177278884
"Aerococcaceae","Gordoniaceae",0.695696452741786,0.390066370800031,0.609933629199969
"[Paraprevotellaceae]","Porphyromonadaceae",0.684511709328846,0.397170171759634,0.602829828240366
"Lachnospiraceae","Peptostreptococcaceae",0.67383627721466,0.403833952748738,0.596166047251262
"Brucellaceae","Microbacteriaceae",0.660745475641702,0.411858303520943,0.588141696479057
"Ruminococcaceae","Peptostreptococcaceae",0.657465939820363,0.413844209926657,0.586155790073343
"Veillonellaceae","Prevotellaceae",0.655121685548729,0.415257940593116,0.584742059406884
"Rhodobacteraceae","Pseudomonadaceae",0.651383494059055,0.417502398760142,0.582497601239858
"Prevotellaceae","[Paraprevotellaceae]",0.650918152115833,0.417780952105387,0.582219047894613
"Gordoniaceae","Actinomycetaceae",0.649898851038215,0.418390456966805,0.581609543033194
"Aerococcaceae","[Tissierellaceae]",0.646944067005746,0.420152313449691,0.579847686550309
"Prevotellaceae","Spirochaetaceae",0.644679605218049,0.421497565106817,0.578502434893183
"Succinivibrionaceae","Spirochaetaceae",0.643410648256598,0.42224954218057,0.57775045781943
"Micrococcaceae","Intrasporangiaceae",0.643276336064882,0.422329056504,0.577670943496
"Beijerinckiaceae","Polyangiaceae",0.637255457171104,0.425878235431735,0.574121764568265
"Bacteroidaceae","Erythrobacteraceae",0.63205372618733,0.428920898192586,0.571079101807414
"Ruminococcaceae","Lachnospiraceae",0.630831273159785,0.429632823955651,0.570367176044349
"Peptostreptococcaceae","[Paraprevotellaceae]",0.63069002860143,0.429715005206108,0.570284994793892
