"Node1","Node2","Association","Dissimilarity","Adjecency"
"Aeromonadaceae","Cryomorphaceae",0.511539755611213,0.494196440896122,0.505803559103879
"Helicobacteraceae","Methylophilaceae",0.511539754353516,0.494196441532355,0.505803558467645
"Desulfovibrionaceae","Spirochaetaceae",0.503426817843085,0.498283645204674,0.501716354795326
"[Tissierellaceae]","Geodermatophilaceae",0.502354855736352,0.498821182521176,0.501178817478824
"Beutenbergiaceae","Propionibacteriaceae",0.501930983522106,0.499033574260237,0.500966425739763
"Xanthobacteraceae","Promicromonosporaceae",0.412828548208339,0.541835515535693,0.458164484464307
"Lactobacillaceae","Porphyromonadaceae",0.38889187422784,0.552769448220576,0.447230551779424
"Campylobacteraceae","p-2534-18B5",0.368080634661039,0.562102911102122,0.437897088897878
"Ruminococcaceae","Lachnospiraceae",0.338593901367521,0.575067864965727,0.424932135034273
"Streptomycetaceae","Alteromonadaceae",0.329893153876238,0.578837993796089,0.421162006203911
"Cyclobacteriaceae","Dehalobacteriaceae",0.325437632409452,0.580759144392298,0.419240855607702
"Dermatophilaceae","Eubacteriaceae",0.29573941220177,0.593405673969431,0.406594326030569
"Micromonosporaceae","[Chloracidobacteraceae]",0.275054760604953,0.602056990406659,0.397943009593341
"Leuconostocaceae","Acholeplasmataceae",0.271128206663528,0.603685262921198,0.396314737078802
"Beutenbergiaceae","Haloplasmataceae",0.254048250286355,0.610717508228495,0.389282491771505
"Moraxellaceae","Pseudomonadaceae",0.252718052755517,0.611261788125384,0.388738211874616
"[Weeksellaceae]","Xanthomonadaceae",0.246680144438155,0.613726264535682,0.386273735464318
"Micrococcaceae","Dermabacteraceae",0.241166341818614,0.615968204610184,0.384031795389816
"Rhodospirillaceae","C111",0.235082071318301,0.618432667588679,0.381567332411321
"A4b","Acetobacteraceae",0.232148725635361,0.619617331247537,0.380382668752463
"Bradyrhizobiaceae","Bdellovibrionaceae",0.231829061150513,0.619746294401785,0.380253705598215
"Micrococcaceae","Microbacteriaceae",0.226727136122592,0.621800958457531,0.378199041542469
"Lachnospiraceae","F16",0.225011321049723,0.622490433239852,0.377509566760148
"Phyllobacteriaceae","Acetobacteraceae",0.220427863881036,0.624328493711028,0.375671506288972
"Veillonellaceae","Prevotellaceae",0.218586522391549,0.625065387622948,0.374934612377052
"Spirochaetaceae","Elusimicrobiaceae",0.212448668322863,0.627515470596995,0.372484529403005
"Streptococcaceae","Flavobacteriaceae",0.210230341751145,0.628398622790047,0.371601377209953
"Rhodobacteraceae","Sphingobacteriaceae",0.204121609256225,0.630824219075241,0.369175780924759
