"Node1","Node2","Association","Dissimilarity","Adjecency"
"Streptococcaceae","Sphingobacteriaceae",0.847593190305782,0.276049641997792,0.723950358002208
"Aerococcaceae","Corynebacteriaceae",0.847593190045674,0.276049642233355,0.723950357766646
"S24-7","Verrucomicrobiaceae",0.847593189740812,0.276049642509448,0.723950357490552
"Lachnospiraceae","Clostridiaceae",0.847582116397867,0.276059670725491,0.723940329274509
"Moraxellaceae","Pseudomonadaceae",0.692236737502226,0.39227749266162,0.60772250733838
"[Paraprevotellaceae]","Rikenellaceae",0.582036185774116,0.457145389469195,0.542854610530805
"Dermabacteraceae","Beijerinckiaceae",0.533226154677378,0.483101358579451,0.516898641420549
"Actinomycetaceae","Peptococcaceae",0.509521087753872,0.495216574968028,0.504783425031972
"Sphingomonadaceae","p-2534-18B5",0.436652613179312,0.530729397537336,0.469270602462664
"Dehalobacteriaceae","Methylobacteriaceae",0.428002918341325,0.534788314035879,0.465211685964121
"Carnobacteriaceae","[Barnesiellaceae]",0.427970453877759,0.534803490135508,0.465196509864492
"Fusobacteriaceae","Aeromonadaceae",0.427960352108757,0.534808212301963,0.465191787698037
"Micrococcaceae","Intrasporangiaceae",0.427869968209904,0.53485046124599,0.46514953875401
"Bacteroidaceae","Planococcaceae",0.427351912136431,0.535092556415976,0.464907443584024
"Dehalobacteriaceae","Eubacteriaceae",0.425936677188657,0.535753358744182,0.464246641255818
"Carnobacteriaceae","Acholeplasmataceae",0.425936514954002,0.53575343444816,0.46424656555184
"Fusobacteriaceae","[Odoribacteraceae]",0.425936464448044,0.535753458015885,0.464246541984115
"Micrococcaceae","Alcaligenaceae",0.425821355896872,0.535807168719833,0.464192831280167
"Intrasporangiaceae","Alcaligenaceae",0.424115820906281,0.536602357008297,0.463397642991703
"Aeromonadaceae","[Odoribacteraceae]",0.423912576787346,0.536697038939407,0.463302961060593
"[Barnesiellaceae]","Acholeplasmataceae",0.423902576030248,0.536701697393325,0.463298302606675
"Methylobacteriaceae","Eubacteriaceae",0.423870436035954,0.536716668254325,0.463283331745675
"Flavobacteriaceae","Rhizobiaceae",0.412007559493432,0.542214183006387,0.457785816993613
"Flavobacteriaceae","Campylobacteraceae",0.411025360848654,0.54266685874086,0.45733314125914
"Rhizobiaceae","Campylobacteraceae",0.410042975568668,0.543119243090931,0.456880756909069
"Staphylococcaceae","Gordoniaceae",0.405285511013446,0.545304726270805,0.454695273729195
"Peptostreptococcaceae","Coriobacteriaceae",0.404612577387644,0.545613151698324,0.454386848301676
"Staphylococcaceae","F16",0.404566707935153,0.545634168681199,0.454365831318801
"Gordoniaceae","F16",0.404248934661746,0.545779747397361,0.454220252602639
"Oxalobacteraceae","Lactobacillaceae",0.321362627330351,0.582510674867701,0.417489325132299
"[Acidaminobacteraceae]","Rhodocyclaceae",0.286358984983432,0.59734454673018,0.40265545326982
"Haloplasmataceae","Rhodocyclaceae",0.285524016699025,0.597693894607003,0.402306105392997
"Haloplasmataceae","[Acidaminobacteraceae]",0.284689048414597,0.598043038411703,0.401956961588297
"[Acidaminobacteraceae]","Beutenbergiaceae",0.284307401320952,0.598202557115501,0.401797442884499
"Haloplasmataceae","Beutenbergiaceae",0.283472433036516,0.598551404209983,0.401448595790017
"Rhodocyclaceae","Beutenbergiaceae",0.282255817658447,0.599059338605765,0.400940661394235
"Rhodobacteraceae","Beijerinckiaceae",0.27428220850426,0.602377701901282,0.397622298098718
"Rhodobacteraceae","Rhodospirillaceae",0.263622418271379,0.606785621833865,0.393214378166135
"Dietziaceae","Leuconostocaceae",0.246677795948685,0.613727221186789,0.386272778813211
"Neisseriaceae","Bacteriovoracaceae",0.21539773813672,0.626339469402687,0.373660530597313
"Neisseriaceae","Acetobacteraceae",0.215165450544377,0.626432178873189,0.373567821126811
"Bacteriovoracaceae","Acetobacteraceae",0.214933162952045,0.626524874625084,0.373475125374916
"Bdellovibrionaceae","Bacteriovoracaceae",0.213915419162025,0.626930849790459,0.373069150209541
"Bdellovibrionaceae","Acetobacteraceae",0.213683131569761,0.627023471821526,0.372976528178474
"Neisseriaceae","Phyllobacteriaceae",0.213327385345463,0.627165295059659,0.372834704940341
"Bacteriovoracaceae","Phyllobacteriaceae",0.213095097753132,0.627257882472141,0.372742117527859
"Bdellovibrionaceae","Neisseriaceae",0.212433100187392,0.627521672857842,0.372478327142158
"Bdellovibrionaceae","Phyllobacteriaceae",0.21184506637082,0.627755897474958,0.372244102525042
"Acetobacteraceae","Phyllobacteriaceae",0.211257032554187,0.627990034732166,0.372009965267834
