"Node1","Node2","Association","Dissimilarity","Adjecency"
"Sanguibacteraceae","Alteromonadaceae",0.511539745799264,0.494196445859709,0.505803554140291
"Dehalobacteriaceae","Elusimicrobiaceae",0.424585096741598,0.536383679495565,0.463616320504435
"Brucellaceae","Rhodospirillaceae",0.404928101892876,0.545468559179685,0.454531440820315
"Dermatophilaceae","Pasteurellaceae",0.379711390600705,0.556906010651391,0.443093989348609
"Solirubrobacteraceae","Cyclobacteriaceae",0.378668683751532,0.557373894369151,0.442626105630849
"Xanthomonadaceae","Sphingobacteriaceae",0.370364916516723,0.561086037735425,0.438913962264575
"Methylobacteriaceae","C111",0.353457453193686,0.568569497425915,0.431430502574085
"Prevotellaceae","Spirochaetaceae",0.34662399517556,0.571566271233897,0.428433728766103
"Acholeplasmataceae","Eubacteriaceae",0.33411639138884,0.577011095478744,0.422988904521256
"Bdellovibrionaceae","Bacteriovoracaceae",0.331846687434763,0.577993647268392,0.422006352731608
"Aerococcaceae","F16",0.331015242533758,0.578353160908731,0.421646839091269
"Bdellovibrionaceae","Cryomorphaceae",0.314942780508899,0.585259437980756,0.414740562019244
"Moraxellaceae","[Weeksellaceae]",0.313115859960854,0.586039307572089,0.413960692427911
"Beijerinckiaceae","Polyangiaceae",0.303842547168729,0.58998197126322,0.41001802873678
"Rhodobacteraceae","Intrasporangiaceae",0.298374679213366,0.592294403479652,0.407705596520348
"C111","Rhodothermaceae",0.267693802807203,0.60510585734762,0.39489414265238
"Gordoniaceae","[Tissierellaceae]",0.252833979365431,0.611214373454424,0.388785626545576
"Brucellaceae","Microbacteriaceae",0.25161450459749,0.611712961854868,0.388287038145132
"Gordoniaceae","Actinomycetaceae",0.248393115111669,0.613028092703887,0.386971907296113
"Ruminococcaceae","[Paraprevotellaceae]",0.240313863758742,0.616314098589858,0.383685901410142
"Bacillaceae","Erythrobacteraceae",0.230937717608908,0.620105750010066,0.379894249989934
"Intrasporangiaceae","Geodermatophilaceae",0.220827744819044,0.624168348757351,0.375831651242649
"Veillonellaceae","Prevotellaceae",0.218470722978388,0.625111700826985,0.374888299173015
"Sphingobacteriaceae","Acetobacteraceae",0.21418517608586,0.626823270114528,0.373176729885472
"Corynebacteriaceae","Dietziaceae",0.212076471800036,0.627663734893121,0.372336265106879
"Porphyromonadaceae","Rikenellaceae",0.204442155445737,0.63069717161022,0.36930282838978
"Peptostreptococcaceae","Fusobacteriaceae",0.203327774790476,0.631138742753732,0.368861257246268
"Lachnospiraceae","[Paraprevotellaceae]",0.202491763544921,0.631469807851127,0.368530192148873
"Dermabacteraceae","Dietziaceae",0.201343844413506,0.631924107621514,0.368075892378486
"S24-7","Peptococcaceae",0.200822721699611,0.632130239072768,0.367869760927232
"Bacteroidaceae","Erythrobacteraceae",0.19933882550687,0.632716830222308,0.367283169777692
"Beutenbergiaceae","Brevibacteriaceae",0.199095751205249,0.632812866807697,0.367187133192303
