"Node1","Node2","Association","Dissimilarity","Adjecency"
"Rheinheimera","Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio",0.897050284289309,0.226880712832416,0.773119287167584
"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas","Rheinheimera",0.865255565073097,0.259561587033697,0.740438412966303
"Rothia","Micrococcus",0.863660385239966,0.261093483986133,0.738906516013867
"Rheinheimera","Planktophila",0.862977505204762,0.261746532732754,0.738253467267246
"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas","Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio",0.848043418417188,0.275641598441538,0.724358401558462
"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio","Planktophila",0.844994253003761,0.27839337904864,0.72160662095136
"Alysiella","Porphyrobacter",0.816081386948358,0.303247929136905,0.696752070863095
"Staphylococcus","Novosphingobium",0.810084701523817,0.308151990482118,0.691848009517882
"Granulicatella","[Clostridium]",0.809529319775404,0.308602236077929,0.691397763922071
"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas","Planktophila",0.807242538991107,0.310449239819405,0.689550760180595
"Alysiella","Abiotrophia",0.789942999232153,0.324081008983747,0.675918991016253
"Helcobacillus","Micrococcus",0.7834815603998,0.329027688500679,0.670972311499321
"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Elizabethkingia",0.782602054531214,0.329695272538739,0.670304727461261
"Streptococcus","Atopococcus",0.781345768346246,0.330646511892802,0.669353488107198
"Kocuria","Brevundimonas",0.774449436646711,0.335820311590357,0.664179688409643
"Aeromonas","Rheinheimera",0.772239658300965,0.337461362009812,0.662538637990188
"Alysiella","Bibersteinia",0.765511249648461,0.342409659875082,0.657590340124918
"Porphyrobacter","Abiotrophia",0.764987997943279,0.342791483307798,0.657208516692202
"ph2","Campylobacter",0.763722076465684,0.343713487904036,0.656286512095964
"Aeromonas","Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio",0.753739457922405,0.350899232029364,0.649100767970636
"Ochrobactrum","Caldimonas",0.753404442250758,0.351137834581551,0.648862165418449
"Rheinheimera","Halomonas",0.751588335893077,0.352428477926318,0.647571522073682
"Bibersteinia","Porphyrobacter",0.746926079263318,0.355720340110516,0.644279659889484
"Flavobacterium","ph2",0.745805852177678,0.356506765589604,0.643493234410396
"Kocuria","Arthrobacter",0.744567880428508,0.357373837578726,0.642626162421273
"Flavobacterium","Helcococcus",0.744518313408544,0.357408510385145,0.642591489614855
"Flavobacterium","Kribbia",0.74064477189817,0.360107781158523,0.639892218841477
"Flavobacterium","GW-34",0.740578527284618,0.36015376765722,0.63984623234278
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","CF231",0.737086057728071,0.362569953437905,0.637430046562095
"Bibersteinia","Abiotrophia",0.73572954139354,0.36350409805562,0.63649590194438
"Kribbia","Campylobacter",0.735408217872952,0.363725021222797,0.636274978777203
"Aeromonas","Halomonas",0.735170133876347,0.363888627277395,0.636111372722605
"Streptococcus","Granulicatella",0.731919802404157,0.366114871041756,0.633885128958244
"Enhydrobacter","Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio",0.731811695637279,0.366188683852137,0.633811316147863
"Enhydrobacter","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.72942547903974,0.367814165687144,0.632185834312856
"Sporobacter","Lactobacillus",0.729190827137927,0.367973621922871,0.632026378077129
"GW-34","Advenella",0.727484405980065,0.369131137957728,0.630868862042272
"Enhydrobacter","Rheinheimera",0.726872081423274,0.369545611918695,0.630454388081305
"ph2","Kribbia",0.726847151945702,0.369562476486925,0.630437523513075
"Macrococcus","Kocuria",0.726320699697648,0.369918437160377,0.630081562839623
"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio","Halomonas",0.721402354250028,0.373227575180326,0.626772424819674
"Psychrobacter","Elizabethkingia",0.720373826295907,0.373915882053767,0.626084117946233
"ph2","GW-34",0.720330757259079,0.373944676884778,0.626055323115222
"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas","Halomonas",0.719639970203874,0.374406216425506,0.625593783574494
"Kribbia","Advenella",0.715539274173636,0.377134409611722,0.622865590388278
"Flavobacterium","Anaerobiospirillum",0.714998624591156,0.377492632649197,0.622507367350803
"Granulicatella","Psychrobacter",0.714170846538116,0.378040443247732,0.621959556752268
"Alistipes","CF231",0.712100335119414,0.379407211898104,0.620592788101896
"Nitriliruptor","Blastococcus",0.711344770837601,0.37990474408883,0.62009525591117
"Flavobacterium","Campylobacter",0.70895436608378,0.381474529894343,0.618525470105657
"Novosphingobium","Simkania",0.708929468041143,0.381490846521156,0.618509153478844
"Actinobacillus","Pusillimonas",0.70784909398366,0.382198185511352,0.617801814488648
"Aeromonas","Planktophila",0.707375606013632,0.382507773768304,0.617492226231696
"Collinsella","Denitromonas",0.706454993147889,0.383108996796024,0.616891003203976
"Alysiella","Actinobacillus",0.705706022601601,0.383597430516941,0.616402569483059
"Streptococcus","Micrococcus",0.705151131934386,0.383958896280327,0.616041103719673
"Kribbia","Anaerobiospirillum",0.704706891231076,0.384248037580496,0.615751962419504
"Kribbia","GW-34",0.70451592542309,0.384372263942724,0.615627736057276
"Weissella","Prevotella",0.703707493365848,0.384897717994113,0.615102282005886
"Collinsella","Sphingobium",0.703466794547092,0.385054025724253,0.614945974275747
