"Node1","Node2","Association","Dissimilarity","Adjecency"
"Nonlabens","Pseudoxanthomonas",0.79522858846633,0.319977664481187,0.680022335518813
"Atopococcus","Macrococcus",0.791026124852666,0.323244392950082,0.676755607049918
"Macrococcus","Millisia",0.777224325404202,0.333748164486187,0.666251835513813
"Snodgrassella","Gluconacetobacter",0.764966052081923,0.342807488189857,0.657192511810143
"Lactococcus","Nonlabens",0.753542977080797,0.351039187925795,0.648960812074205
"Nonlabens","Mucilaginibacter",0.75281297973093,0.351558686615101,0.648441313384899
"Lactococcus","Pseudoxanthomonas",0.734662643163917,0.364237118396851,0.635762881603149
"Nonlabens","Pedobacter",0.734212396591241,0.364546021380538,0.635453978619462
"Pedobacter","Mucilaginibacter",0.732431622533433,0.365765209845447,0.634234790154553
"Trueperella","ph2",0.72926150573607,0.367925599995386,0.632074400004614
"Nonlabens","Bdellovibrio",0.720708623257256,0.373691969904856,0.626308030095144
"Pseudoxanthomonas","Mucilaginibacter",0.719587919678591,0.374440970195176,0.625559029804824
"Elizabethkingia","Acinetobacter",0.706063389608579,0.383364454789056,0.616635545210944
"Collinsella","Dorea",0.703472304111191,0.38505044857058,0.61494955142942
"Pseudoxanthomonas","Pedobacter",0.701094015056395,0.386591505948854,0.613408494051146
"Faecalibacterium","Collinsella",0.690329120556369,0.393491346438286,0.606508653561713
"Pedobacter","Snodgrassella",0.689550091348978,0.39398598239723,0.60601401760277
"Atopococcus","Millisia",0.689226893422743,0.394191011171777,0.605808988828223
"Pseudoxanthomonas","Bdellovibrio",0.687298509675514,0.395412120656718,0.604587879343282
"Lactococcus","Mucilaginibacter",0.685669061385382,0.396441003564602,0.603558996435398
"Corynebacterium","Macrococcus",0.679352084845131,0.400404742201481,0.599595257798519
"Macrococcus","Atopostipes",0.674575120880723,0.403376300195783,0.596623699804217
"Lactococcus","Pedobacter",0.670989996406173,0.405592161902709,0.594407838097291
"Faecalibacterium","Butyricicoccus",0.670654783701799,0.405798728619374,0.594201271380626
"Mucilaginibacter","Bdellovibrio",0.669064550714289,0.406777242041459,0.593222757958541
"Faecalibacterium","Dorea",0.668640047869937,0.407038052355098,0.592961947644902
"CF231","Alistipes",0.665309193827212,0.409078724802933,0.590921275197067
"Elizabethkingia","Alkanindiges",0.665115401727065,0.409197139697319,0.590802860302681
"Lactococcus","Bdellovibrio",0.65981828933033,0.412420726121803,0.587579273878197
"Lactobacillus","Pediococcus",0.657603719133478,0.413760970166666,0.586239029833334
"Arthrobacter","Nocardioides",0.656209210694979,0.414602694941206,0.585397305058794
"Nonlabens","Snodgrassella",0.65611998371564,0.414656494151702,0.585343505848298
"Collinsella","Butyricicoccus",0.655746675248863,0.414881504017193,0.585118495982807
"Snodgrassella","Bdellovibrio",0.653963400300514,0.415954684851299,0.584045315148701
"Corynebacterium","Millisia",0.653715504451039,0.416103650277765,0.583896349722235
"Granulicatella","Atopostipes",0.65183951602322,0.417229243927592,0.582770756072408
"Nonlabens","Brevundimonas",0.650528559201201,0.418014019381407,0.581985980618593
"Nonlabens","Alkanindiges",0.649685010470657,0.418518213181543,0.581481786818457
"Pseudoxanthomonas","Rhizobium",0.647170007860802,0.420017852084407,0.579982147915593
"Elizabethkingia","Snodgrassella",0.644188422328086,0.421788796479894,0.578211203520106
"Butyricicoccus","Dorea",0.641810658472929,0.423195783017193,0.576804216982806
"Pedobacter","Bdellovibrio",0.638401904499464,0.425204712756418,0.574795287243582
"Kocuria","Lactococcus",0.637888683926396,0.425506354872406,0.574493645127594
"Atopococcus","Atopostipes",0.634412193227069,0.427544036780383,0.572455963219617
"Pseudoxanthomonas","Brevundimonas",0.634383959687306,0.427560545603014,0.572439454396986
"Kocuria","Mucilaginibacter",0.633945198505628,0.427817017832608,0.572182982167392
"Rhizobium","Bdellovibrio",0.63155660273427,0.429210552797651,0.570789447202349
"Atopococcus","Granulicatella",0.630912339100656,0.429585649725025,0.570414350274975
"Elizabethkingia","Pedobacter",0.626523015090069,0.432132494097546,0.567867505902454
"Millisia","Atopostipes",0.625012685842,0.433005377655982,0.566994622344018
"Dietzia","Nocardioides",0.621467603702844,0.435047351616555,0.564952648383445
"Nonlabens","Rhizobium",0.618549259116936,0.436721158683126,0.563278841316874
"Kocuria","Bordetella",0.614582561748794,0.438986012448692,0.561013987551308
"Pseudoxanthomonas","Snodgrassella",0.612616413762478,0.440104298000782,0.559895701999218
"Elizabethkingia","Nonlabens",0.612223184453522,0.440327614138881,0.559672385861119
"Brevundimonas","Bdellovibrio",0.60766898560647,0.442905754305321,0.557094245694679
