"Node1","Node2","Association","Dissimilarity","Adjecency"
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Succinispira",0.971332096976779,0.119724481671923,0.880275518328077
"Gulbenkiania","Acinetobacter",0.944421489420131,0.166701095647073,0.833298904352927
"Lacticigenium","Novosphingobium",0.937915127069659,0.176188638865196,0.823811361134804
"Micrococcus","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.934878902604033,0.18044541750342,0.81955458249658
"Arthrobacter","Acinetobacter",0.934302089217838,0.181242807832699,0.818757192167301
"Arthrobacter","Gulbenkiania",0.9333872492156,0.182500343539951,0.817499656460049
"Brevundimonas","Acinetobacter",0.933284766701012,0.182640676327849,0.817359323672151
"Deinobacterium","Arthrobacter",0.930098363491979,0.18695137938515,0.81304862061485
"Arthrobacter","Helicobacter",0.925038194047851,0.193599852727409,0.806400147272591
"Pelomonas","Helicobacter",0.919683418319031,0.20039533637409,0.79960466362591
"Rothia","Staphylococcus",0.917284484074359,0.203366068858157,0.796633931141843
"Methylotenera","Helicobacter",0.916355965790165,0.204504320504281,0.795495679495719
"Atopostipes","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",0.915454376448086,0.205603530553239,0.794396469446761
"Helcococcus","Succinivibrio",0.911810047146132,0.209988038771103,0.790011961228897
"Brevundimonas","Gulbenkiania",0.91141934379461,0.210452674258834,0.789547325741166
"Sporobacter","Succinispira",0.910210688004882,0.211883590675538,0.788116409324462
"Kocuria","Acinetobacter",0.908994188624147,0.213314101005833,0.786685898994167
"Arthrobacter","Brevundimonas",0.908853404065427,0.21347903402275,0.78652096597725
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Anaerobiospirillum",0.907475701216814,0.215086376582975,0.784913623417025
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.906420032872487,0.216309924792545,0.783690075207455
"Helicobacter","Aeromonas",0.905010700745061,0.217932672234958,0.782067327765042
"Sphingomonas","Helicobacter",0.903816405908457,0.219298420071308,0.780701579928692
"Ornithinimicrobium","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.902737147983649,0.220525340966011,0.779474659033989
"Arthrobacter","Sphingobium",0.902603569414641,0.220676721229675,0.779323278770325
"Papillibacter","Succinispira",0.901252380181472,0.222202182503377,0.777797817496623
"Millisia","Macrococcus",0.898618053585982,0.225146559394118,0.774853440605882
"Rothia","Enhydrobacter",0.898263365513541,0.225540056848511,0.774459943151489
"Macrococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.898019437426337,0.225810277194887,0.774189722805113
"Rhizobium","Helicobacter",0.896638834083266,0.227333637982519,0.772666362017481
"Ornithinimicrobium","Micrococcus",0.895926739845639,0.22811538763788,0.77188461236212
"Granulicatella","Roseburia",0.893914377061072,0.230310250465462,0.769689749534538
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Sporobacter",0.893110383075419,0.231181332426064,0.768818667573936
"Rheinheimera","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.892133831453628,0.232234976420836,0.767765023579164
"Pelomonas","Methylotenera",0.891797116255573,0.232597166518024,0.767402833481976
"[Clostridium]","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.891395926554833,0.233027974120241,0.766972025879759
"ph2","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",0.890218766601739,0.234287465945429,0.765712534054571
"Deinobacterium","Gulbenkiania",0.887809558047183,0.236844296904968,0.763155703095032
"GW-34","Succinivibrio",0.886490355588032,0.238232705995596,0.761767294004404
"Arthrobacter","Pelomonas",0.884968572105026,0.239824339772858,0.760175660227142
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Succinivibrio",0.883540226808238,0.241308695649123,0.758691304350877
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Bacteroides","Helicobacter",0.883188370727385,0.241672949740569,0.758327050259431
"Rhizobium","Paracoccus",0.882883057321166,0.241988576877953,0.758011423122047
"Deinobacterium","Helicobacter",0.882559980996971,0.242322119298908,0.757677880701092
"Arthrobacter","Rhizobium",0.880534499289277,0.24440284440931,0.75559715559069
"Deinobacterium","Acinetobacter",0.879430720082717,0.245529305702276,0.754470694297724
