"Node1","Node2","Association","Dissimilarity","Adjecency"
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Atopostipes",0.95522519721382,0.149624200559568,0.850375799440432
"Succinispira","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.947144547580903,0.162566067214374,0.837433932785626
"Acinetobacter","Brevundimonas",0.946830637864917,0.163048094338884,0.836951905661116
"Lacticigenium","Novosphingobium",0.936943862215922,0.177561451030451,0.822438548969549
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","CF231",0.929547144319283,0.187687047609467,0.812312952390533
"Arthrobacter","Helicobacter",0.923266837564556,0.19587389110783,0.80412610889217
"Granulicatella","Roseburia",0.921573241662861,0.198023683352698,0.801976316647302
"Arthrobacter","Gulbenkiania",0.920149237750718,0.199813365730727,0.800186634269273
"Helcococcus","GW-34",0.917989211092988,0.202497887528502,0.797502112471498
"Helcococcus","Succinivibrio",0.917712488507535,0.202839236209942,0.797160763790058
"Acinetobacter","Gulbenkiania",0.916377407035906,0.204478107586233,0.795521892413767
"Arthrobacter","Deinobacterium",0.91633831811905,0.204525893080742,0.795474106919258
"ph2","Anaerobiospirillum",0.915494573767255,0.2055546475183,0.7944453524817
"Helicobacter","Methylotenera",0.911628480879232,0.210204090256075,0.789795909743925
"Brevundimonas","Gulbenkiania",0.911506888263205,0.210348653117621,0.789651346882379
"Arthrobacter","Acinetobacter",0.908923882470655,0.213396482549907,0.786603517450093
"Succinispira","Sporobacter",0.908702448708677,0.213655740961158,0.786344259038842
"Macrococcus","Bifidobacterium",0.902842939621089,0.220405376952232,0.779594623047767
"Rothia","Staphylococcus",0.899573508609228,0.224083122290336,0.775916877709664
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Anaerobiospirillum",0.895275710727881,0.228827761943475,0.771172238056525
"Arthrobacter","Brevundimonas",0.894092780513262,0.230116513408684,0.769883486591316
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","ph2",0.892590530242657,0.231742820554751,0.768257179445249
"Atopostipes","ph2",0.890883047513346,0.233577559374455,0.766422440625545
"Atopococcus","Roseburia",0.890572980573776,0.233909191168521,0.766090808831479
"Macrococcus","Millisia",0.890045906192094,0.234471846719287,0.765528153280713
"Helicobacter","Rhizobium",0.884559759490996,0.240250120196644,0.759749879803356
"Succinivibrio","GW-34",0.881636826390097,0.243272659386441,0.756727340613559
"Atopococcus","ph2",0.880150896015698,0.244794918231876,0.755205081768124
"Arthrobacter","Sphingobium",0.879017179782932,0.245950015467644,0.754049984532356
"Enhydrobacter","Rothia",0.877890780546143,0.247092310133134,0.752907689866866
"Helicobacter","Pelomonas",0.877618647193045,0.247367492616709,0.752632507383291
"Streptococcus","Nitrobacteria",0.874687857483976,0.250311947893048,0.749688052106952
"Helicobacter","Aeromonas",0.874325415641717,0.250673676677751,0.749326323322249
"Rheinheimera","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.872215276595491,0.25276938442433,0.74723061557567
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","GW-34",0.871461081238358,0.253514219287244,0.746485780712756
"Lactobacillus","Aeriscardovia",0.870725481036085,0.254238587712324,0.745761412287676
"Macrococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.870643583602149,0.254319107026833,0.745680892973167
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Succinivibrio",0.870629944363786,0.254332514276305,0.745667485723695
"Atopococcus","Anaerobiospirillum",0.870532136368478,0.254428637963105,0.745571362036895
"Atopostipes","Anaerobiospirillum",0.869977205971308,0.254973326084016,0.745026673915984
"Micrococcus","Ornithinimicrobium",0.869501418347737,0.255439407347675,0.744560592652325
"Pelomonas","Sphingomonas",0.868374246481356,0.256540204956888,0.743459795043112
"Helicobacter","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Bacteroides",0.868015286599144,0.25688977539098,0.74311022460902
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","[Clostridium]",0.86691110835085,0.257962101527677,0.742037898472323
"Ruminobacter","Massilia",0.865967308801511,0.258875154464936,0.741124845535064
"Gulbenkiania","Deinobacterium",0.860846546872654,0.2637740066111,0.736225993388899
"Anaerobiospirillum","GW-34",0.860345841917295,0.264248139144541,0.735751860855459
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Helcococcus",0.860207882559874,0.264378627578069,0.735621372421931
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Sporobacter",0.860139671454525,0.264443121053918,0.735556878946082
"Ornithinimicrobium","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.859964336436793,0.264608827860303,0.735391172139697
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.859715288072758,0.264844021951829,0.735155978048171
"Arthrobacter","Pelomonas",0.859058923588452,0.265462875381425,0.734537124618575
"Helcococcus","Anaerobiospirillum",0.858248750073299,0.266224763993417,0.733775236006583
"Barnesiella","Brevibacterium",0.857911115668401,0.266541633081588,0.733458366918412
"Arthrobacter","Rhizobium",0.857752976211404,0.266689917121548,0.733310082878452
"Granulicatella","ph2",0.85669323280093,0.267681496558008,0.732318503441991
"Helicobacter","Sphingomonas",0.855490206865313,0.268802709375005,0.731197290624995
"Methylotenera","Pelomonas",0.855124237371495,0.269142864133999,0.730857135866001
"Millisia","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.85177309142543,0.272237863434322,0.727762136565678
"Roseburia","ph2",0.850739571963668,0.273185310765726,0.726814689234274
"Millisia","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.850219810914506,0.273660546193175,0.726339453806825
"Acinetobacter","Kocuria",0.849768765694717,0.274072284539392,0.725927715460608
"Methylotenera","Sphingomonas",0.849568392310523,0.274254997848241,0.725745002151759
"Helicobacter","Deinobacterium",0.84939802205492,0.274410256682471,0.725589743317529
"Enhydrobacter","Gulbenkiania",0.848818894039741,0.274937361921092,0.725062638078908
"Pelomonas","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Bacteroides",0.848293263575813,0.275414901942676,0.724585098057324
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Bacteroides","Sphingomonas",0.847306137044877,0.27630948495765,0.72369051504235
"Atopococcus","Millisia",0.844539510204445,0.278801443500169,0.721198556499831
"Anaerococcus","Barnesiella",0.843235278680079,0.279968499406559,0.720031500593441
"Arthrobacter","Methylotenera",0.841516734802143,0.281498903370739,0.718501096629261
"Methylotenera","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Bacteroides",0.841084175494922,0.28188279878797,0.71811720121203
"Acinetobacter","Deinobacterium",0.840566395487739,0.282341641024009,0.717658358975991
"Succinivibrio","Anaerobiospirillum",0.83912811756232,0.283612307946676,0.716387692053324
"Helcococcus","Prevotella",0.838534166549746,0.284135384500289,0.715864615499711
"Treponema","Butyrivibrio",0.83788759206526,0.284703712598501,0.715296287401499
"Micrococcus","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.83736252403994,0.285164405177136,0.714835594822864
"Arthrobacter","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Bacteroides",0.835183235081626,0.287068602356975,0.712931397643025
"Anaerococcus","Brevibacterium",0.83453774035667,0.287630196296677,0.712369803703323
"Brevibacterium","Isobaculum",0.833943278181885,0.288146422690023,0.711853577309977
"Helicobacter","Paracoccus",0.833192420705123,0.288797142727276,0.711202857272724
"Prevotella","GW-34",0.832727857107757,0.289199017021361,0.710800982978639
"Methylotenera","Aeromonas",0.831915542403814,0.289900377367973,0.710099622632027
"Brevundimonas","Kocuria",0.829781989418191,0.291734477377811,0.708265522622189
"Gulbenkiania","Faecalibacterium",0.829680873820297,0.291821114880077,0.708178885119923
"Granulicatella","[Clostridium]",0.828587378286253,0.292756401905874,0.707243598094126
"Trueperella","Prevotella",0.828419695843278,0.292899559710084,0.707100440289916
"Rhizobium","Paracoccus",0.827378087354617,0.293787263717628,0.706212736282372
"Brevibacterium","Pediococcus",0.826547210851188,0.294493454213173,0.705506545786827
"Treponema","Prevotella",0.824933366099697,0.295860299719566,0.704139700280434
"Succinivibrio","Prevotella",0.82409634112271,0.296566736905279,0.703433263094721
"Enhydrobacter","Acinetobacter",0.823817186719185,0.29680196535806,0.70319803464194
"Atopococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.823676644241732,0.296920322442123,0.703079677557877
"Pelomonas","Aeromonas",0.823622796985356,0.296965657117658,0.703034342882342
"Helicobacter","Dietzia",0.820431605448504,0.299640112928406,0.700359887071594
"Helicobacter","Bibersteinia",0.819851548685121,0.300123683932874,0.699876316067126
"Rhizobium","Aeromonas",0.819496458562712,0.300419324808915,0.699580675191085
"Rhizobium","Bibersteinia",0.819493115451503,0.30042210683345,0.69957789316655
"Granulicatella","Anaerobiospirillum",0.818017861695712,0.30164725948058,0.69835274051942
"Succinispira","Papillibacter",0.817642178369352,0.301958458757697,0.698041541242303
"Butyrivibrio","Massilia",0.815794559927188,0.303484299489127,0.696515700510873
"Aeromonas","Sphingomonas",0.815771991327694,0.30350289016112,0.69649710983888
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Granulicatella",0.815258460831727,0.303925598764133,0.696074401235867
"Herbiconiux","Aquaspirillum",0.815001809349572,0.304136639235088,0.695863360764912
"Helicobacter","Alkanindiges",0.813925408568752,0.305020156244835,0.694979843755165
"Streptococcus","Novosphingobium",0.812490901809746,0.306193646399018,0.693806353600982
"Succinivibrio","ph2",0.811973192118371,0.306616052973119,0.693383947026881
"Sphingobium","Gulbenkiania",0.811836272740457,0.306727670140422,0.693272329859578
"Roseburia","Anaerobiospirillum",0.811672336627109,0.306861258040902,0.693138741959098
"Methylotenera","Dietzia",0.811193830221353,0.3072508501035,0.6927491498965
"Enhydrobacter","Staphylococcus",0.811176251091821,0.307265153335177,0.692734846664823
"Arthrobacter","Sphingomonas",0.81105976284605,0.307359916997931,0.692640083002069
"Barnesiella","Isobaculum",0.811027784428349,0.307385926460249,0.692614073539751
"Atopococcus","Helcococcus",0.810992000021713,0.307415028892771,0.692584971107228
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Papillibacter",0.810388646739638,0.307905304647681,0.692094695352319
"Arthrobacter","Kocuria",0.80831581578278,0.309583740058502,0.690416259941498
"GW-34","Barnesiella",0.808141292951406,0.309724641454788,0.690275358545212
"Macrococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.808001792344545,0.309837221501432,0.690162778498568
"Enhydrobacter","Faecalibacterium",0.807835532294655,0.309971343599166,0.690028656400834
"Deinobacterium","Pelomonas",0.807591751021909,0.310167897257349,0.689832102742651
"Deinobacterium","Faecalibacterium",0.807541383006371,0.310208491980497,0.689791508019503
"Anaerobiospirillum","Barnesiella",0.807087154639005,0.310574343242479,0.689425656757521
"Barnesiella","Pediococcus",0.806722484388563,0.310867749703501,0.689132250296499
"Butyrivibrio","Ruminobacter",0.805963902209794,0.311477204455001,0.688522795544999
"Bifidobacterium","Akkermansia",0.805624257552499,0.311749693221582,0.688250306778418
"Atopococcus","Granulicatella",0.80548068432952,0.311864806984116,0.688135193015884
"Helcococcus","ph2",0.805328211671666,0.31198700960804,0.68801299039196
"Anaerococcus","Pediococcus",0.804986998775881,0.312260309056498,0.687739690943502
