"Node1","Node2","Association","Dissimilarity","Adjecency"
"Atopococcus","Millisia",0.795666479855228,0.319635354853599,0.680364645146401
"Bordetella","Ochrobactrum",0.764241599192548,0.343335405112444,0.656664594887556
"GW-34","ph2",0.742045121299997,0.359134291526167,0.640865708473833
"Helicobacter","Methylotenera",0.739507733366623,0.3608962916361,0.6391037083639
"Helicobacter","Pelomonas",0.732395617313421,0.365789818534209,0.634210181465791
"Methylotenera","Pelomonas",0.716683479361142,0.376375159009504,0.623624840990496
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.709781130350537,0.380932323155612,0.619067676844388
"Acinetobacter","Brevundimonas",0.679114677065699,0.400552944649207,0.599447055350793
"Helicobacter","Gulbenkiania",0.668646671148786,0.407033984362002,0.592966015637998
"Enhydrobacter","Rothia",0.66803670434944,0.407408453306114,0.592591546693886
"Sphingobium","Rheinheimera",0.667904253474246,0.407489721665316,0.592510278334684
"Lactococcus","Peredibacter",0.657064809382878,0.414086458736048,0.585913541263952
"Enhydrobacter","Kocuria",0.65426120590348,0.415775657113617,0.584224342886383
"Enhydrobacter","Brevundimonas",0.65058261441809,0.41798168954029,0.58201831045971
"Rhizobium","Brevundimonas",0.649672304785034,0.418525802797729,0.581474197202271
"Micrococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.645111936788516,0.421241061158266,0.578758938841734
"Succinispira","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.641485326806175,0.423387926843589,0.576612073156411
"Kocuria","Rhizobium",0.635683685930847,0.426799902805256,0.573200097194744
"Atopococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.635564648065291,0.426869624086037,0.573130375913963
"Kerstersia","Dysgonomonas",0.634465091504973,0.427513104182215,0.572486895817785
"Bordetella","Xanthobacter",0.633716225963689,0.427950799763425,0.572049200236575
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","[Clostridium]",0.631268210693592,0.429378498126308,0.570621501873692
"Gulbenkiania","Methylotenera",0.630665495352394,0.429729277945782,0.570270722054218
"Trueperella","Serinibacter",0.628958514446571,0.430721189142947,0.569278810857053
"Nonlabens","Bdellovibrio",0.628703421304697,0.43086922534297,0.56913077465703
"Aeromonas","Methylotenera",0.627095986343557,0.431800887942836,0.568199112057164
"Kribbia","Serinibacter",0.626487093724625,0.432153275051443,0.567846724948557
"Helicobacter","Aeromonas",0.625659875308954,0.432631554958169,0.567368445041831
"Helicobacter","Rheinheimera",0.62118344785667,0.435210611166209,0.564789388833791
"Bdellovibrio","Snodgrassella",0.617919173191099,0.437081701063372,0.562918298936628
"Acinetobacter","Rhizobium",0.616994990242389,0.437609991749281,0.562390008250719
"Enhydrobacter","Acinetobacter",0.616949340841615,0.437636069787663,0.562363930212337
"Nonlabens","Snodgrassella",0.616939714179924,0.437641568992295,0.562358431007705
"Granulicatella","Treponema",0.608719399297122,0.442312446525574,0.557687553474426
"CF231","Oscillospira",0.607708976118322,0.442883180918895,0.557116819081105
"Rheinheimera","Methylotenera",0.607326982211338,0.443098757495811,0.556901242504189
"Granulicatella","Atopostipes",0.603803729369927,0.44508216692543,0.55491783307457
"Trueperella","GW-34",0.602937496315218,0.445568459209571,0.554431540790429
"GW-34","Serinibacter",0.602449564759997,0.445842144284277,0.554157855715723
"Bdellovibrio","Peredibacter",0.601997817385771,0.446095383642461,0.553904616357539
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Succinispira",0.60164769642107,0.44629155469207,0.55370844530793
"Aeromonas","Pelomonas",0.601321402775061,0.446474297818441,0.553525702181559
"Alkanindiges","Bdellovibrio",0.600294101772941,0.447049157379286,0.552950842620714
"Atopococcus","Granulicatella",0.599444643841849,0.44752394134736,0.55247605865264
