"Node1","Node2","Association","Dissimilarity","Adjecency"
"Ochrobactrum","Bordetella",0.83367125571109,0.288382336741443,0.711617663258557
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.803966512190367,0.313076258928741,0.686923741071259
"Trueperella","Serinibacter",0.78988354738843,0.324126867608634,0.675873132391366
"GW-34","ph2",0.777636511956643,0.333439265866632,0.666560734133368
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Psychrobacter",0.777061865766946,0.333869835589451,0.666130164410549
"Streptococcus","Acinetobacter",0.775360561931532,0.335141341875684,0.664858658124316
"Millisia","Atopococcus",0.771910587573735,0.337705058021245,0.662294941978755
"Rothia","Macrococcus",0.768291014914826,0.34037404798631,0.65962595201369
"Kribbia","GW-34",0.766963215331144,0.34134790512676,0.65865209487324
"Kribbia","ph2",0.756973107794385,0.348587788229605,0.651412211770395
"Xanthobacter","Bordetella",0.746394043742117,0.356094057980391,0.643905942019609
"Ochrobactrum","Xanthobacter",0.74614759872717,0.35626703557362,0.64373296442638
"Dysgonomonas","Kerstersia",0.745976044513952,0.356387398406599,0.643612601593401
"Granulicatella","Oscillospira",0.741979846873997,0.359179727383104,0.640820272616895
"Methylotenera","Helicobacter",0.740521768163638,0.360193164729956,0.639806835270044
"Serinibacter","Brooklawnia",0.737657020093151,0.36217604828788,0.63782395171212
"Trueperella","Brooklawnia",0.730846776599176,0.366846850470891,0.633153149529109
"Gulbenkiania","Aeromonas",0.722624593550618,0.372407979539498,0.627592020460502
"Bergeyella","Gulbenkiania",0.722051932090969,0.372792212840499,0.627207787159501
"Rhizobium","Enhydrobacter",0.719375972972547,0.374582452223441,0.625417547776559
"Pelomonas","Helicobacter",0.718184693362959,0.375376681905683,0.624623318094317
"Trueperella","ph2",0.717934324649787,0.375543389870074,0.624456610129926
"Kocuria","Enhydrobacter",0.711912582618617,0.379530906107384,0.620469093892616
"Elizabethkingia","Streptococcus",0.710856427186174,0.380225967559967,0.619774032440033
"Desulfovibrio","Treponema",0.709815392458977,0.380909836799355,0.619090163200645
"Acinetobacter","Enhydrobacter",0.702574264796678,0.385633073791216,0.614366926208784
"Pelomonas","Methylotenera",0.702333690182311,0.385789003094755,0.614210996905245
"[Clostridium]","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.701088805388774,0.386594874908622,0.613405125091378
"Sphingobacterium","Aeromonas",0.700387434286536,0.387048166068168,0.612951833931832
"Trueperella","Kribbia",0.698340734397082,0.388367909077796,0.611632090922204
"Xanthobacter","Porphyrobacter",0.697705379476319,0.388776684308409,0.611223315691591
