"Node1","Node2","Association","Dissimilarity","Adjecency"
"Bordetella","Ochrobactrum",0.855130213497698,0.269137313004256,0.730862686995744
"Trueperella","Serinibacter",0.826357749765759,0.294654246731861,0.705345753268139
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Psychrobacter",0.784969897216985,0.327894878568586,0.672105121431414
"ph2","GW-34",0.783421047015693,0.329073664233638,0.670926335766362
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.770098949421244,0.339043544827767,0.660956455172233
"Bordetella","Xanthobacter",0.768700874025837,0.340072878934915,0.659927121065085
"Kribbia","GW-34",0.768440142393259,0.340264498300029,0.659735501699971
"Kerstersia","Dysgonomonas",0.766615585715533,0.341602410913965,0.658397589086035
"Kribbia","ph2",0.754467778555063,0.350379951941415,0.649620048058585
"Ochrobactrum","Xanthobacter",0.743675447498482,0.357997592520898,0.642002407479102
"Macrococcus","Rothia",0.742606062807172,0.358743597289783,0.641256402710217
"Streptococcus","Acinetobacter",0.742552700150758,0.358780782546419,0.641219217453581
"Trueperella","ph2",0.732394920861816,0.365790294525555,0.634209705474445
"Helicobacter","Methylotenera",0.732035997034604,0.366035519427689,0.633964480572311
"Atopococcus","Millisia",0.730411397450185,0.367143434198281,0.632856565801719
"Enhydrobacter","Rhizobium",0.7291174369962,0.36802347955246,0.63197652044754
"Dysgonomonas","Proteus",0.721165082904747,0.373386473439553,0.626613526560447
"ph2","Serinibacter",0.709632141419152,0.381030089744135,0.618969910255865
"Trueperella","GW-34",0.707205433003061,0.382618979532471,0.617381020467529
"Helicobacter","Pelomonas",0.706687192959401,0.382957443484651,0.617042556515349
"Aeromonas","Gulbenkiania",0.701852564402546,0.386100657599449,0.613899342400551
"Kerstersia","Proteus",0.70162597412095,0.386247346838169,0.61375265316183
"Enhydrobacter","Kocuria",0.701253145241939,0.38648858635027,0.61351141364973
"Bordetella","Dysgonomonas",0.6983477369695,0.388363401359152,0.611636598640848
"Bordetella","Kerstersia",0.696509484841759,0.389544936533798,0.610455063466202
"Aeromonas","Sphingobacterium",0.695779575075644,0.390013092680461,0.609986907319539
"Trueperella","Kribbia",0.694305199079529,0.390957031475628,0.609042968524372
"Bergeyella","Gulbenkiania",0.691511790317206,0.39273923262312,0.60726076737688
"Rheinheimera","Sphingobium",0.688289496972134,0.394785070024099,0.605214929975901
"Granulicatella","Oscillospira",0.686866118451919,0.395685406319263,0.604314593680737
"Kribbia","Serinibacter",0.67997689574786,0.400014439896949,0.599985560103051
"Aeromonas","Methylotenera",0.679350587314984,0.400405677210636,0.599594322789364
"Bergeyella","Aeromonas",0.678624722572603,0.400858626842056,0.599141373157944
"Enhydrobacter","Elizabethkingia",0.678086557975357,0.40119411886557,0.598805881134429
"Helicobacter","Aeromonas",0.676778640331777,0.40200830816553,0.59799169183447
"Bordetella","Proteus",0.675821778454845,0.402602919478458,0.597397080521543
"Methylotenera","Pelomonas",0.672848739516853,0.40444484202617,0.59555515797383
"GW-34","Serinibacter",0.672245213211511,0.404817728606646,0.595182271393354
"Streptococcus","Elizabethkingia",0.671961257968826,0.404993050576904,0.595006949423096
"Corynebacterium","Millisia",0.671813325792116,0.405084358009467,0.594915641990533
"GW-34","Campylobacter",0.671202937100902,0.405460887693929,0.594539112306071
"Xanthobacter","Proteus",0.663983503935663,0.409888092083886,0.590111907916114
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","[Clostridium]",0.662383516740384,0.410862801467605,0.589137198532395
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","[Clostridium]",0.662353925367114,0.410880806702434,0.589119193297566
"Ochrobactrum","Kerstersia",0.66221905751579,0.410962858713662,0.589037141286338
"Enhydrobacter","Acinetobacter",0.661222920241319,0.411568390282029,0.588431609717971
"Acinetobacter","Elizabethkingia",0.660750228243983,0.411855418658063,0.588144581341937
"Kerstersia","Xanthobacter",0.660554479506107,0.411974222794275,0.588025777205725
"Micrococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.659732921731709,0.412472470759135,0.587527529240865
"Dysgonomonas","Xanthobacter",0.655633672400348,0.414949591878129,0.585050408121871
"Aeromonas","Pelomonas",0.654072580030304,0.415889059708052,0.584110940291948
"Micrococcus","[Clostridium]",0.650130748419082,0.418251868842757,0.581748131157243
"Collinsella","Dorea",0.649719570114837,0.418497568622067,0.581502431377933
"Helicobacter","Gulbenkiania",0.648285668697736,0.41935327070518,0.58064672929482
"Treponema","Desulfovibrio",0.648280122183185,0.41935657728049,0.58064342271951
"Collinsella","Selenomonas",0.648238303512645,0.419381506797424,0.580618493202576
"Bifidobacterium","Lacticigenium",0.646030728399464,0.420695419276545,0.579304580723455
"Ochrobactrum","Dysgonomonas",0.645776219004657,0.420846635364561,0.579153364635439
"ph2","Campylobacter",0.645666447495066,0.420911839050017,0.579088160949983
"Succinispira","Eggerthella",0.645397420792027,0.42107159676709,0.57892840323291
"Dorea","Succinivibrio",0.640742793321637,0.423826147540689,0.576173852459311
"Millisia","[Clostridium]",0.639503589116826,0.424556480861601,0.575443519138399
"Dorea","Wautersiella",0.637947730002547,0.425471661804551,0.574528338195449
"Elizabethkingia","Aurantimonas",0.636506203503122,0.426317837122069,0.573682162877931
"Acinetobacter","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.633835863016789,0.427880904565284,0.572119095434716
"Bergeyella","Pedobacter",0.633286077497394,0.428202009863689,0.571797990136311
"Kribbia","Campylobacter",0.632444724002953,0.428692941391066,0.571307058608934
"Dorea","Selenomonas",0.63161397019448,0.429177136975818,0.570822863024182
"Millisia","Trueperella",0.630991502448803,0.429539577659147,0.570460422340853
"Acinetobacter","Brevundimonas",0.626559639503746,0.432111305392635,0.567888694607365
"Selenomonas","Wautersiella",0.626488479083413,0.432152473622787,0.567847526377213
"Collinsella","Arcobacter",0.623178795917855,0.434062901019049,0.565937098980951
"Millisia","Serinibacter",0.622298415360325,0.43456966336807,0.56543033663193
"Succinivibrio","Anaerobiospirillum",0.622292976638451,0.434572792154289,0.565427207845711
"Bifidobacterium","Lysobacter",0.621411274411002,0.435079720045073,0.564920279954927
"Collinsella","Anaerobiospirillum",0.621084219043258,0.435267607890102,0.564732392109898
"Wautersiella","Anaerobiospirillum",0.620241095136041,0.435751594870265,0.564248405129735
"Ochrobactrum","Proteus",0.619951923582073,0.435917467198739,0.564082532801261
"Arthrobacter","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.619660973552852,0.436084296006602,0.563915703993398
"Trueperella","Haloplasma",0.618959333659227,0.436486349351714,0.563513650648286
"Millisia","GW-34",0.617308394996247,0.437430911689922,0.562569088310078
