"Node1","Node2","Association","Dissimilarity","Adjecency"
"Millisia","Macrococcus",0.990647419049326,0.0683834078950233,0.931616592104977
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.988242920182797,0.076671636923973,0.923328363076027
"Prevotella","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.981807227014079,0.0953749783379289,0.904625021662071
"Macrococcus","Atopococcus",0.976159103533529,0.109180805241744,0.890819194758256
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.971614218777954,0.11913391880998,0.88086608119002
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.965271256013445,0.131773942770478,0.868226057229522
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.964743989057098,0.132770499251343,0.867229500748657
"Millisia","Micrococcus",0.952655993337313,0.153857087361432,0.846142912638568
"Papillibacter","Succinispira",0.952381601605018,0.154302298095301,0.845697701904699
"Nonlabens","Pedobacter",0.949062233062145,0.159589734848227,0.840410265151773
"Millisia","Atopococcus",0.948546814158623,0.160395115015042,0.839604884984958
"Collinsella","Kurthia",0.94819221966815,0.160946855097964,0.839053144902036
"Prevotella","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.945950643881865,0.164391843042979,0.835608156957021
"Succinivibrio","Akkermansia",0.945309828499543,0.165363495821262,0.834636504178738
"[Clostridium]","Desulfovibrio",0.944582796616777,0.166459009043102,0.833540990956898
"Lactococcus","Alkanindiges",0.943967604330895,0.167380398597184,0.832619601402816
"Elizabethkingia","Lactococcus",0.942494865509742,0.169565819802014,0.830434180197986
"Barnesiella","Isobaculum",0.942406778787134,0.169695641094381,0.830304358905618
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.942272061167292,0.169893994644761,0.830106005355239
"Bifidobacterium","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",0.940639510388816,0.172279554229722,0.827720445770278
