"Node1","Node2","Association","Dissimilarity","Adjecency"
"Nonlabens","Snodgrassella",0.752403524849723,0.351849737210557,0.648150262789443
"Nonlabens","Bdellovibrio",0.725366675896496,0.370562629054458,0.629437370945542
"Nonlabens","Mucilaginibacter",0.716726053387349,0.376346878964507,0.623653121035493
"ph2","GW-34",0.714243430935536,0.377992439781846,0.622007560218154
"Helicobacter","Methylotenera",0.711060863775385,0.380091525967507,0.619908474032493
"Succinispira","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.705655994906265,0.383630033426565,0.616369966573435
"Nonlabens","Peredibacter",0.704568807635253,0.384337867224105,0.615662132775895
"Bdellovibrio","Snodgrassella",0.704529592426436,0.384363374668792,0.615636625331208
"Snodgrassella","Mucilaginibacter",0.700404973141115,0.387036837302914,0.612963162697086
"Helicobacter","Pelomonas",0.700348850328388,0.387073087201637,0.612926912798363
"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas","Brevundimonas",0.695077467730901,0.390462887013029,0.609537112986971
"Atopococcus","Millisia",0.694881377929634,0.390588416411935,0.609411583588065
"Trueperella","ph2",0.688734564735435,0.394503127531687,0.605496872468313
"Bdellovibrio","Mucilaginibacter",0.684898087655402,0.396926890210652,0.603073109789348
"Pedobacter","Pseudoxanthomonas",0.682875046342004,0.398199041722853,0.601800958277147
"Anaerobiospirillum","Barnesiella",0.681544548769091,0.39903348934075,0.60096651065925
"Pedobacter","Peredibacter",0.677501074427598,0.401558791195263,0.598441208804737
"Lactococcus","Pedobacter",0.675646081866567,0.402712005118691,0.597287994881309
"Lactococcus","Nonlabens",0.670797289115321,0.405710925958791,0.594289074041209
"Enhydrobacter","Kocuria",0.665260091188224,0.409108731764415,0.590891268235585
"Helicobacter","Gulbenkiania",0.664873885488042,0.40934466804391,0.59065533195609
"Pseudoxanthomonas","Peredibacter",0.664005171132932,0.40987487655812,0.59012512344188
"Nonlabens","Ochrobactrum",0.662800618148748,0.410608926992127,0.589391073007873
"Lactococcus","Peredibacter",0.658087330975096,0.413468662068182,0.586531337931818
"Nonlabens","Pedobacter",0.656573970610954,0.414382691113568,0.585617308886432
"Peredibacter","Mucilaginibacter",0.655559937592131,0.414994013455537,0.585005986544463
"Methylotenera","Pelomonas",0.653468028000604,0.416252310503736,0.583747689496265
