"Node1","Node2","Association","Dissimilarity","Adjecency"
"Millisia","Macrococcus",0.947350563092155,0.162248939762091,0.837751060237909
"Macrococcus","Atopococcus",0.939240745665468,0.174297524845495,0.825702475154505
"Millisia","Atopococcus",0.931338753680564,0.185285248089852,0.814714751910148
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.86912918819954,0.255803451697255,0.744196548302745
"Roseburia","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.865436097934793,0.25938764626058,0.74061235373942
"Collinsella","Faecalibacterium",0.857921128057735,0.266532241897922,0.733467758102078
"Dorea","Faecalibacterium",0.855397452837172,0.268888961434667,0.731111038565333
"Macrococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.854375097182929,0.269837824273276,0.730162175726724
"Ornithinimicrobium","Nocardioides",0.852302821530583,0.27175096915137,0.72824903084863
"Atopococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.844937505749162,0.278444333979737,0.721555666020263
"Collinsella","Dorea",0.836145678627575,0.286229210050639,0.713770789949361
"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus","Macrococcus",0.829996635202092,0.291550480018391,0.708449519981609
"Butyricimonas","Faecalibacterium",0.820833659407366,0.299304477574788,0.700695522425212
"Corynebacterium","Micrococcus",0.815776781689495,0.303498944240754,0.696501055759246
"Bifidobacterium","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",0.809377954704732,0.308724833221485,0.691275166778515
"CF231","Treponema",0.809017251664821,0.309016786222997,0.690983213777003
"Millisia","Micrococcus",0.803517456587807,0.313434637055474,0.686565362944526
"Collinsella","Desulfovibrio",0.802073428694246,0.314584306113444,0.685415693886556
"Corynebacterium","Atopococcus",0.801923613574366,0.314703341597792,0.685296658402208
"Micrococcus","Atopococcus",0.800988387658151,0.315445409177126,0.684554590822874
