"Node1","Node2","Association","Dissimilarity","Adjecency"
"Macrococcus","Millisia",0.946297431300619,0.163863615087945,0.836136384912055
"Atopococcus","Macrococcus",0.929404763126567,0.187876604282483,0.812123395717517
"Atopococcus","Millisia",0.927284373403235,0.190677249031925,0.809322750968075
"Faecalibacterium","Collinsella",0.870277860761129,0.254678365039976,0.745321634960024
"Faecalibacterium","Dorea",0.869141132811579,0.255791777808065,0.744208222191935
"Collinsella","Dorea",0.858636672891928,0.2658602331189,0.7341397668811
"Atopococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.833520400752077,0.288513083973607,0.711486916026393
"Bifidobacterium","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",0.830304074968201,0.291286735907936,0.708713264092064
"Roseburia","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.829970931334679,0.291572519851683,0.708427480148317
"Ornithinimicrobium","Nocardioides",0.829575918625991,0.291911015014857,0.708088984985143
"Macrococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.817631717086897,0.301967119826897,0.698032880173103
"Collinsella","Desulfovibrio",0.817234843998015,0.302295514358041,0.697704485641959
"Faecalibacterium","Butyricimonas",0.815487641711244,0.303737023005721,0.696262976994279
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.806272903008549,0.311229093266882,0.688770906733118
"Faecalibacterium","Macellibacteroides",0.803455017683639,0.3134844352726,0.6865155647274
"Collinsella","Butyricimonas",0.795068199711338,0.320102952414268,0.679897047585732
"Dorea","Butyricimonas",0.793290421358612,0.321488396867903,0.678511603132097
"Treponema","CF231",0.793283431389912,0.321493832452574,0.678506167547426
"Corynebacterium","Micrococcus",0.788703867922394,0.325035484276414,0.674964515723586
"Faecalibacterium","Desulfovibrio",0.788568782054231,0.325139368537377,0.674860631462623
"Kocuria","Albidovulum",0.778297192896268,0.332943544090985,0.667056455909015
"Novosphingobium","Elizabethkingia",0.772654729136984,0.33715372670565,0.66284627329435
"Faecalibacterium","Butyricicoccus",0.769465850818182,0.339510050795126,0.660489949204874
"Macrococcus","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.769148652343276,0.339743541260702,0.660256458739298
"Collinsella","Macellibacteroides",0.768855244791129,0.339959376403175,0.660040623596825
"Atopococcus","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.766185145117878,0.341917281577081,0.658082718422919
