"Node1","Node2","Association","Dissimilarity","Adjecency"
"Atopococcus","Granulicatella",0.831133439955331,0.290574052562052,0.709425947437948
"Lactococcus","Nonlabens",0.828540450570922,0.292796473193478,0.707203526806522
"Snodgrassella","Gluconacetobacter",0.815808209990875,0.30347305482458,0.69652694517542
"Atopostipes","Millisia",0.800829000194822,0.31557170326661,0.68442829673339
"Enhydrobacter","Deinococcus",0.78838976188388,0.325276988208604,0.674723011791396
"Atopococcus","Atopostipes",0.771678905199567,0.337876526855916,0.662123473144084
"Lactobacillus","Pediococcus",0.766544965869836,0.341654089782461,0.658345910217539
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","CF231",0.762012050560095,0.344955032895525,0.655044967104475
"Atopostipes","Papillibacter",0.761661045423094,0.34520932387242,0.65479067612758
"Collinsella","Dorea",0.757976646326806,0.347867326486114,0.652132673513886
"Atopococcus","Millisia",0.755448946804851,0.34967917667138,0.65032082332862
"Collinsella","Butyricicoccus",0.749227955378341,0.35409888775712,0.64590111224288
"Micrococcus","Granulicatella",0.744828915960113,0.357191184129653,0.642808815870347
"Deinococcus","Moraxella",0.743829060730478,0.357890303912751,0.642109696087249
"Millisia","ph2",0.738171170922233,0.36182097028625,0.63817902971375
"Atopostipes","Granulicatella",0.736558295546436,0.362933674693851,0.637066325306149
"CF231","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.735737150999088,0.363498864510546,0.636501135489455
"Rothia","Enhydrobacter",0.733803310894331,0.364826458131582,0.635173541868418
"Granulicatella","Millisia",0.729850524751144,0.367525152369777,0.632474847630223
"Enhydrobacter","Moraxella",0.727058082448072,0.369419759590583,0.630580240409417
"Granulicatella","Papillibacter",0.725829212440968,0.370250447372472,0.629749552627528
"Millisia","GW-34",0.721653129265143,0.373059560080463,0.626940439919537
"Collinsella","Succinivibrio",0.719600559677745,0.374432530853193,0.625567469146807
"Butyricicoccus","Dorea",0.716891069581107,0.376237245909342,0.623762754090658
"Lactococcus","Pseudoxanthomonas",0.712940588015952,0.378853145680518,0.621146854319482
"Pseudoxanthomonas","Nonlabens",0.711189274018457,0.380007056501286,0.619992943498714
"Elizabethkingia","Acinetobacter",0.70937483010114,0.381198878473468,0.618801121526532
"Millisia","Papillibacter",0.70535225950464,0.383827917493868,0.616172082506132
"Dorea","Peptostreptococcus",0.701895176078937,0.386073065572479,0.613926934427521
"Butyricicoccus","Peptostreptococcus",0.698358128991132,0.388356711676822,0.611643288323178
"Succinivibrio","Dorea",0.696826092826838,0.389341692587091,0.610658307412909
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.696399331446126,0.389615623758772,0.610384376241228
