"Node1","Node2","Association","Dissimilarity","Adjecency"
"Enhydrobacter","Acinetobacter",0.749809908587415,0.353687779978744,0.646312220021256
"Elizabethkingia","Rhizobium",0.726905575682614,0.369522952140585,0.630477047859415
"Bordetella","Ochrobactrum",0.718846193650498,0.374935865415342,0.625064134584658
"Rhizobium","Brevundimonas",0.707820897231684,0.382216628869229,0.617783371130771
"Bordetella","Kerstersia",0.69712187366368,0.389151722555817,0.610848277444183
"Atopococcus","Millisia",0.693562694916466,0.391431542599427,0.608568457400573
"Helicobacter","Methylotenera",0.689693673065763,0.393894863468818,0.606105136531182
"Elizabethkingia","Acinetobacter",0.687846709207307,0.395065368510512,0.604934631489488
"Ochrobactrum","Xanthobacter",0.670846725205802,0.405680462183107,0.594319537816893
"Pedobacter","Pseudoxanthomonas",0.669652343063756,0.406415831960472,0.593584168039528
"Ornithinimicrobium","Nocardioides",0.660059323968945,0.412274590552859,0.587725409447141
"Bordetella","Xanthobacter",0.647113198468698,0.420051664400525,0.579948335599475
"Albidovulum","Porphyrobacter",0.641237568408653,0.423534196725216,0.576465803274784
"Helicobacter","Pelomonas",0.62993067682212,0.430156554743665,0.569843445256335
"Isobaculum","ph2",0.610899692341489,0.44107839873344,0.55892160126656
"Helicobacter","Gulbenkiania",0.610064036414037,0.44155178834762,0.55844821165238
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus","Prevotella",0.607770274704874,0.442848577560731,0.557151422439269
"Methylotenera","Pelomonas",0.605385872706407,0.444192597469607,0.555807402530393
"Alistipes","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.600832189253819,0.446748145349357,0.553251854650643
"Brevundimonas","Aurantimonas",0.598972786417915,0.447787457161366,0.552212542838634
"Arcobacter","ph2",0.586743324563603,0.454563898388553,0.545436101611447
"Ochrobactrum","Kerstersia",0.582091785775684,0.457114982375505,0.542885017624495
"Porphyrobacter","Brevibacterium",0.578597898352115,0.459021841336491,0.540978158663509
"Enhydrobacter","Elizabethkingia",0.571495691883837,0.462873799278034,0.537126200721966
"Kerstersia","Proteus",0.568771218140975,0.464342966921555,0.535657033078445
"Rhizobium","Aurantimonas",0.56468642317067,0.466537017196562,0.533462982803438
"Bordetella","Porphyrobacter",0.563932176686628,0.466941015179312,0.533058984820688
"Kerstersia","Xanthobacter",0.563553392477404,0.467143772045928,0.532856227954072
"Succinispira","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.561850119663234,0.468054420092774,0.531945579907226
"Kocuria","Staphylococcus",0.560075377865125,0.469001397724396,0.530998602275604
"Arthrobacter","Kocuria",0.556483839918323,0.470911966338549,0.529088033661451
"Dysgonomonas","Proteus",0.555178976736218,0.471604189582632,0.528395810417368
"Kerstersia","Porphyrobacter",0.554883008263069,0.471761058024574,0.528238941975426
"Kerstersia","Dysgonomonas",0.552642719398531,0.472946762649597,0.527053237350403
