"Node1","Node2","Association","Dissimilarity","Adjecency"
"Pantoea","Ochrobactrum",0.763412045984006,0.343938914646187,0.656061085353813
"Enhydrobacter","Rothia",0.756382559409319,0.349011060419782,0.650988939580218
"Micrococcus","Ornithinimicrobium",0.738601772414407,0.361523323995557,0.638476676004443
"Pedobacter","Aeromonas",0.702255742451095,0.385839511681285,0.614160488318715
"Ochrobactrum","Bordetella",0.696318733243789,0.389667336811935,0.610332663188065
"Bordetella","Aeromonas",0.690650110311041,0.393287356578468,0.606712643421532
"Pantoea","Bordetella",0.68979585374444,0.393830005367519,0.606169994632481
"Lactococcus","Streptobacillus",0.684840764560739,0.396962992884262,0.603037007115738
"Micrococcus","[Clostridium]",0.663930304459004,0.409920538361398,0.590079461638602
"Atopostipes","Nitrobacteria",0.657392194596223,0.413888756433282,0.586111243566718
"Pedobacter","Bordetella",0.655473059363792,0.415046347192821,0.584953652807179
"Rothia","Deinococcus",0.654999844224107,0.415331286911962,0.584668713088038
"Lactococcus","Pedobacter",0.643722760756492,0.422064710230261,0.577935289769739
"Corynebacterium","Trueperella",0.637794522174942,0.425561674628401,0.574438325371599
"Macrococcus","Atopococcus",0.634980889110689,0.427211370921533,0.572788629078467
"Psychrobacter","Aeriscardovia",0.633063303652152,0.428332053638207,0.571667946361793
"Pseudoxanthomonas","Pedobacter",0.630037260979422,0.430094605302472,0.569905394697528
"Serinibacter","Brooklawnia",0.622092198581272,0.434688279930992,0.565311720069009
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","[Clostridium]",0.619994187829563,0.435893227849686,0.564106772150314
"Pantoea","Aeromonas",0.618357715427178,0.43683079365632,0.56316920634368
"Corynebacterium","Millisia",0.614639809938091,0.43895340872461,0.56104659127539
"Ochrobactrum","Aeromonas",0.613987167320437,0.439324955289113,0.560675044710887
"Pantoea","Pedobacter",0.60820590988356,0.442602581395793,0.557397418604207
"Macrococcus","Rothia",0.605145431786607,0.444327901562232,0.555672098437768
"Millisia","ph2",0.596620553906983,0.449098789851975,0.550901210148025
"Pseudoxanthomonas","Pantoea",0.594499017771108,0.450278237442635,0.549721762557365
"Ornithinimicrobium","[Clostridium]",0.592563133231032,0.451351784514567,0.548648215485433
"Millisia","GW-34",0.590921626638919,0.452260087428175,0.547739912571825
"Ochrobactrum","Pedobacter",0.590287592579238,0.45261043261328,0.54738956738672
"Bifidobacterium","Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",0.589708763987069,0.452930036546999,0.547069963453001
"Lactococcus","Aeromonas",0.587152908100318,0.454338580741104,0.545661419258896
"Elizabethkingia","Aeromonas",0.585725416000508,0.455123381073469,0.544876618926531
"Pedobacter","Streptobacillus",0.584472287938082,0.455811206565787,0.544188793434213
"Kribbia","Serinibacter",0.583682092819824,0.456244401160264,0.543755598839736
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Succinispira",0.583222827172582,0.456495987292012,0.543504012707988
"Snodgrassella","Sphingomonas",0.579661695802092,0.458442092416211,0.541557907583789
"Millisia","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",0.578804308955471,0.458909408840421,0.541090591159579
"Elizabethkingia","Pseudoxanthomonas",0.573225213275266,0.461938733342818,0.538061266657182
"Ornithinimicrobium","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.572684759071088,0.462231133162248,0.537768866837752
"Serinibacter","GW-34",0.570864628838912,0.463214513568545,0.536785486431455
"Corynebacterium","ph2",0.569615820887124,0.463888014025409,0.536111985974591
"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas","Bordetella",0.56544570753861,0.466129967102197,0.533870032897803
"Lactonifactor","Olsenella",0.565194411494929,0.466264725507447,0.533735274492553
"Pseudoxanthomonas","Aeromonas",0.56126563073571,0.468366506736066,0.531633493263934
"Millisia","[Clostridium]",0.55989918901359,0.469095305341255,0.530904694658745
"Alkanindiges","Snodgrassella",0.558320355802967,0.469935976595234,0.530064023404766
"Lactococcus","Pseudoxanthomonas",0.551945443518035,0.473315199672462,0.526684800327538
"Lacticigenium","Caldimonas",0.545357505941527,0.476782179857046,0.523217820142954
"Trueperella","Serinibacter",0.543488957729128,0.477760945594589,0.522239054405411
"Alistipes","Anaerorhabdus",0.541148618899314,0.478984019097029,0.521015980902971
"Pedobacter","Anaerosinus",0.538010013994051,0.480619384755728,0.519380615244272
"ph2","Serinibacter",0.537008048787636,0.481140286825144,0.518859713174856
"Ornithinimicrobium","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.536626830332649,0.48133832678655,0.51866167321345
"Rhizobium","Lactobacillus",0.535553843575881,0.481895297976707,0.518104702023293
"Enhydrobacter","Gulbenkiania",0.53543321503118,0.481957874180317,0.518042125819683
"Elizabethkingia","Enhydrobacter",0.534781948337352,0.482295579319699,0.517704420680301
"Alistipes","Eggerthella",0.531317037102082,0.484088299227485,0.515911700772515
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Psychrobacter",0.530466707929311,0.484527239724811,0.515472760275189
"Atopostipes","Kurthia",0.529784608849084,0.484879052522852,0.515120947477149
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Aeriscardovia",0.529018847410353,0.485273712758917,0.514726287241083
"Corynebacterium","Kribbia",0.528918455919126,0.485325429006596,0.514674570993404
"Aeromonas","Streptobacillus",0.527532813645258,0.486038674569597,0.513961325430403
"Atopococcus","Ornithinimicrobium",0.527391788029861,0.486111207425903,0.513888792574097
"Micrococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.525914518779373,0.486870352979429,0.513129647020571
