"Node1","Node2","Association","Dissimilarity","Adjecency"
"Nonlabens","Bdellovibrio",0.872853809954256,0.252137056028804,0.747862943971196
"Macrococcus","Millisia",0.86921811900722,0.255716523706213,0.744283476293788
"Snodgrassella","Gluconacetobacter",0.864427875864534,0.260357565796988,0.739642434203012
"Atopococcus","Macrococcus",0.856461127948316,0.267898182199585,0.732101817800415
"Atopococcus","Granulicatella",0.856334931089265,0.26801592201839,0.73198407798161
"Nonlabens","Peredibacter",0.837366441453,0.285160970810347,0.714839029189653
"Pedobacter","Snodgrassella",0.833501547114849,0.288529420410771,0.711470579589229
"Elizabethkingia","Lactococcus",0.821799570265873,0.298496591047642,0.701503408952358
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Prevotella",0.820381677485418,0.299681766641367,0.700318233358633
"Kocuria","Nonlabens",0.819988415822563,0.300009653325886,0.699990346674114
"Alkanindiges","Mucilaginibacter",0.818726553378225,0.301059335199703,0.698940664800296
"Elizabethkingia","Pedobacter",0.818647288022393,0.301125150043638,0.698874849956362
"Lactococcus","Mucilaginibacter",0.809255456942362,0.3088240138474,0.6911759861526
"Bdellovibrio","Peredibacter",0.801770359945286,0.314825062578183,0.685174937421817
"Nonlabens","Mucilaginibacter",0.799704238148119,0.316461499911032,0.683538500088968
"Lactococcus","Pseudoxanthomonas",0.794201854140393,0.320778853620066,0.679221146379934
"Macrococcus","Micrococcus",0.78765065075399,0.325844555920465,0.674155444079535
"Lactococcus","Snodgrassella",0.786950152778587,0.326381561382849,0.673618438617151
"Lactococcus","Pedobacter",0.78159202799737,0.330460263876483,0.669539736123517
"Atopostipes","Millisia",0.780486005486959,0.331295936070034,0.668704063929966
"Lactococcus","Gluconacetobacter",0.775822780978626,0.334796370217312,0.665203629782688
"Elizabethkingia","Snodgrassella",0.772193283080184,0.337495716209714,0.662504283790286
"Lactococcus","Alkanindiges",0.771020702822479,0.338363190357286,0.661636809642715
"Macrococcus","Atopostipes",0.770599709805178,0.338674098651508,0.661325901348492
"Bdellovibrio","Mucilaginibacter",0.769317481895897,0.339619285453656,0.660380714546344
"Kocuria","Bdellovibrio",0.768811302673921,0.339991689108777,0.660008310891223
"Alkanindiges","Nonlabens",0.768178596804572,0.340456607510728,0.659543392489272
"Pedobacter","Gluconacetobacter",0.76546993783601,0.342439821110213,0.657560178889787
"Lactococcus","Nonlabens",0.764999468391633,0.342783117735082,0.657216882264918
"Mucilaginibacter","Peredibacter",0.761902077261373,0.345034724874633,0.654965275125367
"Nonlabens","Brevundimonas",0.760403368199254,0.34611893317236,0.65388106682764
"Collinsella","Dorea",0.760184322458226,0.34627711268706,0.65372288731294
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.759792247878639,0.34656006126021,0.65343993873979
"Pedobacter","Pseudoxanthomonas",0.759580176464554,0.346713010669809,0.653286989330191
"Lactococcus","Kocuria",0.759085978738718,0.347069172688444,0.652930827311556
"Nonlabens","Pseudoxanthomonas",0.75496313987119,0.350026327673226,0.649973672326773
"Kocuria","Pseudoxanthomonas",0.753424049791824,0.35112387430092,0.64887612569908
"Macrococcus","Granulicatella",0.752966851302051,0.351449248610627,0.648550751389373
"Alkanindiges","Bdellovibrio",0.749822193448142,0.353679096464477,0.646320903535523
"Nonlabens","Pedobacter",0.74968312233015,0.35377738598577,0.64622261401423
"Elizabethkingia","Gluconacetobacter",0.749441634541228,0.353947994385313,0.646052005614687
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Prevotella",0.74795972380976,0.354993152180602,0.645006847819398
"Kocuria","Peredibacter",0.74719640315253,0.355530305914608,0.644469694085392
"Snodgrassella","Pseudoxanthomonas",0.744333898464589,0.35753748162634,0.64246251837366
"Lactococcus","Rhizobium",0.740695562882509,0.360072518471967,0.639927481528033
"Kocuria","Pedobacter",0.740498811898628,0.360209097678954,0.639790902321046
"Micrococcus","Granulicatella",0.739725808816301,0.360745194828496,0.639254805171504
"Atopostipes","ph2",0.737766422943698,0.362100522684172,0.637899477315828
"Atopococcus","Millisia",0.737484789574111,0.362294914693741,0.637705085306259
"Kocuria","Mucilaginibacter",0.734790990525248,0.364149014467122,0.635850985532878
"Streptococcus","Pedobacter",0.733985261008193,0.364701754171684,0.635298245828316
"Kocuria","Snodgrassella",0.733645697742583,0.364934447714529,0.635065552285471
"Micrococcus","Millisia",0.733247072132928,0.365207425901413,0.634792574098587
"Acinetobacter","Pedobacter",0.732802471638365,0.365511647120605,0.634488352879395
"Elizabethkingia","Pseudoxanthomonas",0.732623027472652,0.365634361437316,0.634365638562684
"Alkanindiges","Pedobacter",0.729256109365109,0.367929266731318,0.632070733268682
"Elizabethkingia","Enhydrobacter",0.728926197402889,0.368153366545188,0.631846633454812
"Alkanindiges","Peredibacter",0.728664048270123,0.368331339781098,0.631668660218902
"Snodgrassella","Rhizobium",0.727729496254638,0.36896510928905,0.63103489071095
"Pedobacter","Mucilaginibacter",0.72582991699184,0.370249971646292,0.629750028353708
"Lactococcus","Bdellovibrio",0.723137068149646,0.372063792816739,0.627936207183261
"Nonlabens","Rhizobium",0.7230455451452,0.37212528458491,0.62787471541509
"Pedobacter","Rhizobium",0.722921172855232,0.37220883059431,0.62779116940569
"Pseudoxanthomonas","Mucilaginibacter",0.720789189473238,0.373638067203251,0.626361932796749
"Bdellovibrio","Rhizobium",0.720236803904629,0.374007483946091,0.625992516053909
"Trueperella","ph2",0.718538953010219,0.375140671608519,0.624859328391481
"Micrococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.716310541148362,0.376622794617929,0.623377205382071
"Atopostipes","Trueperella",0.715146905183701,0.377394418888448,0.622605581111552
"Macrococcus","ph2",0.714589023301024,0.377763799681081,0.622236200318919
"Rhizobium","Brevundimonas",0.714116698584214,0.378076249859592,0.621923750140408
"Granulicatella","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.713292850128659,0.378620621381972,0.621379378618028
"Millisia","Trueperella",0.712871172290029,0.378898949398102,0.621101050601898
"Kocuria","Brevundimonas",0.712739043035696,0.3789861191154,0.6210138808846
"Nonlabens","Snodgrassella",0.711910589471308,0.379532219006958,0.620467780993042
"Bdellovibrio","Brevundimonas",0.71064958640842,0.380361941834077,0.619638058165923
"Macrococcus","Corynebacterium",0.710364583746668,0.38054921905933,0.61945078094067
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Roseburia",0.709267018618838,0.381269577452202,0.618730422547798
"Elizabethkingia","Alkanindiges",0.708737628910723,0.381616542545837,0.618383457454163
"Dorea","Butyricicoccus",0.70857587060002,0.381722496979141,0.618277503020859
"Pseudoxanthomonas","Rhizobium",0.708117717311086,0.382022435655888,0.617977564344112
"Lactococcus","Enhydrobacter",0.708054915995601,0.382063531369064,0.617936468630936
"Macrococcus","Trueperella",0.706393175170283,0.383149334352624,0.616850665647376
"Pedobacter","Bdellovibrio",0.706357530534511,0.383172591311989,0.616827408688011
"Nonlabens","Ochrobactrum",0.706128421498488,0.383322043784017,0.616677956215983
"Snodgrassella","Mucilaginibacter",0.705699281756775,0.383601823668257,0.616398176331743
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Roseburia",0.70386889793886,0.384792867697116,0.615207132302884
"Trueperella","GW-34",0.70373238591403,0.384881549366795,0.615118450633205
"Atopococcus","GW-34",0.701753274589387,0.386164942356639,0.613835057643361
"Pseudoxanthomonas","Peredibacter",0.700699833119503,0.386846330524471,0.613153669475529
"GW-34","ph2",0.698992856008648,0.387947898558139,0.612052101441861
"Bdellovibrio","Pseudoxanthomonas",0.69609299236978,0.38981213913257,0.61018786086743
"Lactococcus","Peredibacter",0.69562882164751,0.390109714280797,0.609890285719203
"Kocuria","Rhizobium",0.694851948459078,0.390607252583028,0.609392747416972
"Streptococcus","Snodgrassella",0.693517063113403,0.391460685693083,0.608539314306917
"Micrococcus","Atopostipes",0.692943023108753,0.391827115505835,0.608172884494165
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.692638404322569,0.392021425229177,0.607978574770823
"Pedobacter","Peredibacter",0.690872617771493,0.393145890369279,0.606854109630721
"Faecalibacterium","Collinsella",0.689778848295971,0.393840800136317,0.606159199863683
"Bdellovibrio","Ochrobactrum",0.687929296939377,0.395013102985599,0.604986897014401
"Brevundimonas","Peredibacter",0.686285413390037,0.396052134579504,0.603947865420496
"Bdellovibrio","Snodgrassella",0.683384394214469,0.397879131009363,0.602120868990637
"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas","Brevundimonas",0.682405701062785,0.398493600285635,0.601506399714365
"Pseudoxanthomonas","Gluconacetobacter",0.681909223229153,0.398804950302054,0.601195049697946
"Elizabethkingia","Mucilaginibacter",0.680761325190085,0.399523888403382,0.600476111596618
"Faecalibacterium","Dorea",0.677633088063747,0.401476594545842,0.598523405454158
"Atopococcus","Micrococcus",0.677202878248016,0.401744397441946,0.598255602558054
"Succinispira","Alistipes",0.676980486328183,0.401882765039643,0.598117234960357
"Elizabethkingia","Rhizobium",0.676755078693066,0.402022960356081,0.597977039643919
"Granulicatella","GW-34",0.676621895574768,0.40210577241892,0.59789422758108
"Streptococcus","Acinetobacter",0.675549610744654,0.402771889073298,0.597228110926702
"Pseudoxanthomonas","Brevundimonas",0.674854371963356,0.403203191974371,0.596796808025629
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.673945530475006,0.403766312069862,0.596233687930138
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Roseburia",0.67274931807805,0.404506292857077,0.595493707142923
"Gluconacetobacter","Mucilaginibacter",0.672083892462102,0.404917341897021,0.595082658102979
"Alkanindiges","Kocuria",0.671498051082997,0.405278884792314,0.594721115207686
"Elizabethkingia","Acinetobacter",0.670891412423281,0.405652922815009,0.594347077184991
"Collinsella","Butyricicoccus",0.670796125499764,0.405711642980723,0.594288357019277
"Corynebacterium","Micrococcus",0.670731245736647,0.405751619998832,0.594248380001168
"Treponema","Anaerobiospirillum",0.667381610054305,0.4078102438302,0.5921897561698
"Succinispira","Prevotella",0.66704383598274,0.408017256998561,0.591982743001439
"Alkanindiges","Snodgrassella",0.666447361323214,0.408382564929495,0.591617435070505
"Rhizobium","Mucilaginibacter",0.665226557702672,0.409129223044094,0.590870776955906
"Pedobacter","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.665105326478558,0.409203295148904,0.590796704851096
"Ochrobactrum","Peredibacter",0.657766159266492,0.413662809987499,0.586337190012501
"Lactococcus","Brevundimonas",0.657734659607313,0.413681846587862,0.586318153412138
"Succinispira","[Clostridium]",0.657535548054941,0.413802158008546,0.586197841991454
"Alkanindiges","Pseudoxanthomonas",0.65706795080434,0.414084562134149,0.585915437865851
"Granulicatella","Millisia",0.656237076996193,0.414585891585692,0.585414108414308
"Pedobacter","Brevundimonas",0.655652050871096,0.414938519017519,0.585061480982481
"Alkanindiges","Ochrobactrum",0.655223911852581,0.415196392173282,0.584803607826718
"Atopococcus","ph2",0.654350933100748,0.415721701922844,0.584278298077156
"Rhizobium","Gluconacetobacter",0.652386756273808,0.416901213554358,0.583098786445642
"Elizabethkingia","Nonlabens",0.651677418618367,0.417326359928074,0.582673640071926
"Succinispira","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.650786585663319,0.4178596740155,0.5821403259845
"Brevundimonas","Mucilaginibacter",0.650750939688439,0.417880999993755,0.582119000006245
"Millisia","ph2",0.65064317871745,0.417945463716589,0.582054536283411
"Acinetobacter","Rhizobium",0.649766965263425,0.418469254985701,0.581530745014299
"Millisia","GW-34",0.64900998058003,0.418921245235886,0.581078754764115
"Snodgrassella","Peredibacter",0.647693044475658,0.41970641853821,0.58029358146179
"Lactococcus","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.647298970499494,0.419941084856261,0.580058915143739
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.645703949012385,0.420889564486704,0.579110435513296
"Acinetobacter","Snodgrassella",0.644186589379132,0.421789882892459,0.578210117107542
"Rhizobium","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.643541462222338,0.422172084449968,0.577827915550032
