"Node1","Node2","Association","Dissimilarity","Adjecency"
"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus","Bacteria_Proteobacteria_Betaproteobacteria_Neisseriales_Neisseriaceae_Vitreoscilla",0.389999421653674,0.552268312664382,0.447731687335618
"Brevibacterium","Syntrophococcus",0.389999421578506,0.552268312698408,0.447731687301592
"Porphyrobacter","Abiotrophia",0.389999420210976,0.55226831331746,0.44773168668254
"Helcobacillus","Micrococcus",0.388657471751405,0.552875450824413,0.447124549175587
"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas","Wautersiella",0.364210103802895,0.563821734326154,0.436178265673846
"Aeromonas","Dietzia",0.36366493561826,0.564063411498096,0.435936588501904
"Granulicatella","Psychrobacter",0.233634492345857,0.619017571501061,0.380982428498939
"Alysiella","Bibersteinia",0.223279955296141,0.623185383615445,0.376814616384555
"Ornithinicoccus","Pusillimonas",0.221130505407716,0.624047071378548,0.375952928621452
"Atopostipes","Sphingobium",0.21276018962958,0.627391349306962,0.372608650693038
"Ornithinicoccus","Bergeyella",0.204490330979977,0.630678075177829,0.369321924822171
"Rheinheimera","Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio",0.196927044578666,0.633669060086309,0.366330939913691
"Rheinheimera","Planktophila",0.195984401915724,0.634040849663598,0.365959150336402
"Granulicatella","[Clostridium]",0.19558649798058,0.634197722330907,0.365802277669093
"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio","Planktophila",0.195041759252774,0.63441242135823,0.36558757864177
"Sporobacter","Lactobacillus",0.189300544300176,0.636670815924456,0.363329184075544
"[Clostridium]","Bergeyella",0.188800853792019,0.636866997970527,0.363133002029473
"Granulicatella","Elizabethkingia",0.171548171572132,0.643603848818459,0.356396151181541
"Sphingomonas","Halomonas",0.154941612370115,0.65002245639281,0.34997754360719
"Corynebacterium","Ochrobactrum",0.15242034804296,0.650991417745672,0.349008582254328
"Ornithinimicrobium","Helcobacillus",0.142753254083587,0.65469334268664,0.34530665731336
"Millisia","Lactobacillus",0.138458137461314,0.656331418773582,0.343668581226418
"Atopococcus","Corynebacterium",0.137698402315441,0.656620742013439,0.343379257986561
"Streptococcus","Atopococcus",0.120633221707845,0.663086260712796,0.336913739287204
"Ornithinimicrobium","Rothia",0.11190808515044,0.666367734381535,0.333632265618465
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Elizabethkingia",0.105943019818413,0.668601892078383,0.331398107921617
"Staphylococcus","Novosphingobium",0.102301564702188,0.66996210165121,0.33003789834879
"Psychrobacter","Pusillimonas",0.0991603202367536,0.671133250466421,0.328866749533579
"Aeromonas","Brevundimonas",0.0887230251696292,0.67500999060398,0.32499000939602
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Sporobacter",0.0858027767530459,0.676090682988219,0.323909317011781
"Enhydrobacter","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.0733232695672571,0.680689624730957,0.319310375269043
"Kocuria","Brevundimonas",0.0727501115930516,0.680900098548586,0.319099901451414
"Alysiella","Porphyrobacter",0.0699192812187632,0.681938677148186,0.318061322851814
"Alysiella","Abiotrophia",0.0690998156376141,0.682239028626473,0.317760971373527
"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus","Atopostipes",0.0642725429823394,0.684005649471428,0.315994350528572
"Atopostipes","Bacteria_Proteobacteria_Betaproteobacteria_Neisseriales_Neisseriaceae_Vitreoscilla",0.0633953791778326,0.684326172531114,0.315673827468886
"Enhydrobacter","Halomonas",0.0633379309968378,0.684347159343546,0.315652840656454
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus","Millisia",0.0629819547306152,0.684477189272727,0.315522810727273
"Syntrophococcus","Halomonas",0.0629735317278854,0.684480265702421,0.315519734297579
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Millisia",0.062581371039696,0.684623483734054,0.315376516265946
"Brevibacterium","Halomonas",0.0621947250024709,0.684764658476739,0.315235341523261
"Acinetobacter","Halomonas",0.0621267700106588,0.684789467642918,0.315210532357082
"Nocardioides","Ornithinicoccus",0.058887620735771,0.685970983083187,0.314029016916813
"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Elizabethkingia",0.0559821950539107,0.687029040487405,0.312970959512595
"Succinispira","Bacteria_Proteobacteria_Betaproteobacteria_Neisseriales_Neisseriaceae_Vitreoscilla",0.0523085173726536,0.688364541005471,0.311635458994529
"Succinispira","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.0522963701436391,0.688368952617839,0.311631047382161
"Arthrobacter","Aeromonas",0.0503377740278585,0.689079903194158,0.310920096805842
"Olsenella","Defluviitalea",0.0501501479623223,0.689147971061977,0.310852028938023
"Advenella","Anaerobiospirillum",0.0501482726420349,0.689148651365569,0.310851348634431
"Thermomonas","Deinococcus",0.0501481415554222,0.689148698919391,0.310851301080609
"Olsenella","Pediococcus",0.0500625617318978,0.689179743705553,0.310820256294447
"Advenella","Helcococcus",0.0500310682253607,0.689191167882555,0.310808832117445
"Thermomonas","Xanthobacter",0.0500310469710235,0.689191175592439,0.310808824407561
"Papillibacter","Defluviitalea",0.0500000731249323,0.68920241107931,0.31079758892069
"Campylobacter","Anaerobiospirillum",0.0499825386892575,0.689208771458526,0.310791228541474
"Beutenbergia","Deinococcus",0.0499823360265231,0.689208844971347,0.310791155028653
"Olsenella","Acholeplasma",0.0499540242670539,0.689219114553908,0.310780885446092
"Deinococcus","Xanthobacter",0.0499139523866478,0.689233649647691,0.310766350352309
"Anaerobiospirillum","Helcococcus",0.0499138638086891,0.689233681776838,0.310766318223162
"Papillibacter","Pediococcus",0.0499124868945799,0.689234181213258,0.310765818786742
"Pediococcus","Defluviitalea",0.0498829512317169,0.689244894347533,0.310755105652467
"Campylobacter","Helcococcus",0.0498653342726073,0.689251284266991,0.310748715733009
"Beutenbergia","Xanthobacter",0.0498652414424567,0.689251317937638,0.310748682062362
"Campylobacter","Advenella",0.049816804736479,0.68926888630763,0.31073111369237
"Beutenbergia","Thermomonas",0.0498165304982418,0.689268985774697,0.310731014225303
"Papillibacter","Acholeplasma",0.0498039494297577,0.689273548952171,0.310726451047829
"Deinobacterium","Deinococcus",0.0496964029390263,0.689312555036166,0.310687444963834
"Flavobacterium","Anaerobiospirillum",0.049696283474418,0.68931259836361,0.31068740163639
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Defluviitalea",0.0496542692182395,0.689327835932135,0.310672164067865
"Arcobacter","Anaerobiospirillum",0.0496305774947878,0.68933642820658,0.31066357179342
"Bordetella","Deinococcus",0.0496303833961276,0.689336498599876,0.310663501400124
"Deinobacterium","Xanthobacter",0.0495792141117916,0.689355055790631,0.310644944209369
"Flavobacterium","Helcococcus",0.049579079057866,0.689355104768991,0.310644895231009
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Pediococcus",0.0495666829878624,0.689359600285706,0.310640399714294
"Pediococcus","Acholeplasma",0.0495448295974873,0.689367525490762,0.310632474509238
"Deinobacterium","Thermomonas",0.0495306589775581,0.689372664464744,0.310627335535256
"Flavobacterium","Advenella",0.0495305495216221,0.68937270415878,0.31062729584122
"Arcobacter","Helcococcus",0.0495133730781379,0.689378933142674,0.310621066857326
"Bordetella","Xanthobacter",0.0495132888123145,0.689378963701274,0.310621036298726
"Arcobacter","Advenella",0.0494648435420083,0.689396531924114,0.310603468075886
"Bordetella","Thermomonas",0.0494645778676666,0.689396628267188,0.310603371732812
"Dietzia","Sphingomonas",0.0494582636994396,0.689398918007767,0.310601081992233
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Acholeplasma",0.049458145523041,0.689398960862634,0.310601039137366
"Nitriliruptor","Deinococcus",0.0493443105350032,0.689440240145945,0.310559759854055
"ph2","Anaerobiospirillum",0.0493442388923904,0.689440266124488,0.310559733875512
"Papillibacter","Olsenella",0.0493354008549357,0.689443470904274,0.310556529095726
"Alistipes","Defluviitalea",0.0493298355493333,0.689445488944074,0.310554511055926
"Treponema","Defluviitalea",0.0493149088787199,0.689450901486567,0.310549098513433
"GW-34","Anaerobiospirillum",0.0492980707375636,0.689457007094147,0.310542992905853
"Blastococcus","Deinococcus",0.0492979603865674,0.689457047107879,0.310542952892121
"Deinobacterium","Nitriliruptor",0.049244441539548,0.689476452991852,0.310523547008148
"Flavobacterium","ph2",0.049244294307033,0.689476506377471,0.310523493622529
"Alistipes","Pediococcus",0.0492422580494252,0.689477244711736,0.310522755288264
"Treponema","Pediococcus",0.0492273226483181,0.689482660170537,0.310517339829463
"Nitriliruptor","Xanthobacter",0.0492272159514165,0.689482698857841,0.310517301142159
"ph2","Helcococcus",0.0492270344757407,0.689482764659226,0.310517235340774
"Defluviitalea","Acholeplasma",0.0492067079633181,0.689490134823074,0.310509865176926
"GW-34","Helcococcus",0.0491808663209153,0.689499504597025,0.310500495402975
"Blastococcus","Xanthobacter",0.0491808658031846,0.689499504784744,0.310500495215256
"CF231","Defluviitalea",0.0491805794241188,0.689499608620586,0.310500391379414
"Kribbia","Anaerobiospirillum",0.0491794557655511,0.689500016038596,0.310499983961404
"Albidovulum","Deinococcus",0.0491794554290044,0.689500016160622,0.310499983839378
"Deinobacterium","Beutenbergia",0.0491786992120526,0.689500290350899,0.310499709649101
"Flavobacterium","Campylobacter",0.0491785883271249,0.689500330555713,0.310499669444287
"Nitriliruptor","Thermomonas",0.0491785050059587,0.689500360766418,0.310499639233582
"ph2","Advenella",0.0491785049396358,0.689500360790466,0.310499639209534
"Alistipes","Olsenella",0.0491784660148556,0.689500374903866,0.310499625096134
"Alistipes","Acholeplasma",0.0491337239316029,0.689516597359482,0.310483402640518
"GW-34","Advenella",0.0491323367847848,0.689517100301078,0.310482899698922
"Blastococcus","Thermomonas",0.0491321548575195,0.689517166262915,0.310482833737085
"Treponema","Acholeplasma",0.0491187851834753,0.68952201372274,0.31047798627726
"Arcobacter","Campylobacter",0.04911288234753,0.689524153910677,0.310475846089323
"Bordetella","Beutenbergia",0.0491126252374511,0.689524247130784,0.310475752869216
"CF231","Pediococcus",0.0490929931937164,0.689531365061185,0.310468634938815
"Albidovulum","Xanthobacter",0.0490623608456666,0.689542471191707,0.310457528808293
"Kribbia","Helcococcus",0.0490622513489236,0.689542510890763,0.310457489109237
"Alistipes","CF231",0.0490215385748788,0.689557271524679,0.310442728475321
"Kribbia","Advenella",0.0490137218128188,0.689560105497404,0.310439894502596
"Albidovulum","Thermomonas",0.0490136498999777,0.689560131569402,0.310439868430598
"Caldimonas","Brevundimonas",0.0489985246612427,0.689565615202338,0.310434384797662
"CF231","Acholeplasma",0.0489844557289189,0.689570715833801,0.310429284166199
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Olsenella",0.0489694575820138,0.689576153306503,0.310423846693497
"Deinobacterium","Albidovulum",0.0488923983312628,0.689604089919983,0.310395910080017
"Flavobacterium","Kribbia",0.0488922497249493,0.68960414379376,0.31039585620624
"CF231","Olsenella",0.0488583525880871,0.689616432305638,0.310383567694362
"Deinobacterium","Bordetella",0.048846204493315,0.689620836223314,0.310379163776686
"Flavobacterium","Arcobacter",0.0488460815700293,0.689620880785222,0.310379119214778
"Atopococcus","Ornithinimicrobium",0.0488425121476523,0.68962217476396,0.31037782523604
"Nitriliruptor","Beutenbergia",0.0488265523759095,0.689627960433773,0.310372039566227
