"Node1","Node2","Association","Dissimilarity","Adjecency"
"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus","Bacteria_Proteobacteria_Betaproteobacteria_Neisseriales_Neisseriaceae_Vitreoscilla",0.956195970458471,0.147993292992502,0.852006707007498
"Nocardioides","Atopococcus",0.94583710302026,0.16456442048593,0.83543557951407
"Lacticigenium","Denitromonas",0.882494829479233,0.242389325797123,0.757610674202877
"Staphylococcus","Corynebacterium",0.851099775875792,0.272855478343581,0.727144521656419
"Ornithinimicrobium","Bibersteinia",0.657827094314976,0.413625981827196,0.586374018172804
"Rothia","Micrococcus",0.383992259440685,0.554980963889445,0.445019036110555
"Macrococcus","Kocuria",0.321782319202467,0.582330525044641,0.417669474955359
"Bifidobacterium","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.318745045205917,0.583632998893176,0.416367001106824
"Streptococcus","Ornithinimicrobium",0.282979063429121,0.598757436935392,0.401242563064608
"Streptococcus","Bibersteinia",0.282819956431517,0.598823865409723,0.401176134590277
"Collinsella","Sphingobium",0.242787932940919,0.615309705375708,0.384690294624292
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Sphingobium",0.242625588888916,0.615375662141055,0.384624337858945
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Collinsella",0.24246324483683,0.615441611837862,0.384558388162138
"Collinsella","Chloronema",0.241732090751116,0.61573854404645,0.38426145595355
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Chloronema",0.241569746699031,0.61580445488035,0.38419554511965
"Sphingobium","Chloronema",0.240676248561267,0.616167084255047,0.383832915744953
"Collinsella","Atopostipes",0.240428754082856,0.616267493024394,0.383732506975606
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Atopostipes",0.24026641003077,0.616333347292368,0.383666652707632
"Sphingobium","Atopostipes",0.239372911893007,0.616695665667837,0.383304334332163
"Chloronema","Atopostipes",0.238069575224757,0.617223794411412,0.382776205588588
"Brevundimonas","Succinispira",0.0986285429839803,0.671331310537509,0.328668689462491
"Brevundimonas","Caldimonas",0.0986091159991731,0.671338544998284,0.328661455001716
"Succinispira","Caldimonas",0.0985896890144141,0.671345779381082,0.328654220618918
"Brevundimonas","Leifsonia",0.0982858674438306,0.671458908853017,0.328541091146983
"Succinispira","Leifsonia",0.098266440459096,0.671466141939005,0.328533858060995
"Caldimonas","Leifsonia",0.0979431919037963,0.671586482925395,0.328413517074605
"Brevundimonas","Aurantimonas",0.0979352050971473,0.671589456030562,0.328410543969438
"Succinispira","Aurantimonas",0.0979157781123933,0.671596687710566,0.328403312289434
"Novosphingobium","Succinispira",0.097724498380983,0.671667887284712,0.328332112715288
"Novosphingobium","Caldimonas",0.0977050713961993,0.671675118120286,0.328324881879714
"Brevundimonas","Ochrobactrum",0.0975984173545763,0.67171481398188,0.32828518601812
"Caldimonas","Aurantimonas",0.0975925295567082,0.671717005309264,0.328282994690736
"Succinispira","Ochrobactrum",0.0975789903697736,0.671722044312313,0.328277955687687
"Novosphingobium","Leifsonia",0.097381822840956,0.671795421672046,0.328204578327954
"Brevundimonas","Rhizobium",0.0972722397507687,0.67183620036778,0.32816379963222
"Caldimonas","Ochrobactrum",0.0972557418140864,0.671842339461392,0.328157660538608
"Succinispira","Rhizobium",0.0972528127660333,0.671843429391836,0.328156570608164
"Leifsonia","Aurantimonas",0.0972418672081903,0.671847502336583,0.328152497663417
"Novosphingobium","Aurantimonas",0.0970311604938187,0.671925903469341,0.328074096530659
"Brevundimonas","Pedobacter",0.0969464111762578,0.671957434970305,0.328042565029695
"Caldimonas","Rhizobium",0.0969295642106858,0.671963702810395,0.328036297189605
"Succinispira","Pedobacter",0.0969269841914761,0.671964662690131,0.328035337309869
"Leifsonia","Ochrobactrum",0.0969050794655938,0.671972812148827,0.328027187851173
"Novosphingobium","Brevundimonas",0.0968204537780086,0.672004295455762,0.327995704544238
"Novosphingobium","Ochrobactrum",0.0966943727512229,0.67205119866301,0.32794880133699
"Brevundimonas","Sphingomonas",0.0966100798841521,0.672082554496041,0.327917445503959
"Caldimonas","Pedobacter",0.0966037356361982,0.672084914413276,0.327915085586724
"Succinispira","Sphingomonas",0.0965906528993735,0.672089780870319,0.327910219129681
"Leifsonia","Rhizobium",0.096578901862878,0.67209415193748,0.32790584806252
"Aurantimonas","Ochrobactrum",0.0965682917216635,0.67209809859809,0.32790190140191
"Novosphingobium","Rhizobium",0.0963681951477709,0.672172524301696,0.327827475698304
"Caldimonas","Sphingomonas",0.0962674043436134,0.672210010211238,0.327789989788762
"Brevundimonas","Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",0.0962590415810991,0.672213120378835,0.327786879621165
"Leifsonia","Pedobacter",0.0962530732883924,0.672215340018215,0.327784659981785
"Aurantimonas","Rhizobium",0.0962421141192159,0.67221941577166,0.32778058422834
"Succinispira","Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",0.0962396145962706,0.672220345349547,0.327779654650453
"Novosphingobium","Pedobacter",0.0960423665733081,0.672293698254971,0.327706301745029
"Leifsonia","Sphingomonas",0.0959167419951227,0.672340411549416,0.327659588450584
"Caldimonas","Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",0.0959163660405113,0.672340551342654,0.327659448657346
