"Node1","Node2","Association","Dissimilarity","Adjecency"
"Pseudoxanthomonas","Rhizobium",0.511539640575009,0.49419649908968,0.50580350091032
"Lactococcus","Kocuria",0.511539640545739,0.494196499104486,0.505803500895514
"Sharpea","Lactobacillus",0.511539640363426,0.494196499196713,0.505803500803287
"Pediococcus","Butyrivibrio",0.502124496463265,0.498936620993456,0.501063379006544
"Sporobacter","Weissella",0.501386197103316,0.499306420395674,0.500693579604326
"Roseburia","Devriesea",0.45068036507959,0.524079972389906,0.475920027610094
"Succinispira","Barnesiella",0.384363201845119,0.554813841822138,0.445186158177862
"Prevotella","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.37741899535878,0.557934137977423,0.442065862022577
"Macrococcus","Nocardioides",0.370032187898413,0.561234270203445,0.438765729796555
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Succinispira",0.34953189099113,0.570292954984046,0.429707045015954
"Kurthia","Kribbia",0.346009220344342,0.571835107201218,0.428164892798782
"Elizabethkingia","Alkanindiges",0.340985774856979,0.574027100903355,0.425972899096645
"Micrococcus","Granulicatella",0.336493647592753,0.575980187336008,0.424019812663992
"Elizabethkingia","Acinetobacter",0.325420059819942,0.580766708834132,0.419233291165868
"Lactonifactor","Petrimonas",0.317337558951559,0.584235586492487,0.415764413507513
"Atopococcus","Granulicatella",0.288228867692039,0.596561452118707,0.403438547881293
"Isobaculum","Erythrobacter",0.285797359651654,0.597579551335362,0.402420448664638
"Trueperella","Petrimonas",0.281183690047356,0.599506592938161,0.400493407061839
"Kribbia","Helcococcus",0.27849412421755,0.600627120509243,0.399372879490757
"Atopostipes","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.268229563774855,0.604884466747637,0.395115533252363
"Corynebacterium","Macrococcus",0.265834756560972,0.605873437047305,0.394126562952695
"rc4-4","Oscillospira",0.258288125771446,0.608979422570481,0.391020577429519
"rc4-4","Psychrobacter",0.257061326846909,0.609482843545694,0.390517156454306
"Oscillospira","Psychrobacter",0.255834527922618,0.609985849047903,0.390014150952097
"Staphylococcus","Lysobacter",0.244893936663365,0.614453441416286,0.385546558583714
"Corynebacterium","Atopostipes",0.238161846168357,0.617186419905543,0.382813580094457
"Alistipes","Arthrobacter",0.23227223276127,0.619567497226384,0.380432502773616
"Rhodocytophaga","Escherichia",0.23021686277041,0.620396299646279,0.379603700353721
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.224750320769632,0.622595245416462,0.377404754583538
"Brevundimonas","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.223851906509434,0.622955894703054,0.377044105296946
"Sporobacter","Campylobacter",0.216799304757095,0.625779791637164,0.374220208362836
"Anaerobiospirillum","Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",0.201261466669014,0.631956696827792,0.368043303172208
"Alistipes","Anaerorhabdus",0.195148678455182,0.634370286798183,0.365629713201817
"Helcobacillus","Dietzia",0.189595670299127,0.636554918958636,0.363445081041364
"Prevotella","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.187843836620145,0.637242561109918,0.362757438890082
"Papillibacter","YRC22",0.186003136838837,0.637964287073016,0.362035712926984
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","[Clostridium]",0.179761297905731,0.640405614471902,0.359594385528098
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Acholeplasma",0.173611986346541,0.642801685457287,0.357198314542713
"Succinivibrio","Ruminobacter",0.173128892667596,0.642989543978907,0.357010456021093
"Succinivibrio","Albidovulum",0.172186192161624,0.643355969832555,0.356644030167445
"Treponema","Ruminobacter",0.171866830531858,0.643480057759424,0.356519942240576
"Ruminobacter","Albidovulum",0.171243491655684,0.643722187105709,0.356277812894291
"Arthrobacter","Anaerorhabdus",0.171204784623205,0.643737219436936,0.356262780563064
"Treponema","Albidovulum",0.170924129964217,0.643846204475798,0.356153795524202
"Treponema","Succinivibrio",0.17060476835538,0.643970197930238,0.356029802069762
"Escherichia","Weeksella",0.170280546769361,0.644096053873426,0.355903946126574
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.169729347774847,0.64430996120856,0.35569003879144
"Olsenella","Arcobacter",0.166559749569895,0.645538631853317,0.354461368146683
"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Deinococcus",0.165708468378905,0.645868226351589,0.354131773648411
"Brevibacterium","Serinibacter",0.162768038393988,0.647005394724809,0.352994605275191
"Lacticigenium","Sphingomonas",0.162697673884659,0.647032582686274,0.352967417313726
"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus","Serinibacter",0.162075668913487,0.647272867918358,0.352727132081642
"Ornithinimicrobium","Oceaniovalibus",0.160232688550682,0.647984302066538,0.352015697933462
"Alistipes","Serinibacter",0.156467710861281,0.649435250482571,0.350564749517429
"Millisia","Desulfovibrio",0.147069684180303,0.653042998515296,0.346957001484704
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Olsenella",0.141869076567512,0.655030886078087,0.344969113921913
"Macrococcus","Dietzia",0.136318169476228,0.657146038002122,0.342853961997878
"Olsenella","Weissella",0.126306636749505,0.660943780986891,0.339056219013109
"YRC22","Anaerorhabdus",0.124799738901079,0.661513515016481,0.338486484983519
"Staphylococcus","Nitrobacteria",0.122607220773247,0.662341595865288,0.337658404134712
"Ornithinimicrobium","Kribbia",0.121992401166577,0.662573618111008,0.337426381888992
"Atopostipes","Flavobacterium",0.121966806918582,0.662583275174305,0.337416724825695
"Lysobacter","Oceaniovalibus",0.121018475382977,0.662940994590402,0.337059005409598
"ph2","Helcococcus",0.120370968935675,0.663185129154871,0.336814870845129
"Dietzia","Oceaniovalibus",0.117002638763288,0.664453670784018,0.335546329215982
"Elizabethkingia","Novosphingobium",0.114522772452321,0.665386063705755,0.334613936294245
"Corynebacterium","Millisia",0.112951862436704,0.665976027182397,0.334023972817603
"Sporobacter","Acholeplasma",0.110132679122069,0.66703347774978,0.33296652225022
"Roseburia","Novosphingobium",0.109060073023231,0.667435362779336,0.332564637220664
"Pseudoxanthomonas","Ochrobactrum",0.103144661732434,0.669647421509098,0.330352578490902
