"Node1","Node2","Association","Dissimilarity","Adjecency"
"Collinsella","Dorea",0.511539733009923,0.494196452329475,0.505803547670525
"Snodgrassella","Gluconacetobacter",0.50592920274179,0.497026557267421,0.502973442732579
"Nonlabens","Mucilaginibacter",0.401513284045813,0.547031404927627,0.452968595072373
"Trueperella","ph2",0.400409550504034,0.547535592220253,0.452464407779747
"Bordetella","Ochrobactrum",0.397729083223222,0.548758105533202,0.451241894466798
"Atopococcus","Granulicatella",0.36921261812268,0.561599226262519,0.438400773737481
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus","Haloplasma",0.352595267935031,0.56894847396973,0.43105152603027
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Macellibacteroides",0.338859489867147,0.574952393739192,0.425047606260808
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Alistipes",0.338589934292011,0.575069589575031,0.424930410424969
"Arthrobacter","Nocardioides",0.336172974286098,0.576119356433153,0.423880643566847
"Treponema","Succinivibrio",0.325020268577089,0.5809387796588,0.4190612203412
"Lactobacillus","Pediococcus",0.297121471530455,0.592823130650932,0.407176869349068
"Albidovulum","Porphyrobacter",0.276260870247173,0.601555953238278,0.398444046761722
"Anaerococcus","Isobaculum",0.267784125118822,0.605068539456968,0.394931460543032
"CF231","Alistipes",0.22741643779982,0.621523757470372,0.378476242529628
"Papillibacter","YRC22",0.221089878444618,0.624063346766729,0.375936653233271
"Weissella","Olsenella",0.218814962459822,0.624974014475873,0.375025985524127
"Papillibacter","Anaerorhabdus",0.217485736994277,0.62550550077746,0.37449449922254
"Roseburia","Treponema",0.21411373825756,0.626851761480512,0.373148238519488
"[Clostridium]","Sporobacter",0.210102848858399,0.628449342087969,0.371550657912031
"Corynebacterium","Millisia",0.209601718959761,0.628648662227257,0.371351337772743
"Staphylococcus","Deinococcus",0.205659048381348,0.630214626781484,0.369785373218516
"Dietzia","Lysobacter",0.203646902658877,0.631012320537849,0.368987679462151
"Macrococcus","Millisia",0.193951274729994,0.634841998165688,0.365158001834312
"Faecalibacterium","Butyricicoccus",0.189359958921403,0.636647485300381,0.363352514699619
"Nonlabens","Bdellovibrio",0.185594640621097,0.63812434500609,0.36187565499391
"Atopococcus","Macrococcus",0.18543397830369,0.638187285088127,0.361812714911873
