"Node1","Node2","Association","Dissimilarity","Adjecency"
"Kerstersia","Dysgonomonas",0.511539745391358,0.494196446066057,0.505803553933943
"GW-34","ph2",0.481984804759029,0.508927890393605,0.491072109606395
"Bordetella","Ochrobactrum",0.474353161838928,0.512663065843967,0.487336934156033
"Succinispira","Papillibacter",0.461912504852612,0.518694271776442,0.481305728223558
"Anaerobiospirillum","Wautersiella",0.428620801731853,0.534499391144717,0.465500608855283
"Bdellovibrio","Snodgrassella",0.41411058240714,0.541243668597084,0.458756331402916
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","[Clostridium]",0.398105152477882,0.54858675135393,0.45141324864607
"Atopococcus","Millisia",0.357147665802777,0.566944589090161,0.433055410909839
"Isobaculum","Anaerococcus",0.353288950484727,0.568643583237898,0.431356416762102
"Collinsella","Selenomonas",0.299728106582881,0.591722863094337,0.408277136905663
"Selenomonas","Dorea",0.286701777034463,0.597201064535863,0.402798935464137
"Trueperella","Serinibacter",0.282632134046825,0.598902273310586,0.401097726689414
"Helicobacter","Pelomonas",0.269040599191802,0.604549171204542,0.395450828795458
"Bergeyella","Gulbenkiania",0.265879751500895,0.605854870616348,0.394145129383652
"Methylotenera","Pelomonas",0.256446195370049,0.609735108317518,0.390264891682482
"Lactonifactor","Sporobacter",0.250095219064887,0.612333561441439,0.387666438558561
"Succinivibrio","Selenomonas",0.245996230325808,0.614004792193917,0.385995207806083
"Helicobacter","Methylotenera",0.245416179940833,0.614240921812918,0.385759078187082
"Elizabethkingia","Alkanindiges",0.24146848890782,0.615845561440602,0.384154438559398
"Alkanindiges","Pedobacter",0.22753056619679,0.621477849083622,0.378522150916378
"Acinetobacter","Brevundimonas",0.225417496541817,0.622327286666021,0.377672713333979
"Lactococcus","Peredibacter",0.215667476063079,0.626231795718215,0.373768204281785
"Roseburia","Kurthia",0.211122465807589,0.628043602862258,0.371956397137742
"Aeromonas","Sphingobacterium",0.210070131892095,0.628462356910859,0.371537643089141
"Corynebacterium","Pediococcus",0.199514134651534,0.632647558024397,0.367352441975603
"Enhydrobacter","Rothia",0.197095679135101,0.633602525588755,0.366397474411245
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.196267760514091,0.633929112553568,0.366070887446432
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.192934455306368,0.635242294204987,0.364757705795013
"Ornithinimicrobium","Nocardioides",0.187687062400068,0.637304063065634,0.362695936934366
"Sphingobium","Rheinheimera",0.181134758901843,0.639869221442225,0.360130778557775
"CF231","Oscillospira",0.180646169894025,0.640060087064478,0.359939912935522
"Sphingobacterium","Deinobacterium",0.175266515206623,0.642157879650081,0.357842120349919
"CF231","Campylobacter",0.174040721065345,0.642634919271687,0.357365080728313
"Pedobacter","Pseudoxanthomonas",0.17283307714828,0.643104549374252,0.356895450625748
"Succinispira","Akkermansia",0.171773220379715,0.643516425439275,0.356483574560725
"Sporobacter","[Prevotella]",0.16785243771766,0.645037813729683,0.354962186270317
"Kocuria","Rhizobium",0.166574216547816,0.64553302915195,0.35446697084805
"Kribbia","Serinibacter",0.157801718141397,0.648921521394769,0.351078478605231
"Atopococcus","Granulicatella",0.154402825028911,0.650229642115418,0.349770357884582
"Lactobacillus","Desulfovibrio",0.150019628674051,0.651912713223921,0.348087286776079
"Granulicatella","CF231",0.14454665391177,0.654008159768756,0.345991840231244
"Deinococcus","Deinobacterium",0.14084740517208,0.655420702613184,0.344579297386816
"Atopostipes","Isobaculum",0.137123794418374,0.65683948023152,0.34316051976848
"Nonlabens","Bdellovibrio",0.136285329970322,0.657158531113185,0.342841468886815
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","ph2",0.135212179107872,0.657566658557187,0.342433341442813
"Granulicatella","Treponema",0.134915141087042,0.657679579625579,0.342320420374421
"Arthrobacter","Gulbenkiania",0.127552617451483,0.660472324381771,0.339527675618229
"Flavobacterium","Psychrobacter",0.122849552902358,0.662250121592153,0.337749878407847
"Desulfovibrio","Sporobacter",0.122384486167022,0.662425661426615,0.337574338573385
"Arthrobacter","Sphingobacterium",0.121483319160586,0.662765675348163,0.337234324651837
"Kocuria","Sphingobacterium",0.118871456792971,0.663750157516753,0.336249842483247
"Succinispira","Alistipes",0.115885003094383,0.664874047059147,0.335125952940853
"GW-34","Helcococcus",0.114616982248348,0.665350666097078,0.334649333902922
"Micrococcus","Dietzia",0.113286227429808,0.665850498449236,0.334149501550764
"Prevotella","Succinivibrio",0.112200779918828,0.66625791555567,0.33374208444433
"Granulicatella","Roseburia",0.111842999975884,0.666392151823578,0.333607848176422
"Granulicatella","Weissella",0.111072253147186,0.66668123824389,0.33331876175611
"Helcobacillus","Dietzia",0.110957561108601,0.666724245431122,0.333275754568878
"Rothia","Helcobacillus",0.110922365345283,0.666737442571931,0.333262557428069
"Enhydrobacter","Gulbenkiania",0.105353940169988,0.668822121281141,0.331177878718859
