"Node1","Node2","Association","Dissimilarity","Adjecency"
"ph2","GW-34",0.511539731622957,0.494196453031101,0.505803546968899
"Bordetella","Ochrobactrum",0.511539731441368,0.494196453122962,0.505803546877038
"Trueperella","Serinibacter",0.51122563164003,0.494355321787867,0.505644678212133
"Treponema","Desulfovibrio",0.507567777778237,0.49620168390573,0.50379831609427
"Helcococcus","Butyricicoccus",0.507418077366983,0.496277101342092,0.503722898657908
"Aeromonas","Sphingobacterium",0.458181851538924,0.52048926427981,0.47951073572019
"Granulicatella","Oscillospira",0.421053953591984,0.538026972561793,0.461973027438207
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Psychrobacter",0.397157551086004,0.549018419050762,0.450981580949238
"Lactobacillus","Peptostreptococcus",0.368706970947834,0.56182427370672,0.43817572629328
"Pediococcus","Brevibacterium",0.366369946594965,0.562863239786111,0.437136760213889
"Enhydrobacter","Rhizobium",0.348935774359928,0.570554215495807,0.429445784504193
"Atopococcus","Millisia",0.337685146254557,0.575462793647618,0.424537206352382
"[Prevotella]","Sporobacter",0.318390610483252,0.583784801753501,0.416215198246499
"Aeriscardovia","Haloplasma",0.301570075522102,0.590944127848775,0.409055872151225
"Elizabethkingia","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.298086023480968,0.592416228896134,0.407583771103866
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","[Clostridium]",0.27563248861467,0.601817045033343,0.398182954966657
"Streptococcus","Acinetobacter",0.264446691957426,0.606445920112657,0.393554079887343
"Succinispira","Papillibacter",0.262966235996226,0.607055913406572,0.392944086593428
"Helicobacter","Methylotenera",0.258299319626526,0.608974827219268,0.391025172780732
"Kerstersia","Dysgonomonas",0.258284327843879,0.608980981704733,0.391019018295267
"Helicobacter","Pelomonas",0.257061405897716,0.609482811120332,0.390517188879668
"Kerstersia","Proteus",0.257061331005291,0.609482841839993,0.390517158160007
"Dysgonomonas","Proteus",0.255838334166676,0.60998428907363,0.39001571092637
"Methylotenera","Pelomonas",0.255823492175653,0.609990371983176,0.390009628016824
"Macrococcus","Rothia",0.248540896093409,0.612967822934692,0.387032177065308
"Granulicatella","Papillibacter",0.242722760093431,0.615336184498591,0.384663815501409
"Pedobacter","Alkanindiges",0.22324963019399,0.623197548858309,0.376802451141691
"Micrococcus","Devriesea",0.218117434093037,0.625252975165638,0.374747024834362
"Prevotella","Flavobacterium",0.217097489454611,0.625660655046084,0.374339344953916
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.217056567535528,0.625677006315747,0.374322993684253
"Aeromonas","Pseudoxanthomonas",0.216327029819971,0.625968437774633,0.374031562225367
"Micrococcus","Lactonifactor",0.214044579829616,0.626879342525491,0.373120657474509
"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas","Pedobacter",0.180100777020361,0.640273075718337,0.359726924281663
"Bergeyella","Pedobacter",0.16538341518174,0.645994034344846,0.354005965655154
"Arthrobacter","Kocuria",0.163692489871609,0.646648092136825,0.353351907863175
"Campylobacter","Petrimonas",0.156686662601577,0.649350959573643,0.350649040426357
"Rheinheimera","Devriesea",0.142420611954975,0.654820352480368,0.345179647519632
"Granulicatella","[Prevotella]",0.13634306071915,0.65713656848514,0.34286343151486
"Arthrobacter","Sphingobacterium",0.133853524839113,0.658083002044912,0.341916997955088
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Sporobacter",0.12735517588489,0.660547055142595,0.339452944857405
"Kribbia","ph2",0.121967268468034,0.662583101026568,0.337416898973432
"Kribbia","GW-34",0.120800315072686,0.663023259368521,0.336976740631479
"Enhydrobacter","Acinetobacter",0.114725029992622,0.665310066813729,0.334689933186271
"Roseburia","Sporobacter",0.11360901756712,0.665729292743259,0.334270707256741
"Bergeyella","Gulbenkiania",0.112382188785303,0.666189842017535,0.333810157982465
"Ornithinimicrobium","Dietzia",0.10814432365518,0.667778285190834,0.332221714809166
"Corynebacterium","Nocardioides",0.107604206099572,0.667980461503339,0.332019538496661
"Helcobacillus","Dietzia",0.106588360185503,0.668360546342503,0.331639453657497
"CF231","Butyricicoccus",0.105670303596069,0.668703856876843,0.331296143123157
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","[Clostridium]",0.0993631944481997,0.671057674701586,0.328942325298414
"ph2","Campylobacter",0.0990472170867936,0.671175380550124,0.328824619449876
"GW-34","Campylobacter",0.097888690618389,0.671606770879214,0.328393229120786
"Sporobacter","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.096261595895938,0.672212170413502,0.327787829586498
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Campylobacter",0.0935431952703362,0.673222401859023,0.326777598140977
"Sphingomonas","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.0932886786181674,0.673316909553678,0.326683090446322
"Acinetobacter","Alkanindiges",0.0915498915167385,0.673962205351035,0.326037794648965
"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas","Sphingobacterium",0.0911182020380076,0.674122317521825,0.325877682478175
"Streptococcus","Alkanindiges",0.0910282981926853,0.674155657770264,0.325844342229736
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Lactonifactor",0.0907423188075595,0.674261700377695,0.325738299622305
"Arthrobacter","Gulbenkiania",0.0886580543919109,0.67503405306995,0.32496594693005
"Collinsella","Dorea",0.0872469176100459,0.675556467806339,0.324443532193661
"Collinsella","Anaerobiospirillum",0.0870093851514128,0.675644364606332,0.324355635393668
"Collinsella","Selenomonas",0.0868417692478092,0.675706382518395,0.324293617481605
"Wautersiella","Anaerobiospirillum",0.0867718528347562,0.675732249920501,0.324267750079499
"[Clostridium]","Roseburia",0.0867031341403473,0.675757673230446,0.324242326769554
"Dorea","Anaerobiospirillum",0.0866042367893335,0.675794259819757,0.324205740180243
"Dorea","Selenomonas",0.0864366207439549,0.675856264029581,0.324143735970419
"Collinsella","Wautersiella",0.0863754862501455,0.675878877369997,0.324121122630003
"Collinsella","Succinivibrio",0.0862070779308633,0.675941166844104,0.324058833155896
"Arcobacter","Anaerobiospirillum",0.0861379539420526,0.675966732190996,0.324033267809004
"Collinsella","Arcobacter",0.0859753481212147,0.676026867764435,0.323973132235565
"Dorea","Wautersiella",0.0859703378966801,0.676028720581944,0.323971279418056
"Selenomonas","Anaerobiospirillum",0.085969545481353,0.676029013622436,0.323970986377564
"Dorea","Succinivibrio",0.0858019294359492,0.676090996303031,0.323909003696969
"Succinivibrio","Anaerobiospirillum",0.0857378157468273,0.676114703379971,0.323885296620029
"Papillibacter","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.0856770671855799,0.676137165379341,0.323862834620659
"Dorea","Arcobacter",0.0855701997014733,0.676176678205677,0.323823321794323
"Arcobacter","Wautersiella",0.0855040550493979,0.676201133151447,0.323798866848553
"Selenomonas","Wautersiella",0.0853356465886746,0.676263392995409,0.323736607004591
"Selenomonas","Succinivibrio",0.0851672381279713,0.67632564710797,0.32367435289203
"Succinivibrio","Wautersiella",0.0851039168541708,0.676349053058341,0.323650946941659
"Selenomonas","Arcobacter",0.0849355083934715,0.676411299287101,0.323588700712899
"Succinivibrio","Arcobacter",0.0847037786589682,0.676496940621697,0.323503059378303
"Lactonifactor","Oscillospira",0.0845316064116512,0.676560564025257,0.323439435974743
"Rheinheimera","Sphingobium",0.0833880275836197,0.6769830028946,0.3230169971054
"Aeromonas","Gulbenkiania",0.0832749373770536,0.677024764178884,0.322975235821116
"Alistipes","Eggerthella",0.0825884013576896,0.67727822888467,0.32272177111533
"Lactobacillus","Nocardioides",0.0814546933793014,0.677696579090045,0.322303420909955
"Corynebacterium","Brevibacterium",0.0804490564464852,0.678067453707046,0.321932546292954
"Trueperella","Haloplasma",0.0769222496896534,0.679366524900347,0.320633475099653
"Flavobacterium","Petrimonas",0.0762797110993717,0.679602931460948,0.320397068539052
"Serinibacter","Haloplasma",0.0758294470951887,0.679768546236442,0.320231453763558
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Flavobacterium",0.0752200710830632,0.679992620885307,0.320007379114693
"[Prevotella]","Weissella",0.0730371150925753,0.680794713884966,0.319205286115034
"Dysgonomonas","Xanthobacter",0.0715473912898456,0.68134154750395,0.31865845249605
"Xanthobacter","Proteus",0.07089608992942,0.681580483167828,0.318419516832172
"Kerstersia","Xanthobacter",0.0705126342599522,0.681721118104774,0.318278881895226
"Macrococcus","Rheinheimera",0.0698685843879446,0.681957262448335,0.318042737551665
"Elizabethkingia","Aurantimonas",0.0674375640964584,0.682847873213186,0.317152126786814
"Corynebacterium","Millisia",0.0669334794638677,0.683032400599024,0.316967599400976
"Alistipes","Devriesea",0.0652290964734676,0.683655945460336,0.316344054539664
"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas","Alistipes",0.0594568879576625,0.685763484024316,0.314236515975684
"Streptococcus","Sphingomonas",0.059172074667675,0.685867306894098,0.314132693105902
"Bergeyella","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.0586995555065757,0.686039519449654,0.313960480550346
"Granulicatella","CF231",0.0544882629815435,0.687572446007858,0.312427553992142
"Succinispira","Prevotella",0.0538722428564978,0.687796393252939,0.312203606747061
"Brevundimonas","Methylotenera",0.0517272337166402,0.688575619043893,0.311424380956107
"Sphingobium","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.0514466964277347,0.688677465716813,0.311322534283187
"Brevundimonas","Pelomonas",0.0511496726619795,0.688785281251719,0.311214718748281
"Helicobacter","Brevundimonas",0.0508171318524677,0.688905968963665,0.311094031036335
"Campylobacter","Butyricicoccus",0.0506516854942981,0.688966005876089,0.311033994123911
"Rheinheimera","Methylotenera",0.0503584088560544,0.689072416783587,0.310927583216413
"Rheinheimera","Helicobacter",0.0492885251493578,0.689460468355743,0.310539531644257
"Rheinheimera","Pelomonas",0.0492818053876542,0.689462904952959,0.310537095047041
"Enhydrobacter","Kocuria",0.0485881098119586,0.689714393857357,0.310285606142643
"Staphylococcus","Dietzia",0.0478553625878475,0.689979940799786,0.310020059200214
"Helcobacillus","Lactococcus",0.0464687313706096,0.690482175233145,0.309517824766855
"Helcobacillus","Kocuria",0.0463992974612268,0.690507314421351,0.309492685578649
"Atopococcus","ph2",0.0455777481931581,0.69080469447118,0.30919530552882
"Atopococcus","GW-34",0.0445088950545761,0.691191400751421,0.308808599248579
"Rothia","Nocardioides",0.0440211786607975,0.691367782493226,0.308632217506774
"CF231","Oscillospira",0.0423807853543716,0.691960697816584,0.308039302183416
"Petrimonas","Butyricicoccus",0.0399940072191182,0.692822485482711,0.307177514517289
"Helcococcus","Petrimonas",0.0395884781067334,0.692968802289564,0.307031197710436
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Treponema",0.0370660606634081,0.693878209535575,0.306121790464425
"Bergeyella","Lysobacter",0.036964461749508,0.693914814026366,0.306085185973634
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Weissella",0.0355951812788745,0.694407956003215,0.305592043996785
"Acinetobacter","Rothia",0.0337128931213569,0.695085285011359,0.304914714988641
"Brevibacterium","Peptostreptococcus",0.0324430002075303,0.695541875012738,0.304458124987262
"Akkermansia","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.0322307061427406,0.695618176105707,0.304381823894293
"Kocuria","Rhizobium",0.0299430126371248,0.696439870829807,0.303560129170193
"Helcobacillus","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.029693146806772,0.696529559025756,0.303470440974244
"Helcobacillus","Rhizobium",0.0291625063516847,0.696719991692615,0.303280008307385
"Macrococcus","Elizabethkingia",0.0267659573844386,0.69757940143598,0.30242059856402
"Millisia","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",0.0231731810108923,0.698865802207086,0.301134197792914
"Millisia","[Clostridium]",0.0228121993457766,0.698994921531703,0.301005078468297
"Sphingobium","Caldimonas",0.0221730365391897,0.699223484824706,0.300776515175294
"Desulfovibrio","Akkermansia",0.0208802244680442,0.699685563496902,0.300314436503098
"Rheinheimera","Gulbenkiania",0.0201744610040753,0.69993768972528,0.30006231027472
"Millisia","Haloplasma",0.0195960689117898,0.700144246240805,0.299855753759195
"Sphingomonas","Alkanindiges",0.0195602966964374,0.700157019283376,0.299842980716624
"Helcobacillus","Gulbenkiania",0.019257417173892,0.700265157931661,0.299734842068339
"Enhydrobacter","Elizabethkingia",0.0184010314555062,0.700570827448765,0.299429172551235
"Pediococcus","Peptostreptococcus",0.0178255479925695,0.700776159699882,0.299223840300118
"Enhydrobacter","Novosphingobium",0.0166213363001917,0.701205627366113,0.298794372633887
"Lysobacter","Weissella",0.0163404430215059,0.70130576675887,0.29869423324113
"Corynebacterium","Pediococcus",0.0162866627338415,0.701324937980305,0.298675062019695
"Rothia","Helcobacillus",0.0162552567544902,0.701336133122168,0.298663866877832
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","ph2",0.014851546042212,0.701836324921198,0.298163675078802
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","GW-34",0.0148473087794656,0.701837834268193,0.298162165731807
"Lactobacillus","Desulfovibrio",0.0138645727109331,0.702187805109526,0.297812194890474
"Helcococcus","Weissella",0.0125974797497714,0.702638783533271,0.297361216466729
"Alistipes","Treponema",0.0123696429568862,0.702719843551864,0.297280156448136
"Enhydrobacter","Brevundimonas",0.0121193747920186,0.702808873452798,0.297191126547202
"Enhydrobacter","Sphingobacterium",0.0118875417410456,0.70289133522151,0.29710866477849
"Staphylococcus","Alistipes",0.0116666234616618,0.70296990566394,0.29703009433606
"Enhydrobacter","Gulbenkiania",0.0105401723073566,0.703370395912653,0.296629604087347
"Sphingobium","Methylotenera",0.0103249204472893,0.703446899045234,0.296553100954766
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Peptostreptococcus",0.0101621463136999,0.703504745430441,0.296495254569559
"Helicobacter","Sphingobium",0.00973256361943672,0.703657386936485,0.296342613063515
"Sphingobium","Pelomonas",0.00948587237298149,0.703745027558639,0.296254972441361
"Micrococcus","Haloplasma",0.00866979553908381,0.704034872879503,0.295965127120497
"Dysgonomonas","Pseudoxanthomonas",0.00717776478791857,0.70456448789734,0.29543551210266
"Proteus","Pseudoxanthomonas",0.00631255284802409,0.7048714234355,0.2951285765645
"Kerstersia","Pseudoxanthomonas",0.00610382306791965,0.704945450702422,0.295054549297578
"Arsenicicoccus","Denitromonas",0.00557942378017115,0.705131397762087,0.294868602237913
"Staphylococcus","Eggerthella",0.00516146203101686,0.705279567961877,0.294720432038123
"Rhizobium","Gulbenkiania",0.0051010790625628,0.705300971549535,0.294699028450465
"Succinispira","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.00442864253072789,0.705539282205205,0.294460717794795
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Roseburia",0.00437737425407717,0.705557448315133,0.294442551684867
"Corynebacterium","Haloplasma",0.00308979945551704,0.706013526975398,0.293986473024602
"Lactonifactor","Sporobacter",0.00301860630651521,0.70603873608092,0.29396126391908
"Caldimonas","Sphingomonas",0.00269432603735625,0.706153550569083,0.293846449430917
"Staphylococcus","Ornithinimicrobium",0.00262176627130234,0.706179238482943,0.293820761517057
"Roseburia","Weissella",0.00251454404007523,0.706217196038133,0.293782803961867
"Macrococcus","Helcobacillus",0.00247429682706427,0.706231443357252,0.293768556642748
"Rheinheimera","Brevundimonas",0.00154068910658103,0.706561855357837,0.293438144642163
"Succinispira","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.00109829040353052,0.706718370214214,0.293281629785786
"Lacticigenium","Peptostreptococcus",-0.000870613236556766,0.707414522481889,0.292585477518111
"Serinibacter","Sphingomonas",-0.00286681611143583,0.70811962835083,0.29188037164917
"Trueperella","Sphingomonas",-0.00353056384521075,0.708353924195106,0.291646075804894
"Succinispira","Lacticigenium",-0.0066557097051822,0.709456027427064,0.290543972572936
"Psychrobacter","Proteus",-0.00731486109180934,0.709688262933737,0.290311737066263
"Kerstersia","Psychrobacter",-0.00758630634265337,0.709783877790505,0.290216122209495
"Dysgonomonas","Psychrobacter",-0.00836679118103181,0.710058726860332,0.289941273139668
"Ornithinimicrobium","Caldimonas",-0.0111921134229386,0.711052780538456,0.288947219461544
"Lacticigenium","Desulfovibrio",-0.0149249112755855,0.712363990974974,0.287636009025026
"Helcobacillus","Caldimonas",-0.0173571788343072,0.713217070334939,0.286782929665061
"Peptostreptococcus","Denitromonas",-0.0186146126994144,0.713657695502338,0.286342304497662
"Desulfovibrio","Arsenicicoccus",-0.0188397127940926,0.713736545510349,0.286263454489651
"Lacticigenium","Brevibacterium",-0.0196052932069323,0.714004654469049,0.285995345530951
"Kocuria","CF231",-0.0242499344884725,0.71562907098876,0.28437092901124
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Arsenicicoccus",-0.0251750778938764,0.715952190405853,0.284047809594147
"Bifidobacterium","Papillibacter",-0.032709883738104,0.718578417341526,0.281421582658474
"Novosphingobium","CF231",-0.0339415062274769,0.719006782383684,0.280993217616316
"Aurantimonas","Brevibacterium",-0.0353327129315603,0.71949034494271,0.28050965505729
"Xanthobacter","Weissella",-0.0374331221859009,0.720219800542133,0.279780199457867
"Succinispira","Arsenicicoccus",-0.0388852875938515,0.720723694488343,0.279276305511657
"Kocuria","Caldimonas",-0.0459519132490791,0.723170765880742,0.276829234119258
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Lactococcus",-0.0521977679081805,0.725326742891843,0.274673257108157
"Lacticigenium","Eggerthella",-0.0541210746785252,0.725989350706512,0.274010649293488
"Ornithinimicrobium","Sphingobium",-0.0571364716608769,0.727026984251918,0.272973015748082
"Deinococcus","Roseburia",-0.0648477606004743,0.729673817743406,0.270326182256594
"Lactobacillus","Denitromonas",-0.0666864083085988,0.730303501398083,0.269696498601917
"Novosphingobium","Campylobacter",-0.0825076217523499,0.735699538450429,0.264300461549571
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus","Brevundimonas",-0.0841238506190955,0.736248548595885,0.263751451404115
"Aurantimonas","Pediococcus",-0.111222942338627,0.745393500890177,0.254606499109823
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Denitromonas",-0.140597316344707,0.755181208831598,0.244818791168402
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Arsenicicoccus",-0.211266242449606,0.778224338622741,0.221775661377259
"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Dietzia",-0.286473805975621,0.802020512822341,0.197979487177659
"Bifidobacterium","Eggerthella",-0.3007582616471,0.806460867509112,0.193539132490888
"Lacticigenium","Akkermansia",-0.407799366960692,0.838987296376021,0.161012703623979
