"Node1","Node2","Association","Dissimilarity","Adjecency"
"Anaerobiospirillum","Barnesiella",0.484184370452696,0.50784625111706,0.49215374888294
"ph2","GW-34",0.429136449161971,0.534258154284064,0.465741845715936
"Anaerococcus","Succinivibrio",0.346209585555382,0.57174750303111,0.42825249696889
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Aeriscardovia",0.333038255000983,0.57747802772011,0.42252197227989
"Helcococcus","Isobaculum",0.311060631336465,0.58691539793378,0.41308460206622
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","YRC22",0.306656864569701,0.58878821974896,0.41121178025104
"Succinispira","Akkermansia",0.292992739291507,0.59456171282235,0.40543828717765
"ph2","Pediococcus",0.291318528982151,0.595265264826468,0.404734735173532
"Treponema","Oscillospira",0.285538180835493,0.597687970083264,0.402312029916736
"Ochrobactrum","Peredibacter",0.268952855288656,0.60458545496536,0.39541454503464
"Helicobacter","Pelomonas",0.267671305194194,0.605115152184196,0.394884847815804
"Snodgrassella","Mucilaginibacter",0.259302571520361,0.608562826863274,0.391437173136726
"Methylotenera","Pelomonas",0.259203106559959,0.608603686088098,0.391396313911902
"Nonlabens","Snodgrassella",0.256523872861198,0.609703258617994,0.390296741382006
"Nonlabens","Mucilaginibacter",0.255305418587881,0.610202663634025,0.389797336365975
"Pseudoxanthomonas","Peredibacter",0.254952608512771,0.610347192787527,0.389652807212473
"Aeromonas","Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio",0.2533453541771,0.611005174210047,0.388994825789953
"Helicobacter","Methylotenera",0.244022165165497,0.614808032980418,0.385191967019582
"Rothia","Bergeyella",0.242877769300163,0.615273203828932,0.384726796171068
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Helcococcus",0.236384163476843,0.617906075598532,0.382093924401468
"Atopococcus","Millisia",0.236245096885946,0.617962338299857,0.382037661700143
"Elizabethkingia","Rhizobium",0.23298110956768,0.619281394211194,0.380718605788806
"Acinetobacter","Sphingobacterium",0.226301050880715,0.621972245811373,0.378027754188627
"Pedobacter","Peredibacter",0.226258851104271,0.621989207661889,0.378010792338111
"GW-34","Petrimonas",0.205588276392556,0.630242700714353,0.369757299285647
"Sphingobium","Sphingomonas",0.204125177302683,0.630822805032173,0.369177194967827
"Micrococcus","Ornithinimicrobium",0.202457982434416,0.631483181710164,0.368516818289836
"Acinetobacter","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.192474955465929,0.635423104920678,0.364576895079322
"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas","Brevundimonas",0.179783923349671,0.640396781944729,0.359603218055271
"Haloplasma","Campylobacter",0.179329695423632,0.640574080250039,0.359425919749961
"Enhydrobacter","Gulbenkiania",0.176259200453462,0.64177129865184,0.35822870134816
"Deinococcus","Deinobacterium",0.173387097150725,0.642889143962346,0.357110856037654
"Roseburia","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.165778884231287,0.645840969499734,0.354159030500266
"Alkanindiges","Brevundimonas",0.164794848024509,0.646221769973548,0.353778230026452
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Lactonifactor",0.163356703907281,0.646777896998931,0.353222103001069
"Gulbenkiania","Sphingobacterium",0.160743006204788,0.647787385565361,0.352212614434639
"Kribbia","Serinibacter",0.157382791235113,0.649082894846601,0.350917105153399
"Corynebacterium","Millisia",0.156525922991896,0.649412841345205,0.350587158654795
"Aeromonas","Methylotenera",0.15418853242977,0.650312028018177,0.349687971981823
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.15387193865877,0.650433725040926,0.349566274959074
"Pedobacter","Sphingobacterium",0.15351400485127,0.650571285543994,0.349428714456006
"Prevotella","Barnesiella",0.151212241994821,0.651455201071102,0.348544798928898
"Succinispira","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.147392998799699,0.652919214451643,0.347080785548357
"Roseburia","Treponema",0.147350413878567,0.652935519833863,0.347064480166137
"ph2","Serinibacter",0.14718283959588,0.652999678561988,0.347000321438012
"Alistipes","Oscillospira",0.143246413511636,0.654504998639569,0.345495001360431
"Arthrobacter","Aeromonas",0.141356166694242,0.655226614731788,0.344773385268212
"Wautersiella","Isobaculum",0.141293757619707,0.655250426318172,0.344749573681828
"Granulicatella","Barnesiella",0.137551766977537,0.656676569180926,0.343323430819074
"Succinispira","Papillibacter",0.137346382946311,0.65675475523733,0.34324524476267
"Atopococcus","Granulicatella",0.129570774251495,0.659707975451451,0.340292024548549
"Trueperella","ph2",0.128186274924466,0.660232430692227,0.339767569307773
"Trueperella","Aeriscardovia",0.127070475935678,0.660654797933203,0.339345202066797
"Gulbenkiania","Methylotenera",0.126000513126174,0.661059561187124,0.338940438812876
"Micrococcus","Helcobacillus",0.121849396081255,0.662627574101299,0.337372425898701
"Helicobacter","Deinobacterium",0.118058291288407,0.664056363839544,0.335943636160456
"Atopostipes","Barnesiella",0.116457721205787,0.664658663824603,0.335341336175397
"Lactococcus","Peredibacter",0.116119102233533,0.66478601736441,0.33521398263559
"Succinispira","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.113110690159965,0.665916402350939,0.334083597649061
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Sporobacter",0.112349300995445,0.666202183651688,0.333797816348312
"Alysiella","Deinobacterium",0.110725293681317,0.666811332506685,0.333188667493315
"Corynebacterium","Serinibacter",0.106412433668612,0.668426348347889,0.331573651652111
"Pedobacter","Pseudoxanthomonas",0.103290532451025,0.669592961264145,0.330407038735855
"Atopococcus","[Clostridium]",0.0991410486153879,0.671140429189232,0.328859570810768
"CF231","Barnesiella",0.0979083530394118,0.671599451667654,0.328400548332346
"GW-34","Haloplasma",0.0957133291028043,0.672416043419993,0.327583956580007
"Bdellovibrio","Mucilaginibacter",0.0947883830627011,0.67275984457208,0.32724015542792
"Bdellovibrio","Snodgrassella",0.0936661602455531,0.673176737474806,0.326823262525194
"Pelomonas","Deinobacterium",0.0929243542320195,0.6734521682228,0.3265478317772
