"Node1","Node2","Association","Dissimilarity","Adjecency"
"Albidovulum","Alysiella",0.380310144427148,0.55663715990439,0.44336284009561
"Leifsonia","Dongia",0.380310144066754,0.556637160066253,0.443362839933747
"Macrococcus","Millisia",0.355758523269784,0.567556815098813,0.432443184901187
"Rothia","Weissella",0.354210982277262,0.568238074103952,0.431761925896048
"Ornithinimicrobium","Helcobacillus",0.340709836798123,0.574147264733482,0.425852735266518
"Roseburia","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.307533856779926,0.588415730253736,0.411584269746264
"Corynebacterium","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.299857512318888,0.591668187281145,0.408331812718855
"Alkalibacterium","Anaerorhabdus",0.296417580659945,0.593119894852657,0.406880105147343
"Kribbia","Serinibacter",0.277889169421113,0.600878869065507,0.399121130934493
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Desulfovibrio",0.274687224530875,0.602209587879969,0.397790412120031
"Succinispira","Sporobacter",0.269863201762534,0.604208903541427,0.395791096458573
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Lactonifactor",0.252721095093585,0.611260543838065,0.388739456161935
"CF231","Barnesiella",0.247789896853194,0.613274042800935,0.386725957199065
"Alistipes","[Clostridium]",0.247327100476193,0.613462671856979,0.386537328143021
"Arthrobacter","Brevibacterium",0.239997394127316,0.616442457116917,0.383557542883083
"Alistipes","Akkermansia",0.237663935987972,0.617388072452015,0.382611927547985
"Olsenella","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.220137452510574,0.624444772373597,0.375555227626403
"Deinococcus","Psychrobacter",0.202654982173896,0.631405186004242,0.368594813995758
"Mucispirillum","Coprococcus",0.192022664941081,0.635601028578038,0.364398971421962
"Mucispirillum","Cedecea",0.191115217037931,0.635957853541439,0.364042146458561
"Coprococcus","Cedecea",0.190207769134794,0.636314478408753,0.363685521591247
"CF231","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.181940165691867,0.639554467699246,0.360445532300754
"GW-34","Petrimonas",0.178029223914165,0.641081420759421,0.358918579240579
"Sphingomonas","Rhizobium",0.17766627276426,0.641222943770628,0.358777056229372
"Ochrobactrum","Salinarimonas",0.176097806245419,0.641834166181024,0.358165833818976
"Atopococcus","Macrococcus",0.172546137966841,0.643216084233424,0.356783915766576
"Flavobacterium","Serinibacter",0.168590450934344,0.644751715416739,0.355248284583261
"Porphyrobacter","Beutenbergia",0.168075851929365,0.644951218337726,0.355048781662274
"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Macellibacteroides",0.160639870275363,0.647827187498578,0.352172812501422
"Trueperella","ph2",0.15808541029083,0.648812218484351,0.351187781515649
"Dietzia","Blastococcus",0.152687833213461,0.650888687406126,0.349111312593874
"Prevotella","Succinivibrio",0.151807679530063,0.65122665811142,0.34877334188858
"Dietzia","Nocardioides",0.131907108975687,0.658822013530328,0.341177986469672
"Ornithinicoccus","Bergeyella",0.128510224449787,0.660109754340221,0.339890245659779
"Collinsella","Dorea",0.128509977219128,0.660109847972621,0.339890152027379
"Ornithinicoccus","Defluviitalea",0.128098304850297,0.66026574011897,0.33973425988103
"Collinsella","Butyricimonas",0.128098235079869,0.660265766536525,0.339734233463475
"Dorea","Butyricimonas",0.127686492940649,0.660421648289694,0.339578351710306
"Bergeyella","Defluviitalea",0.127686385250788,0.660421689055263,0.339578310944737
"Deinobacterium","Bergeyella",0.127587848957022,0.660458988523503,0.339541011476497
"Faecalibacterium","Dorea",0.127587745155892,0.660459027814787,0.339540972185213
"Faecalibacterium","Butyricimonas",0.127176003016657,0.660614863965133,0.339385136034867
"Deinobacterium","Defluviitalea",0.127175856249874,0.660614919506866,0.339385080493134
"Treponema","CF231",0.126791110057937,0.660760505002404,0.339239494997596
"Faecalibacterium","Collinsella",0.126665513092647,0.660808023145661,0.339191976854339
"Deinobacterium","Ornithinicoccus",0.126665349871651,0.660808084896193,0.339191915103807
"Atopostipes","ph2",0.123686295974997,0.661934174984569,0.338065825015431
"Atopostipes","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.123562510366998,0.661980924813171,0.338019075186829
"Brevibacterium","Beutenbergia",0.123024470753991,0.662184086657936,0.337815913342064
"Arthrobacter","Acholeplasma",0.119884126646805,0.663368628046728,0.336631371953272
"Ornithinimicrobium","Dietzia",0.116204386126815,0.664753944656662,0.335246055343338
"Oscillospira","Rhizobium",0.113057350353209,0.665936427013417,0.334063572986583
"Lactobacillus","Macellibacteroides",0.10707667348789,0.668177867978321,0.331822132021679
"Roseburia","Macellibacteroides",0.106602147664776,0.668355389121396,0.331644610878604
"Alistipes","Papillibacter",0.104135390826399,0.669277449632662,0.330722550367338
"Brevibacterium","Acholeplasma",0.102821887533233,0.669767912215406,0.330232087784594
"Bordetella","Sphingomonas",0.0996114281804028,0.670965189789901,0.329034810210099
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Lactobacillus",0.0992666209187967,0.671093651840488,0.328906348159512
"Ochrobactrum","Blastococcus",0.0940980994255772,0.673016307593814,0.326983692406186
"Trueperella","Serinibacter",0.092691200393385,0.673538714405718,0.326461285594282
"Micrococcus","Millisia",0.090874868374798,0.674212552399168,0.325787447600832
"Desulfovibrio","Selenomonas",0.090692599731398,0.674280134761733,0.325719865238267
"Atopococcus","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.0831807386733542,0.677059547354088,0.322940452645912
"Nocardioides","Porphyrobacter",0.0822111509690664,0.677417466940045,0.322582533059955
"Atopostipes","Granulicatella",0.082127061831662,0.677448499211688,0.322551500788312
"Petrimonas","Anaerorhabdus",0.0807186897524844,0.677968033998475,0.322031966001525
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Syntrophococcus",0.0790357317699085,0.678588339212402,0.321411660787598
"Nocardioides","Lysobacter",0.078934637251516,0.678625582611091,0.321374417388909
"Kurthia","Anaerorhabdus",0.0750142088934716,0.680068302123591,0.319931697876409
"Bifidobacterium","Lacticigenium",0.0735839037943116,0.680593893671435,0.319406106328565
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.0731476780381673,0.680754111982378,0.319245888017622
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Akkermansia",0.0693525930666564,0.682146394454058,0.317853605545942
"Macrococcus","Micrococcus",0.0659122919612897,0.683406068175689,0.316593931824311
"Bordetella","Albidovulum",0.0613146393934973,0.6850858926465,0.3149141073535
"Bordetella","Alysiella",0.0606098920488668,0.685343019206854,0.314656980793146
"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.0604459194843492,0.685402830646201,0.314597169353799
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.0582667269424221,0.686197228593055,0.313802771406945
"Acinetobacter","Porphyrobacter",0.0581586602215344,0.686236599059853,0.313763400940147
"Granulicatella","Acinetobacter",0.05321622750225,0.688034800172836,0.311965199827164
"Akkermansia","[Prevotella]",0.0490321491009862,0.689553424652149,0.310446575347851
"Prevotella","Akkermansia",0.0483653507094537,0.689795132372847,0.310204867627153
"Olsenella","Alkalibacterium",0.0458672388910804,0.690699920772009,0.309300079227991
"Ochrobactrum","Weissella",0.045672706147957,0.690770328637545,0.309229671362455
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Treponema",0.0442675623863832,0.691278683894425,0.308721316105575
"Psychrobacter","Syntrophococcus",0.0436633099913877,0.691497176425404,0.308502823574596
"ph2","GW-34",0.0431468951513256,0.691683852944636,0.308316147055364
"Trueperella","Butyricicoccus",0.0386506569087098,0.693307054302525,0.306692945697475
"Papillibacter","Barnesiella",0.035818172158767,0.694327670427023,0.305672329572977
"Olsenella","Psychrobacter",0.0357254596624716,0.694361051736605,0.305638948263395
"Acholeplasma","Rhizobium",0.0349054744538777,0.694656219127894,0.305343780872106
"Nitriliruptor","Defluviitalea",0.0329689162501335,0.69535281826921,0.30464718173079
"Deinobacterium","Nitriliruptor",0.0327010422193852,0.695449120274307,0.304550879725693
"Nitriliruptor","Bergeyella",0.0326105421258743,0.69548165248054,0.30451834751946
"Nitriliruptor","Ornithinicoccus",0.0323371277972664,0.695579927902874,0.304420072097126
"Succinispira","[Prevotella]",0.0305711336422807,0.69621435864169,0.30378564135831
