"Node1","Node2","Association","Dissimilarity","Adjecency"
"Albidovulum","Alysiella",0.380310142455987,0.556637160789689,0.443362839210311
"Leifsonia","Dongia",0.380310141974523,0.556637161005927,0.443362838994073
"Rothia","Weissella",0.356280675166596,0.567326768641056,0.432673231358944
"Macrococcus","Millisia",0.355528716738787,0.567658032296387,0.432341967703613
"Ornithinimicrobium","Helcobacillus",0.340495180723565,0.574240724468596,0.425759275531404
"Roseburia","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.307465603645779,0.588444728226119,0.411555271773881
"Alkalibacterium","Anaerorhabdus",0.299318965105096,0.591895698115345,0.408104301884655
"Corynebacterium","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.296863729460168,0.592931813339372,0.407068186660628
"Kribbia","Serinibacter",0.289848182974365,0.59588246199466,0.40411753800534
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Desulfovibrio",0.274738890703831,0.602188138913483,0.397811861086517
"Succinispira","Sporobacter",0.26798276501632,0.604986460585557,0.395013539414443
"CF231","Barnesiella",0.259071015721589,0.608657943461848,0.391342056538152
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Lactonifactor",0.255701348565562,0.610040429575958,0.389959570424042
"Alistipes","[Clostridium]",0.249148170121556,0.612720095099893,0.387279904900107
"Arthrobacter","Brevibacterium",0.245675762344894,0.614135261019552,0.385864738980448
"Alistipes","Akkermansia",0.236788609123388,0.617742418357608,0.382257581642392
"Deinococcus","Psychrobacter",0.21049301027522,0.628294114935346,0.371705885064654
"Porphyrobacter","Beutenbergia",0.203175052074282,0.63119923476099,0.36880076523901
"Olsenella","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.203004171573389,0.631266912021615,0.368733087978385
"Mucispirillum","Coprococcus",0.19202351666378,0.635600693571137,0.364399306428863
"Mucispirillum","Cedecea",0.191115220793248,0.635957852065195,0.364042147934805
"Coprococcus","Cedecea",0.190206924922709,0.636314810089035,0.363685189910965
"Ochrobactrum","Salinarimonas",0.184050097960786,0.638729168755903,0.361270831244097
"Sphingomonas","Rhizobium",0.183405001745838,0.63898161094595,0.36101838905405
"CF231","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.174870692493188,0.642311959839926,0.357688040160074
"Atopococcus","Macrococcus",0.172826878135553,0.643106959169486,0.356893040830514
"GW-34","Petrimonas",0.164211318129386,0.646447477321481,0.353552522678519
"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Macellibacteroides",0.162957546511708,0.646932165488891,0.353067834511109
"Dietzia","Blastococcus",0.160022776247546,0.648065283652987,0.351934716347013
"Flavobacterium","Serinibacter",0.159418833156653,0.648298221053917,0.351701778946083
"Trueperella","ph2",0.154779436099029,0.650084826734547,0.349915173265453
"Prevotella","Succinivibrio",0.142723945273422,0.654704534399518,0.345295465600482
"Ornithinicoccus","Bergeyella",0.128512866228412,0.66010875383212,0.33989124616788
"Collinsella","Dorea",0.128510205315804,0.660109761586736,0.339890238413264
"Ornithinicoccus","Defluviitalea",0.128099034886511,0.660265463701339,0.339734536298661
"Collinsella","Butyricimonas",0.128098298400052,0.660265742561262,0.339734257438738
"Dorea","Butyricimonas",0.127686391484105,0.660421686695665,0.339578313304335
"Bergeyella","Defluviitalea",0.127685203544649,0.660422136385264,0.339577863614736
"Deinobacterium","Bergeyella",0.127588440376442,0.660458764656643,0.339541235343357
"Faecalibacterium","Dorea",0.127587796070365,0.660459008542406,0.339540991457594
"Atopostipes","ph2",0.127555284757427,0.660471314760366,0.339528685239634
"Faecalibacterium","Butyricimonas",0.127175889154557,0.660614907054573,0.339385092945427
"Deinobacterium","Defluviitalea",0.127174543465142,0.660615416310753,0.339384583689247
"Faecalibacterium","Collinsella",0.126665386824878,0.660808070915876,0.339191929084124
"Deinobacterium","Ornithinicoccus",0.126663903688828,0.660808632022605,0.339191367977395
"Atopostipes","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.12627167821165,0.660957003816568,0.339042996183432
"Treponema","CF231",0.122516884236479,0.662375692399533,0.337624307600467
"Dietzia","Nocardioides",0.12028813932827,0.663216352584784,0.336783647415216
"Brevibacterium","Acholeplasma",0.114894048507276,0.665246552600133,0.334753447399867
"Ornithinimicrobium","Dietzia",0.114392489597064,0.665435012004529,0.334564987995471
"Roseburia","Macellibacteroides",0.111082846199206,0.666677265924373,0.333322734075627
"Oscillospira","Rhizobium",0.110702720163172,0.666819795685772,0.333180204314228
"Brevibacterium","Beutenbergia",0.106719752179831,0.668311397411479,0.331688602588521
"Arthrobacter","Acholeplasma",0.103843147746973,0.669386604382336,0.330613395617664
"Lactobacillus","Macellibacteroides",0.101344374835945,0.670319187090768,0.329680812909232
"Alistipes","Papillibacter",0.0991534545997929,0.671135807940616,0.328864192059384
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Lactobacillus",0.098241117126427,0.671475570245699,0.328524429754301
"Micrococcus","Millisia",0.097103037300254,0.671899160105051,0.328100839894949
"Desulfovibrio","Selenomonas",0.0938142418611385,0.673121741640716,0.326878258359284
"Trueperella","Serinibacter",0.0934449526515229,0.673258883100876,0.326741116899124
"Ochrobactrum","Blastococcus",0.0921174295223012,0.673751649525884,0.326248350474116
"Bordetella","Sphingomonas",0.0901006727844668,0.674499565313253,0.325500434686747
"Nocardioides","Porphyrobacter",0.0871254301519465,0.675601424601833,0.324398575398167
"Atopostipes","Granulicatella",0.0847962575703543,0.676462764100747,0.323537235899253
"Petrimonas","Anaerorhabdus",0.0843611858299352,0.676623534238229,0.323376465761771
"Atopococcus","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.0840107120155941,0.676753015502852,0.323246984497148
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Syntrophococcus",0.0826861567205977,0.677242144022137,0.322757855977863
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.0738089561396814,0.680511221017082,0.319488778982918
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Akkermansia",0.0707213260233899,0.681644582600276,0.318355417399724
"Bifidobacterium","Lacticigenium",0.0697174690208919,0.68201265786608,0.31798734213392
"Olsenella","Alkalibacterium",0.0675706281504363,0.682799154894601,0.317200845105399
"Bordetella","Albidovulum",0.0675168527047085,0.682818843945922,0.317181156054078
"Bordetella","Alysiella",0.0668162602266729,0.68307530323286,0.31692469676714
"Kurthia","Anaerorhabdus",0.0657875709229455,0.683451691444631,0.316548308555369
"Psychrobacter","Syntrophococcus",0.0627798203224558,0.684551013320974,0.315448986679026
"Macrococcus","Micrococcus",0.0597534676643521,0.685655355238931,0.314344644761069
"Nocardioides","Lysobacter",0.0586621857429429,0.686053137248514,0.313946862751486
"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.0578318385539042,0.686355651774681,0.313644348225319
"Acinetobacter","Porphyrobacter",0.056108505668739,0.68698307633131,0.31301692366869
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.0560904825442956,0.686989635094921,0.313010364905079
"Granulicatella","Acinetobacter",0.0531737234514093,0.688050244004241,0.311949755995759
"Prevotella","Akkermansia",0.0526331765320828,0.688246621302247,0.311753378697753
"Trueperella","Butyricicoccus",0.0490542687249931,0.689545405058654,0.310454594941346
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Treponema",0.0485721063593988,0.689720194586399,0.310279805413601
"Papillibacter","Barnesiella",0.0478644097068784,0.689976662755024,0.310023337244976
"Akkermansia","[Prevotella]",0.0471347910395363,0.690240975660118,0.309759024339882
"Ochrobactrum","Weissella",0.0432931440644826,0.691630991185154,0.308369008814846
"ph2","GW-34",0.0414831813563918,0.692284919178371,0.307715080821629
"Nitriliruptor","Defluviitalea",0.0349370423863897,0.694644858043882,0.305355141956118
"Deinobacterium","Nitriliruptor",0.0346356063533579,0.694753335237278,0.305246664762722
"Nitriliruptor","Bergeyella",0.0345749203328137,0.694775172148223,0.305224827851777
"Nitriliruptor","Ornithinicoccus",0.0342675439548903,0.69488576616776,0.30511423383224
"Macrococcus","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.0330371787269154,0.695328275447319,0.304671724552681
"Acholeplasma","Rhizobium",0.0329249708323018,0.695368617773228,0.304631382226772
"Kocuria","Staphylococcus",0.0316930128218958,0.695811392252996,0.304188607747004
"Lysobacter","Porphyrobacter",0.031386917556458,0.695921361377685,0.304078638622315
"Succinispira","[Prevotella]",0.0311893042072637,0.695992347584633,0.304007652415367
"Butyricicoccus","Butyricimonas",0.0276767698436898,0.697252906109509,0.302747093890491
"Dorea","Butyricicoccus",0.0274396465004828,0.697337921491266,0.302662078508734
"Faecalibacterium","Butyricicoccus",0.0271883239337931,0.697428016380976,0.302571983619024
"Kocuria","Enhydrobacter",0.0270109404266756,0.697491598362778,0.302508401637222
"Collinsella","Butyricicoccus",0.0269431287253922,0.69751590350135,0.30248409649865
"Blastococcus","Olsenella",0.0263795017571714,0.697717886485229,0.302282113514771
"Oscillospira","Weissella",0.0220491853221861,0.699267765122136,0.300732234877864
"Olsenella","Psychrobacter",0.0216279053003952,0.699418363606363,0.300581636393637
