"Node1","Node2","Association","Dissimilarity","Adjecency"
"Dysgonomonas","Xanthobacter",0.380310127162135,0.55663716765855,0.44336283234145
"[Prevotella]","Eggerthella",0.376723342975985,0.558245759958826,0.441754240041174
"Snodgrassella","Gluconacetobacter",0.372353115465869,0.560199466500161,0.439800533499839
"Granulicatella","Papillibacter",0.32297534994772,0.581818120228427,0.418181879771573
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","CF231",0.307761453575189,0.588319023330374,0.411680976669626
"Lactobacillus","Pediococcus",0.304727554291169,0.58960683752346,0.41039316247654
"Collinsella","Dorea",0.301013968058787,0.591179343321979,0.408820656678021
"Butyricicoccus","Peptostreptococcus",0.30100529863394,0.591183009467483,0.408816990532517
"Lactococcus","Nonlabens",0.27596505559956,0.60167887797414,0.39832112202586
"Prevotella","Treponema",0.268224754072962,0.604886454604101,0.395113545395899
"Trueperella","Alkalibacterium",0.266686517661918,0.605521875054106,0.394478124945894
"Sporobacter","Macellibacteroides",0.247505362461726,0.613390021739135,0.386609978260865
"Helcococcus","Lactonifactor",0.24341318187618,0.615055614608882,0.384944385391118
"Serinibacter","Luteimicrobium",0.243183372549467,0.615149017495165,0.384850982504835
"Campylobacter","Oscillospira",0.23671415063622,0.617772550929458,0.382227449070542
"Succinispira","Prevotella",0.224821103962964,0.622566822131181,0.377433177868819
"Helcococcus","Acholeplasma",0.219847797175631,0.624560726760965,0.375439273239035
"Caldimonas","Albidovulum",0.199622740006019,0.632604639563282,0.367395360436718
"Corynebacterium","Dietzia",0.194791118960391,0.634511182344176,0.365488817655824
"Ornithinimicrobium","Nocardioides",0.18888950068922,0.636832198978185,0.363167801021815
"Elizabethkingia","Alkanindiges",0.187822568536721,0.637250904849604,0.362749095150396
"Deinococcus","Moraxella",0.185573886369131,0.638132475913454,0.361867524086546
"Arcobacter","Desulfovibrio",0.177889353394333,0.641135963195665,0.358864036804335
"Rothia","Staphylococcus",0.169790204808414,0.644286347516221,0.355713652483779
"CF231","Alistipes",0.169106917579622,0.644551426350287,0.355448573649713
"Arthrobacter","Nocardioides",0.165244443673123,0.646047814146475,0.353952185853525
