"Node1","Node2","Association","Dissimilarity","Adjecency"
"Dysgonomonas","Xanthobacter",0.511539711758763,0.494196463079835,0.505803536920165
"[Prevotella]","Eggerthella",0.508305071097451,0.495830076186666,0.504169923813334
"Snodgrassella","Gluconacetobacter",0.503622422528434,0.49818549631215,0.50181450368785
"Lactobacillus","Pediococcus",0.437030177390996,0.530551516164549,0.469448483835451
"Lactococcus","Nonlabens",0.383638509145094,0.555140293464142,0.444859706535858
"Granulicatella","Papillibacter",0.38193789169688,0.555905616225956,0.444094383774044
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","CF231",0.377772281831344,0.557775814359433,0.442224185640567
"Prevotella","Treponema",0.373732969943983,0.559583340556175,0.440416659443825
"Serinibacter","Luteimicrobium",0.359828547917157,0.565761191706732,0.434238808293268
"Collinsella","Dorea",0.339448683321291,0.574696144357481,0.425303855642519
"Butyricicoccus","Peptostreptococcus",0.339437129426713,0.574701170423937,0.425298829576063
"Helcococcus","Lactonifactor",0.3377362391776,0.575440596770162,0.424559403229838
"Campylobacter","Oscillospira",0.336731752370458,0.575876830420161,0.424123169579839
"Trueperella","Alkalibacterium",0.325781462766616,0.580611116511467,0.419388883488533
"Succinispira","Prevotella",0.30993563998158,0.587394399027783,0.412605600972217
"Elizabethkingia","Alkanindiges",0.309572875624883,0.587548774305213,0.412451225694787
"Sporobacter","Macellibacteroides",0.304675721500652,0.589628814806124,0.410371185193876
"Deinococcus","Moraxella",0.279775584040171,0.600093499364819,0.399906500635181
"Corynebacterium","Dietzia",0.277498425309908,0.601041418992939,0.398958581007061
"Helcococcus","Acholeplasma",0.272800933696004,0.602992150157859,0.397007849842141
"Arcobacter","Desulfovibrio",0.262684308370798,0.607172006777817,0.392827993222183
"Caldimonas","Albidovulum",0.26258309966295,0.607213677520957,0.392786322479043
"Acinetobacter","Pedobacter",0.25094726299255,0.611985595013253,0.388014404986747
"Ornithinimicrobium","Nocardioides",0.235463608591977,0.618278412775354,0.381721587224646
"Rothia","Staphylococcus",0.235032847957075,0.618452565700444,0.381547434299556
"Helcobacillus","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.234295214270517,0.618750671001447,0.381249328998553
"Arthrobacter","Nocardioides",0.229562331988936,0.620659998715506,0.379340001284494
"Sporobacter","Oscillospira",0.226150647079612,0.622032697259713,0.377967302740287
"Micrococcus","Helcobacillus",0.226125142983322,0.622042947478982,0.377957052521018
"Helcococcus","Barnesiella",0.223070849641231,0.623269263785232,0.376730736214768
"CF231","Alistipes",0.22260254311353,0.623457078268613,0.376542921731387
"Millisia","GW-34",0.207063725104526,0.629657158656786,0.370342841343214
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.201796906394342,0.631744843115343,0.368255156884657
"Petrimonas","Acholeplasma",0.198065456388737,0.633219765804599,0.366780234195401
"Psychrobacter","Macellibacteroides",0.19326058345257,0.63511393330151,0.36488606669849
"Granulicatella","Kribbia",0.190611538029943,0.636155822880706,0.363844177119294
"Serinibacter","Alkalibacterium",0.189447490555412,0.636613112276439,0.363386887723561
"Atopostipes","Trueperella",0.185486832021094,0.638166580125795,0.361833419874205
"Wautersiella","Macellibacteroides",0.180180973856182,0.640241761424471,0.359758238575529
"Lacticigenium","Sphingobium",0.17881909931572,0.640773322121123,0.359226677878877
"Macrococcus","Trueperella",0.175540433451384,0.642051231035583,0.357948768964417
"[Clostridium]","Sporobacter",0.163163251680428,0.646852668047204,0.353147331952796
"Psychrobacter","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.157040910760191,0.649214559771964,0.350785440228036
"Bordetella","Ochrobactrum",0.154233550847951,0.650294721319514,0.349705278680486
"Lysobacter","Desulfovibrio",0.151529822733085,0.651333316078225,0.348666683921775
"Micrococcus","Atopostipes",0.148999293450446,0.652303881082105,0.347696118917895
"CF231","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.147018311408361,0.653062664907296,0.346937335092704
"Selenomonas","Anaerobiospirillum",0.144032497623212,0.654204670717348,0.345795329282652
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Anaerobiospirillum",0.141810691713833,0.655053168943624,0.344946831056376
"Dietzia","Lysobacter",0.140669042135463,0.655488732879726,0.344511267120274
