"Node1","Node2","Association","Dissimilarity","Adjecency"
"Isobaculum","ph2",0.999615016059013,0.0138741475591689,0.986125852440831
"Kurthia","Isobaculum",0.997556714705705,0.0349520049088401,0.96504799509116
"Kurthia","ph2",0.997134310420154,0.0378529363447966,0.962147063655203
"Sporobacter","ph2",0.99385766391109,0.0554181201815361,0.944581879818464
"Sporobacter","Isobaculum",0.993333775472491,0.0577331123685051,0.942266887631495
"Kurthia","Sporobacter",0.99222567422346,0.0623471161183112,0.937652883881689
"Alysiella","Psychrobacter",0.990541831056358,0.0687683391672422,0.931231660832758
"Dysgonomonas","Proteus",0.985964402711085,0.0837723023705177,0.916227697629482
"Sporobacter","Lactonifactor",0.984175071362755,0.0889520338082414,0.911047966191759
"Bordetella","Proteus",0.984015585562846,0.089399145513684,0.910600854486316
"Kerstersia","Proteus",0.979357432102958,0.101593720025015,0.898406279974985
"Olsenella","Sporobacter",0.977773229140743,0.105420042826915,0.894579957173085
"Bordetella","Dysgonomonas",0.976937409460808,0.107383868758749,0.892616131241251
"Bordetella","Kerstersia",0.975673493067095,0.110287140984127,0.889712859015873
"Olsenella","ph2",0.970846635870841,0.120733930875209,0.879266069124792
"Olsenella","Lactonifactor",0.970054396624003,0.122363400116205,0.877636599883795
"Olsenella","Isobaculum",0.966618141720116,0.129193378854885,0.870806621145115
"Lactonifactor","ph2",0.966597577179581,0.129233166835026,0.870766833164974
"Kurthia","Olsenella",0.966362448592634,0.129687222592217,0.870312777407783
"Kurthia","Lactonifactor",0.966156353892022,0.130083907744151,0.869916092255849
"Isobaculum","Lactonifactor",0.965443042057596,0.131447628244872,0.868552371755128
"Ochrobactrum","Kerstersia",0.961174400393283,0.139329823811554,0.860670176188446
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Treponema",0.960388620236499,0.140732689456823,0.859267310543177
"Bordetella","Xanthobacter",0.952122699929007,0.154721200989058,0.845278799010942
"Alysiella","Bibersteinia",0.951869293690538,0.155130116852695,0.844869883147305
"Dysgonomonas","Xanthobacter",0.951183034672857,0.156232143503094,0.843767856496906
"Treponema","Roseburia",0.950478530311263,0.157355441101883,0.842644558898117
"Methylotenera","Pelomonas",0.946706664442953,0.163238070861314,0.836761929138686
"Ochrobactrum","Xanthobacter",0.944895432613084,0.165988805928165,0.834011194071835
"Treponema","Barnesiella",0.943106240229431,0.168662028581671,0.831337971418329
"Nitriliruptor","Blastococcus",0.943068273337238,0.168718295781402,0.831281704218598
"Kerstersia","Dysgonomonas",0.942560757443873,0.169468643937643,0.830531356062357
"Lactococcus","Wautersiella",0.941338910918178,0.171261626002181,0.828738373997819
"Xanthobacter","Proteus",0.937110099410149,0.177327240701833,0.822672759298167
"Roseburia","Barnesiella",0.936962365294662,0.177535397463912,0.822464602536088
"Psychrobacter","Bibersteinia",0.936102511657632,0.178742116388902,0.821257883611098
"Bordetella","Ochrobactrum",0.93145981700254,0.185121828801279,0.814878171198721
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","CF231",0.931198240362729,0.185474741726834,0.814525258273166
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","CF231",0.930588517406565,0.186294769912409,0.813705230087591
"Weissella","Lactonifactor",0.926317518372712,0.191940722134841,0.808059277865159
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Barnesiella",0.925600657783824,0.19287216260541,0.80712783739459
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.924841421203686,0.193853783553886,0.806146216446114
"Kerstersia","Xanthobacter",0.923139927145473,0.196035803942197,0.803964196057803
"Atopococcus","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.922461872568895,0.196898612782195,0.803101387217805
"[Clostridium]","Arcobacter",0.921688085350649,0.197878642922059,0.802121357077941
"Weissella","Sporobacter",0.92113707912173,0.198573564300827,0.801426435699172
"Porphyrobacter","Leifsonia",0.920051497356183,0.199935617942148,0.800064382057852
"Ornithinicoccus","Blastococcus",0.919721770410497,0.200347485122104,0.799652514877896
"Ochrobactrum","Proteus",0.918714134844201,0.201600924050213,0.798399075949787
"Weissella","ph2",0.915630222838947,0.205389601928935,0.794610398071065
"Kurthia","Weissella",0.913939878041459,0.207436884326945,0.792563115673055
"Weissella","Isobaculum",0.913869502554778,0.207521682536094,0.792478317463907
"Weissella","Olsenella",0.912722158365881,0.208899307842462,0.791100692157539
"Deinococcus","Aurantimonas",0.912376236518628,0.209312880016223,0.790687119983777
"Helicobacter","Pelomonas",0.911184670410677,0.210731262025029,0.789268737974971
"Deinococcus","Arsenicicoccus",0.910141754651052,0.211964909063916,0.788035090936084
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",0.907794849706755,0.214715102278863,0.785284897721137
"Treponema","CF231",0.902554082398728,0.220732776906004,0.779267223093996
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.902224252800978,0.221106023435616,0.778893976564384
