"Node1","Node2","Association","Dissimilarity","Adjecency"
"Nonlabens","Peredibacter",0.983139077678891,0.091817542771274,0.908182457228726
"Novosphingobium","Sphingobium",0.982612806543228,0.0932394590738587,0.906760540926141
"Faecalibacterium","Mucispirillum",0.978857616139164,0.102816301870948,0.897183698129052
"Selenomonas","Peptostreptococcus",0.974984250896348,0.111838609396871,0.888161390603129
"[Prevotella]","Peptostreptococcus",0.973162861898562,0.115838547343787,0.884161452656213
"Alkanindiges","Bdellovibrio",0.964998267860233,0.132290838949201,0.867709161050799
"Pedobacter","Mucilaginibacter",0.949784135441997,0.158454827250549,0.841545172749451
"Arcobacter","Campylobacter",0.946392618421077,0.163718327591816,0.836281672408184
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Prevotella",0.939196065929084,0.174361598511421,0.825638401488579
"Pedobacter","Rhizobium",0.934358824225909,0.181164532641038,0.818835467358962
"[Prevotella]","Selenomonas",0.93380842565062,0.181922475727135,0.818077524272865
"Rhizobium","Mucilaginibacter",0.933699551017923,0.182072031051006,0.817927968948994
"Nonlabens","Rhizobium",0.929187059009459,0.188166071583776,0.811833928416224
"[Clostridium]","Selenomonas",0.922625294756978,0.196691007983362,0.803308992016638
"Kocuria","Pseudoxanthomonas",0.91494413033826,0.206223022068027,0.793776977931973
"Faecalibacterium","Macellibacteroides",0.912806234826925,0.208798665193381,0.791201334806619
"Macellibacteroides","Mucispirillum",0.908068333144793,0.214396439866905,0.785603560133095
"Micrococcus","Ornithinimicrobium",0.90676456177889,0.215911368645922,0.784088631354078
"[Prevotella]","Butyricicoccus",0.903107650268733,0.22010491785881,0.77989508214119
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Selenomonas",0.903035633184851,0.220186701250495,0.779813298749505
"Lacticigenium","Sphingomonas",0.902150663410821,0.221189213784465,0.778810786215535
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","[Clostridium]",0.901193646842414,0.222268253645888,0.777731746354112
"Nonlabens","Mucilaginibacter",0.899687620097259,0.223955776776064,0.776044223223936
"CF231","Sporobacter",0.899315062088365,0.224371274800982,0.775628725199018
"Nonlabens","Pedobacter",0.898968178375459,0.224757448847131,0.775242551152869
"Butyricicoccus","Peptostreptococcus",0.89034298697678,0.234154877189457,0.765845122810543
"Bdellovibrio","Peredibacter",0.889120626630502,0.235456337108919,0.764543662891081
"Succinispira","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.884139669682983,0.240686861208726,0.759313138791274
"Pedobacter","Pseudoxanthomonas",0.880388895285026,0.244551737588362,0.755448262411638
"[Clostridium]","Peptostreptococcus",0.88003769027334,0.244910503783177,0.755089496216823
"CF231","Oscillospira",0.880037476343689,0.244910722158413,0.755089277841587
"Treponema","Sporobacter",0.879552273608926,0.245405507671562,0.754594492328438
"Dorea","Macellibacteroides",0.879303452472379,0.245658856473384,0.754341143526616
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Prevotella",0.878792247024352,0.24617854595359,0.75382145404641
"Rhizobium","Peredibacter",0.874646222980611,0.250353527056629,0.749646472943371
"Succinispira","Prevotella",0.871985296367881,0.252996742698517,0.747003257301483
"CF231","Treponema",0.869331195674145,0.255605950953666,0.744394049046334
"Helcococcus","Aeriscardovia",0.863213216394062,0.261521302770862,0.738478697229138
"[Clostridium]","[Prevotella]",0.856735586023023,0.267641938022591,0.732358061977409
"Nonlabens","Ochrobactrum",0.855167404937294,0.269102763886499,0.730897236113501
"Pedobacter","Peredibacter",0.850178866907083,0.273697947647509,0.726302052352491
"Faecalibacterium","Collinsella",0.84897677447202,0.274793764055864,0.725206235944136
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Peptostreptococcus",0.848865722619381,0.274894777488241,0.725105222511759
"Nonlabens","Bdellovibrio",0.848250401857603,0.275453805693802,0.724546194306198
"Sporobacter","Oscillospira",0.846957105420974,0.276625102421152,0.723374897578848
"Micrococcus","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.846487230342674,0.277049426688927,0.722950573311073
"CF231","Barnesiella",0.843819537042548,0.279446294444435,0.720553705555565
"Rhizobium","Ochrobactrum",0.842839667780604,0.280321540573852,0.719678459426148
"Lacticigenium","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.842271505444717,0.280827789361455,0.719172210638545
"Lactobacillus","Peptostreptococcus",0.84213442790862,0.280949792748972,0.719050207251028
"Collinsella","Macellibacteroides",0.839264894478802,0.283491715506113,0.716508284493887
"Alkanindiges","Peredibacter",0.839259624790741,0.28349636259506,0.71650363740494
"Treponema","Oscillospira",0.836937712201827,0.285536589422593,0.714463410577407
"Mucilaginibacter","Peredibacter",0.836847508621189,0.285615555755294,0.714384444244706
"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Collinsella",0.836108865467737,0.286261361811425,0.713738638188575
"Lactobacillus","Selenomonas",0.831532812952944,0.290230242262119,0.709769757737881
"Kurthia","Anaerorhabdus",0.831300599876657,0.290430198260565,0.709569801739435
"Atopostipes","Alkalibacterium",0.827092852481772,0.294029885826448,0.705970114173552
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.825698148248175,0.295213356533732,0.704786643466268
"Alkanindiges","Ochrobactrum",0.823266967393766,0.297265060683419,0.70273493931658
"Alistipes","Sporobacter",0.82164655890262,0.298624715234171,0.701375284765829
"Alkanindiges","Nonlabens",0.820625443644579,0.299478343420206,0.700521656579794
"Kribbia","Serinibacter",0.817225291679382,0.302303414073194,0.697696585926806
"Ochrobactrum","Mucilaginibacter",0.816438942325367,0.302953014240355,0.697046985759645
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Lactobacillus",0.816414023162562,0.302973577096616,0.697026422903384
"Butyricicoccus","Selenomonas",0.815359897627503,0.303842148468985,0.696157851531015
"Corynebacterium","Nocardioides",0.815198791850722,0.303974676699621,0.696025323300379
"Collinsella","Dorea",0.81340761373096,0.305444255363429,0.694555744636571
"Ochrobactrum","Peredibacter",0.810417287237898,0.30788204946221,0.69211795053779
"Trueperella","Haloplasma",0.809744035749467,0.308428244694397,0.691571755305604
"Barnesiella","Oscillospira",0.807891069974729,0.309926547770008,0.690073452229992
"Pedobacter","Snodgrassella",0.804848395924047,0.31237125674104,0.68762874325896
"Alkanindiges","Acinetobacter",0.804828152963165,0.312387457364116,0.687612542635884
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","[Prevotella]",0.804570257266512,0.312593780115254,0.687406219884746
"Collinsella","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.800450717656416,0.315871241444662,0.684128758555338
"Kocuria","Pedobacter",0.797076954344088,0.31853025417997,0.68146974582003
"Lactobacillus","[Prevotella]",0.79237990195726,0.322195668843282,0.677804331156718
"Elizabethkingia","Acinetobacter",0.789497251870716,0.324424681651446,0.675575318348554
"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas","Sphingomonas",0.788791507448834,0.324968069624668,0.675031930375332
"Wautersiella","Petrimonas",0.786700260203859,0.326572916663447,0.673427083336553
"Succinispira","[Clostridium]",0.783930533269221,0.328686375387526,0.671313624612474
"Ornithinimicrobium","Kurthia",0.782795418916868,0.329548616355108,0.670451383644892
