"Node1","Node2","Association","Dissimilarity","Adjecency"
"Isobaculum","ph2",0.462716951988085,0.51830639973471,0.48169360026529
"Methylotenera","Pelomonas",0.369190781744332,0.561608946801806,0.438391053198194
"Nitriliruptor","Blastococcus",0.368476942363684,0.561926622272124,0.438073377727876
"Helicobacter","Methylotenera",0.365459056705407,0.563267673177945,0.436732326822055
"Pedobacter","Pseudoxanthomonas",0.354863014730456,0.567951135780863,0.432048864219137
"Dysgonomonas","Proteus",0.349358917483795,0.570368776545581,0.429631223454419
"Ornithinimicrobium","Nocardioides",0.303718407236882,0.590034572191799,0.409965427808201
"Atopococcus","Millisia",0.30150938937125,0.590969800678829,0.409030199321171
"Barnesiella","Atopostipes",0.300549710111988,0.591375637766729,0.408624362233271
"Alistipes","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.298751427688994,0.592135361345278,0.407864638654722
"Albidovulum","Porphyrobacter",0.289997970178626,0.59581961608417,0.40418038391583
"Enhydrobacter","Acinetobacter",0.287201371679467,0.596991887851306,0.403008112148694
"Bordetella","Kerstersia",0.280312944234329,0.599869592397244,0.400130407602756
"Sporobacter","Lactonifactor",0.276733205262124,0.601359623992947,0.398640376007053
"Ochrobactrum","Xanthobacter",0.266751125039974,0.605495200212201,0.394504799787799
"Elizabethkingia","Rhizobium",0.244520821420207,0.61460523044463,0.38539476955537
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus","Prevotella",0.243361384090744,0.615076668354952,0.384923331645048
"Rhizobium","Brevundimonas",0.220496204868825,0.624301127314045,0.375698872685955
"Arcobacter","ph2",0.210536441007696,0.628276833486762,0.371723166513238
"Lactobacillus","Pediococcus",0.205775424338437,0.630168459882579,0.369831540117421
"Helicobacter","Gulbenkiania",0.200523944985407,0.63224839067197,0.36775160932803
"Wautersiella","Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio",0.199467646217092,0.632665928347223,0.367334071652777
"Treponema","Roseburia",0.198951514677051,0.63286984654151,0.36713015345849
"Wautersiella","Anaerosinus",0.194028802096108,0.634811467249881,0.365188532750119
"Brevundimonas","Aurantimonas",0.183301907321803,0.639021945115423,0.360978054884577
"Bordetella","Ochrobactrum",0.175624126944691,0.64201864188484,0.35798135811516
"Barnesiella","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.172349472693646,0.643292517952119,0.356707482047881
"Porphyrobacter","Brevibacterium",0.169373628667908,0.644447969712099,0.355552030287901
"Succinispira","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.168724587827856,0.644699702253749,0.355300297746251
"Kerstersia","Proteus",0.165959981084004,0.645770864516198,0.354229135483802
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Olsenella",0.133720509520609,0.658133531465838,0.341866468534162
"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio","Planktophila",0.119105764186547,0.663661900297679,0.336338099702321
"Millisia","Papillibacter",0.118421879080124,0.663919468354362,0.336080531645638
"Lactococcus","Kurthia",0.117527275671236,0.664256247365715,0.335743752634285
"Lactococcus","Wautersiella",0.117256056017,0.664358315964736,0.335641684035264
"Aeromonas","Rheinheimera",0.112273954296146,0.666230457763623,0.333769542236377
"Elizabethkingia","Acinetobacter",0.111319733254453,0.666588428772037,0.333411571227963
"Kerstersia","Leifsonia",0.105571892585712,0.668740647566113,0.331259352433887
"Kurthia","Isobaculum",0.100303979898306,0.670707097063127,0.329292902936873
"Alistipes","Treponema",0.0922284173191119,0.673710465512036,0.326289534487964
"Nitriliruptor","Beutenbergia",0.0913448387190863,0.674038263483949,0.325961736516051
"Arthrobacter","Kocuria",0.0793088684167425,0.678487704967178,0.321512295032822
"Methylotenera","Herbiconiux",0.0790634441031891,0.678578129583031,0.321421870416969
"Alysiella","Bibersteinia",0.0762728362095041,0.679605460466032,0.320394539533968
"Anaerobiospirillum","Olsenella",0.0680251729609498,0.682632707625063,0.317367292374937
"Dysgonomonas","Xanthobacter",0.0609646904986333,0.685213583308652,0.314786416691348
"Enhydrobacter","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.0591502430195907,0.685875264527162,0.314124735472838
"Olsenella","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.0591217103816872,0.685885664531018,0.314114335468982
"Helicobacter","Rheinheimera",0.0581872203326232,0.686226194365742,0.313773805634258
"Kocuria","Staphylococcus",0.0539751391088238,0.687758991541069,0.312241008458931
"[Clostridium]","Lactonifactor",0.0522574412257039,0.688383090573227,0.311616909426773
