"Node1","Node2","Association","Dissimilarity","Adjecency"
"Snodgrassella","Gluconacetobacter",0.520817830229179,0.489480423393429,0.510519576606571
"Collinsella","Dorea",0.455503771818622,0.521774006721961,0.478225993278039
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Prevotella",0.427234811918958,0.535147263882122,0.464852736117878
"Alkanindiges","Mucilaginibacter",0.415663219315964,0.540526031141903,0.459473968858097
"Nonlabens","Bdellovibrio",0.394497496250777,0.550228363386159,0.449771636613841
"Dorea","Butyricicoccus",0.387613521263939,0.553347304473448,0.446652695526552
"Faecalibacterium","Mucispirillum",0.378853512499739,0.557290986604064,0.442709013395936
"Atopococcus","Granulicatella",0.357873365018966,0.566624494255691,0.433375505744309
"Macrococcus","Millisia",0.356860318572818,0.56707128362631,0.43292871637369
"Oscillospira","Campylobacter",0.348642706556706,0.570682614700717,0.429317385299283
"[Prevotella]","Peptostreptococcus",0.337154389718892,0.575693325600145,0.424306674399855
"Nonlabens","Peredibacter",0.324408111318809,0.581202154452816,0.418797845547184
"Lactobacillus","Pediococcus",0.304686179671505,0.589624380571434,0.410375619428566
"Treponema","Anaerobiospirillum",0.297721779122523,0.592569920295266,0.407430079704734
"Novosphingobium","Sphingobium",0.274802289669787,0.602161818089711,0.397838181910289
"Flavobacterium","Psychrobacter",0.267174356373737,0.605320429039968,0.394679570960032
"Weissella","Wautersiella",0.256838839101428,0.60957409758723,0.39042590241277
"Selenomonas","Peptostreptococcus",0.253881958317535,0.610785576811726,0.389214423188274
"Pedobacter","Snodgrassella",0.249860169903322,0.612429518433215,0.387570481566785
"Lysobacter","Nocardioides",0.241412391185008,0.615868333661909,0.384131666338091
"Succinispira","Alistipes",0.238777694779878,0.616936911369437,0.383063088630563
"Kocuria","Nonlabens",0.225249793676292,0.622394652260006,0.377605347739994
"Dietzia","Alkalibacterium",0.218345113351137,0.625161933681531,0.374838066318469
"Succinispira","[Clostridium]",0.217480101490616,0.625507753153142,0.374492246846858
"Helcobacillus","Serinibacter",0.21684037893116,0.625763382225598,0.374236617774402
"Elizabethkingia","Pedobacter",0.216501123861123,0.625898904032783,0.374101095967217
"Atopococcus","Macrococcus",0.216293628761793,0.625981777385815,0.374018222614185
"Atopostipes","Millisia",0.211984112394319,0.627700520792233,0.372299479207767
"Bdellovibrio","Peredibacter",0.198923807515929,0.632880791493971,0.367119208506029
"Mucispirillum","Helicobacter",0.196117718641254,0.633988281184576,0.366011718815424
"GW-34","ph2",0.177923233716824,0.641122752007436,0.358877247992564
"Lactococcus","Pseudoxanthomonas",0.17559257227594,0.642030929054068,0.357969070945932
"Acinetobacter","Pedobacter",0.174695125220232,0.642380290318659,0.357619709681341
"Nonlabens","Brevundimonas",0.174574283194593,0.642427317603092,0.357572682396908
"Trueperella","GW-34",0.174320573172175,0.642526041039515,0.357473958960485
"Lactococcus","Mucilaginibacter",0.174276688329301,0.642543115934915,0.357456884065085
"Atopostipes","ph2",0.173251253876318,0.642941967102662,0.357058032897338
"Ochrobactrum","Peredibacter",0.166448035264332,0.645581894392829,0.354418105607171
"Anaerococcus","Aeriscardovia",0.165398393490326,0.645988237706258,0.354011762293742
"Corynebacterium","Micrococcus",0.156086030614424,0.649582161618365,0.350417838381635
"CF231","Barnesiella",0.155767163756118,0.649704870015564,0.350295129984436
"Macrococcus","Micrococcus",0.154188670238447,0.65031197504027,0.34968802495973
"Ornithinimicrobium","Petrimonas",0.152283664069303,0.651043906326869,0.348956093673131
"Trueperella","ph2",0.149983161647146,0.65192669770184,0.34807330229816
"Collinsella","Desulfovibrio",0.148720378218814,0.652410768527461,0.347589231472539
"Dorea","Macellibacteroides",0.146771697403256,0.653157064800169,0.346842935199831
"Arthrobacter","Acholeplasma",0.143803131482408,0.654292315604269,0.345707684395731
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Prevotella",0.141721104830868,0.65508735874276,0.34491264125724
"Elizabethkingia","Lactococcus",0.139960295994431,0.655758989265709,0.344241010734291
"Kribbia","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.139311394262794,0.656006328375423,0.343993671624577
"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas","Brevundimonas",0.138276110821808,0.656400749991266,0.343599250008734
"Barnesiella","Oligella",0.134727068672452,0.657751066638264,0.342248933361736
"Streptococcus","Pedobacter",0.134311495077899,0.657909000136835,0.342090999863165
"Elizabethkingia","Enhydrobacter",0.133565483998291,0.65819241715539,0.34180758284461
"Weissella","Isobaculum",0.132506621973747,0.658594479944318,0.341405520055682
"Kurthia","Anaerorhabdus",0.130900402579237,0.659203912845169,0.340796087154831
"Dietzia","Nocardioides",0.129890081654882,0.659586961038921,0.340413038961079
"Staphylococcus","Flavobacterium",0.127257463049663,0.660584035891853,0.339415964108147
"Rhizobium","Brevundimonas",0.119381231498411,0.663558124244436,0.336441875755564
"CF231","Oscillospira",0.118885497694064,0.663744869021952,0.336255130978048
"Nonlabens","Mucilaginibacter",0.11498409530937,0.665212712104418,0.334787287895582
"Kribbia","Kurthia",0.114276758849321,0.665478489941891,0.334521510058109
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Lactonifactor",0.107374868937618,0.668066288276239,0.331933711723761
"CF231","Treponema",0.10288286369665,0.669745151644769,0.330254848355231
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides","Campylobacter",0.102130501357215,0.670025931827562,0.329974068172438
"Ornithinimicrobium","Kribbia",0.100930408620334,0.67047356076868,0.32952643923132
"Bifidobacterium","Roseburia",0.100415295698664,0.670665603822552,0.329334396177448
"Dietzia","Anaerorhabdus",0.0931290396533414,0.673376180283598,0.326623819716402
"Trueperella","Haloplasma",0.0928661594533856,0.673473771035894,0.326526228964106
"Succinispira","Prevotella",0.0924048572487866,0.67364498912677,0.32635501087323
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Roseburia",0.0921829690424208,0.673727330215117,0.326272669784883
"Ornithinimicrobium","Anaerorhabdus",0.0884525022493378,0.675110175360534,0.324889824639466
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Papillibacter",0.0861489753172195,0.675962656025753,0.324037343974247
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.0850008930041196,0.676387132859534,0.323612867140466
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.0842209386531091,0.676675351016605,0.323324648983395
"Faecalibacterium","Collinsella",0.0823267693103255,0.677374796803688,0.322625203196312
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Roseburia",0.0794024422753647,0.67845322525751,0.32154677474249
"Ornithinimicrobium","Dietzia",0.079347646459007,0.678473416406639,0.321526583593361
"Succinispira","Sporobacter",0.0790147614059392,0.678596064899459,0.321403935100541
"Kocuria","Pseudoxanthomonas",0.0784631392695012,0.678799256308704,0.321200743691296
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Roseburia",0.0755371760035794,0.679876026933007,0.320123973066993
"Petrimonas","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.0755294250602332,0.679878877058174,0.320121122941826
"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Collinsella",0.0752102128587289,0.67999624526216,0.32000375473784
"ph2","Helcococcus",0.0744918960058911,0.680260282536805,0.319739717463195
"Dorea","Peptostreptococcus",0.073875486541224,0.680486779246583,0.319513220753417
"Sporobacter","Barnesiella",0.0692076403592574,0.682199516139063,0.317800483860937
"Streptococcus","Acinetobacter",0.068907477791785,0.682309505359633,0.317690494640367
"Papillibacter","Akkermansia",0.0670728108341826,0.682981401344801,0.317018598655199
"Bdellovibrio","Ochrobactrum",0.0668845986469389,0.683050291469472,0.316949708530528
"Macrococcus","Arthrobacter",0.0665044431819599,0.683189416200968,0.316810583799032
"Atopostipes","Trueperella",0.0650527862849007,0.683720415709192,0.316279584290808
"CF231","Alistipes",0.0649352047263837,0.683763407646832,0.316236592353168
"GW-34","Petrimonas",0.064649935505766,0.683867700836293,0.316132299163707
"Bdellovibrio","Rhizobium",0.0631662196730954,0.684409884618459,0.315590115381541
