"Node1","Node2","Association","Dissimilarity","Adjecency"
"Bordetella","Ochrobactrum",0.438387007725441,0.529911781466764,0.470088218533236
"Sporobacter","Lactonifactor",0.431264567027529,0.533261396020972,0.466738603979028
"Ornithinimicrobium","Nocardioides",0.402116488572076,0.546755663632268,0.453244336367732
"Helicobacter","Methylotenera",0.388098990404926,0.55312792805782,0.44687207194218
"Methylotenera","Pelomonas",0.375686131184899,0.558710062919535,0.441289937080465
"Barnesiella","Atopostipes",0.366503498079252,0.562803918750015,0.437196081249985
"Elizabethkingia","Rhizobium",0.343244471487521,0.573042550127161,0.426957449872839
"Pedobacter","Pseudoxanthomonas",0.342479696670288,0.573376099663088,0.426623900336912
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Oscillospira",0.342038219006795,0.573568557799852,0.426431442200148
"Albidovulum","Porphyrobacter",0.336544148060709,0.57595826755907,0.42404173244093
"Kerstersia","Xanthobacter",0.330141230209968,0.578730839764926,0.421269160235074
"Alistipes","Treponema",0.316972125125191,0.584391938203638,0.415608061796362
"Alistipes","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.314906405769482,0.585274975644149,0.414725024355851
"Isobaculum","ph2",0.304573806200899,0.589672024857505,0.410327975142495
"Nitriliruptor","Blastococcus",0.300954866895915,0.591204335701323,0.408795664298677
"Enhydrobacter","Acinetobacter",0.300551749741149,0.591374775526844,0.408625224473156
"Atopococcus","Millisia",0.281561640929396,0.59934896307185,0.40065103692815
"Kerstersia","Beutenbergia",0.281059937024471,0.599558196914832,0.400441803085168
"Anaerobiospirillum","ph2",0.268511131456764,0.604768083046401,0.395231916953599
"Kerstersia","Proteus",0.251611006093121,0.611714391651398,0.388285608348602
"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus","Prevotella",0.240760719511149,0.616132810556641,0.383867189443359
"Olsenella","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.230803092767315,0.620160022587995,0.379839977412005
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus","Olsenella",0.228518996233309,0.621080109070759,0.378919890929241
"Pelomonas","Planktophila",0.210390395930469,0.628334944145848,0.371665055854152
"Ornithinicoccus","Herbiconiux",0.210145312997713,0.628432449433623,0.371567550566377
"Sphingobacterium","Gulbenkiania",0.208628956882867,0.629035389750502,0.370964610249498
"Gulbenkiania","Herbiconiux",0.202381826521097,0.631513330611042,0.368486669388958
"Atopococcus","Olsenella",0.202228038557532,0.631574208404075,0.368425791595925
"Bergeyella","Bibersteinia",0.201113789926572,0.6320151145635,0.3679848854365
"Rhizobium","Brevundimonas",0.20090285240438,0.632098547536545,0.367901452463455
"Lactococcus","Kurthia",0.195977135250943,0.634043714876607,0.365956285123393
"Micrococcus","Millisia",0.187659728030136,0.63731478563182,0.36268521436818
"Lactobacillus","Pediococcus",0.184342594243456,0.638614674806547,0.361385325193453
"Rothia","Bergeyella",0.183966394177628,0.638761929760365,0.361238070239635
"CF231","Pediococcus",0.183383130485891,0.638990167965873,0.361009832034127
"Enhydrobacter","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",0.172599543241748,0.643195326770279,0.356804673229721
"Dietzia","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.164601366137286,0.646296616834219,0.353703383165781
"CF231","Blastococcus",0.16290505354061,0.646952450516802,0.353047549483198
"Succinispira","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",0.162251435945173,0.647204976825282,0.352795023174718
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Prevotella",0.16103207617219,0.647675815446204,0.352324184553796
"Sphingobacterium","Pedobacter",0.141243669501403,0.655269536335467,0.344730463664533
"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",0.14118315797594,0.655292622430644,0.344707377569356
"Bergeyella","Deinobacterium",0.134997580846324,0.657648241521893,0.342351758478107
"Olsenella","Akkermansia",0.133938362213691,0.658050772276087,0.341949227723913
"Alistipes","Papillibacter",0.128798236222403,0.660000668097237,0.339999331902763
"Treponema","Desulfovibrio",0.128123858617938,0.660256064486371,0.339743935513629
"Caldimonas","Deinobacterium",0.12807401681128,0.660274936366935,0.339725063633065
"Alistipes","Dietzia",0.125486261528471,0.661254012642468,0.338745987357532
"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio","Planktophila",0.120907466819919,0.662982855426926,0.337017144573074
"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.116899442414721,0.664492497168056,0.335507502831944
"Corynebacterium","CF231",0.109927616560893,0.667110329495469,0.332889670504531
"Treponema","Roseburia",0.108453480290578,0.667662534409945,0.332337465590055
"Dietzia","Sphingomonas",0.107601533021315,0.667981461935391,0.332018538064609
"Kerstersia","Dysgonomonas",0.107364198144815,0.668070281428229,0.331929718571771
