"Node1","Node2","Association","Dissimilarity","Adjecency"
"Thermomonas","Acidovorax",0.511539721430023,0.494196458187418,0.505803541812582
"Serinibacter","Brooklawnia",0.510337317646959,0.494804346359771,0.505195653640229
"Pantoea","Ochrobactrum",0.50920984724993,0.495373673477946,0.504626326522054
"Psychrobacter","Aeriscardovia",0.483294577302188,0.50828408527998,0.49171591472002
"Granulicatella","Papillibacter",0.41664448279588,0.540071993906424,0.459928006093576
"Pedobacter","Aeromonas",0.408037728040663,0.544041483693724,0.455958516306276
"Prevotella","Campylobacter",0.343767762861985,0.572814209468487,0.427185790531513
"Elizabethkingia","Pseudoxanthomonas",0.327921129695628,0.579689084899988,0.420310915100012
"Rhizobium","Lactobacillus",0.327441402915408,0.579895937683905,0.420104062316095
"Rheinheimera","Acholeplasma",0.323978630888894,0.581386863074453,0.418613136925547
"Enterococcus","Oscillospira",0.31376726549074,0.585761356914768,0.414238643085232
"Enhydrobacter","Rothia",0.302423437416963,0.590583001187402,0.409416998812598
"Atopostipes","Nitrobacteria",0.293613904640693,0.594300469190168,0.405699530809832
"Nocardioides","Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",0.2796377820568,0.600150905166026,0.399849094833974
"Alkanindiges","Nitrobacteria",0.277436128175164,0.601067330598177,0.398932669401823
"GW-34","Syntrophococcus",0.274656898137346,0.602222177382506,0.397777822617494
"Oscillospira","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",0.265684201598628,0.605935556970117,0.394064443029883
"Millisia","ph2",0.26231935508221,0.60732225585672,0.39267774414328
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","[Clostridium]",0.261416623473972,0.607693745453262,0.392306254546738
"Pedobacter","Bordetella",0.257398330253757,0.609344594521951,0.390655405478049
"Snodgrassella","Sphingomonas",0.253917236948147,0.610771136781959,0.389228863218041
"Kurthia","Akkermansia",0.245790239393215,0.614088658341279,0.385911341658721
"Dietzia","Ornithobacterium",0.226479892681969,0.621900356696324,0.378099643303676
"Corynebacterium","ph2",0.223643273716623,0.6230396160291,0.3769603839709
"Kurthia","Anaerobiospirillum",0.221117849224011,0.624052141561901,0.375947858438099
"Anaerorhabdus","Desulfovibrio",0.21443574087539,0.626723327762981,0.373276672237019
