"Node1","Node2","Association","Dissimilarity","Adjecency"
"Snodgrassella","Gluconacetobacter",0.61240491720357,0.440224421628577,0.559775578371423
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Prevotella",0.484093031302141,0.507891213104666,0.492108786895334
"Nonlabens","Bdellovibrio",0.477413431875899,0.511168547606414,0.488831452393586
"Arthrobacter","Acholeplasma",0.421895180492992,0.537635945369638,0.462364054630362
"Weissella","Wautersiella",0.403302013765221,0.546213321988204,0.453786678011796
"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium","Succinivibrio",0.401084605018458,0.547227281383861,0.452772718616139
"Collinsella","Dorea",0.391273782204317,0.55169113541713,0.44830886458287
"Anaerococcus","Isobaculum",0.383580685967507,0.555166332747445,0.444833667252555
"Faecalibacterium","Mucispirillum",0.383449463308226,0.555225421199252,0.444774578800748
"Atopococcus","Granulicatella",0.355155580216214,0.567822340078209,0.432177659921791
"Lysobacter","Nocardioides",0.344493812450253,0.572497243464869,0.427502756535131
"Acinetobacter","Pedobacter",0.342653824227252,0.573300172585334,0.426699827414666
"Treponema","Anaerobiospirillum",0.333735087642589,0.577176278253624,0.422823721746376
"Kocuria","Nonlabens",0.316749930935003,0.584486984057386,0.415513015942614
"Millisia","Trueperella",0.304173516292963,0.589841709150445,0.410158290849555
"Selenomonas","Peptostreptococcus",0.302884696683821,0.590387712997221,0.409612287002779
"Oscillospira","Campylobacter",0.295178387664658,0.593641984842439,0.406358015157561
"Ochrobactrum","Peredibacter",0.282370173323485,0.599011613692303,0.400988386307697
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",0.276765970857882,0.60134600237389,0.39865399762611
"Mucispirillum","Helicobacter",0.271679262427182,0.603457014862209,0.396542985137791
"Succinispira","[Clostridium]",0.267019750546372,0.605384278559341,0.394615721440659
"Dorea","Peptostreptococcus",0.258621624931445,0.608842498134187,0.391157501865813
"Dietzia","Nocardioides",0.258191064580052,0.609019267108992,0.390980732891008
"Corynebacterium","Micrococcus",0.255534122405656,0.610108956496437,0.389891043503563
"Atopostipes","Millisia",0.254923590139185,0.610359078682711,0.389640921317289
"Lactobacillus","Pediococcus",0.247594899936558,0.613353527773111,0.386646472226889
"Faecalibacterium","Dorea",0.246706624598788,0.613715477807596,0.386284522192404
"Macellibacteroides","Psychrobacter",0.24619045888699,0.613925704427258,0.386074295572742
"Bifidobacterium","Roseburia",0.245511376619268,0.614202174931322,0.385797825068678
"Helcococcus","Aeriscardovia",0.243850662889065,0.614877767166343,0.385122232833657
"Macrococcus","Alkalibacterium",0.241039929473166,0.61601950883346,0.38398049116654
"Succinispira","Prevotella",0.228998006435487,0.620887265759459,0.379112734240541
"Alkanindiges","Mucilaginibacter",0.21486841964578,0.626550708384493,0.373449291615507
"Staphylococcus","Flavobacterium",0.207977162773872,0.629294381520337,0.370705618479663
"Dorea","Butyricicoccus",0.207563733042168,0.62945860346723,0.37054139653277
"Kribbia","Kurthia",0.205856932671052,0.630136123122991,0.369863876877009
"Helcobacillus","Serinibacter",0.202802859767,0.631346632299959,0.368653367700041
"Macrococcus","Atopostipes",0.200739636495419,0.632163097429999,0.367836902570001
"Brevibacterium","Oscillospira",0.196783267422965,0.633725781618925,0.366274218381075
"Alistipes","Sporobacter",0.193537247928583,0.635005020480711,0.364994979519289
"[Prevotella]","Peptostreptococcus",0.184448042779653,0.638573393283946,0.361426606716054
"Micrococcus","Kribbia",0.184391325351008,0.638595597639458,0.361404402360542
"Lactococcus","Nonlabens",0.181981363436953,0.639538363416553,0.360461636583447
"Helcococcus","Oligella",0.181789328093911,0.639613426964322,0.360386573035678
"Nonlabens","Peredibacter",0.179772481794542,0.640401248517466,0.359598751482534
"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides","Collinsella",0.178500854357339,0.640897474500665,0.359102525499335
"Dietzia","Alkalibacterium",0.1784887864323,0.640902181915345,0.359097818084655
"Macrococcus","Micrococcus",0.17831530110292,0.640969850654881,0.359030149345119
"GW-34","Haloplasma",0.177108647586597,0.641440313830291,0.358559686169709
"Atopococcus","GW-34",0.176855213158359,0.641539081756381,0.358460918243619
"Elizabethkingia","Enhydrobacter",0.17633052780228,0.641743512704928,0.358256487295072
"Flavobacterium","Psychrobacter",0.176167052748419,0.641807193498009,0.358192806501991
"Barnesiella","Oligella",0.175176282838718,0.642193007265449,0.357806992734551
"CF231","Oscillospira",0.169735761768246,0.644307472497314,0.355692527502686
"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium","Lactonifactor",0.168616302408558,0.644741691529035,0.355258308470965
"Pseudoxanthomonas","Peredibacter",0.168436099411083,0.644811561849242,0.355188438150758
"Desulfovibrio","Sphingomonas",0.167224017036628,0.645281327392701,0.354718672607299
"Alistipes","Barnesiella",0.161531564999186,0.647482986263274,0.352517013736726
"Pediococcus","Selenomonas",0.158445215374412,0.648673563753599,0.351326436246401
"Succinispira","Akkermansia",0.15597083709045,0.649626493806076,0.350373506193924
"Succinispira","Sporobacter",0.151537917407949,0.651330209107504,0.348669790892496
"ph2","Petrimonas",0.149186775937623,0.652232023156782,0.347767976843218
"Snodgrassella","Pseudoxanthomonas",0.14819221597003,0.652613125837188,0.347386874162812
"Pseudoxanthomonas","Rhizobium",0.147285760750124,0.65296027415528,0.34703972584472
