"from","to","weight","association"
1,2,0.630081562839623,1
2,4,0.642626162421273,1
1,5,0.481812294136543,1
2,5,0.592713622104913,1
3,6,0.669353488107198,1
4,6,0.122790071778159,-1
1,7,0.552346518754997,1
3,7,0.458885927572145,1
5,7,0.48841609325854,1
5,8,0.479160771039309,1
6,8,0.150218523331087,-1
7,8,0.456872475258484,1
2,9,0.0730376647263349,-1
3,9,0.633885128958244,1
4,9,0.118535276887437,-1
5,9,0.125278017674574,-1
6,9,0.579800094114344,1
8,9,0.133056675141855,-1
3,10,0.522286428113523,1
6,10,0.565020744490937,1
8,10,0.145219427038551,-1
4,11,0.457562844296851,1
6,11,0.139822929386285,-1
10,11,0.140034029325241,-1
4,12,0.120434521527905,-1
6,12,0.565995077751606,1
11,12,0.0449629445390475,-1
3,13,0.50947260311677,1
3,14,0.536322939075033,1
6,14,0.541251614634085,1
8,14,0.0741280879562705,-1
9,14,0.495871610701548,1
10,14,0.609285071254129,1
13,14,0.578942252176607,1
5,16,0.46828447016763,1
8,16,0.467290668198274,1
1,17,0.121573270461659,-1
2,17,0.138922179772365,-1
3,17,0.153186035935614,-1
5,17,0.15749251933233,-1
7,17,0.0988523728121088,-1
10,17,0.118189775975777,-1
13,17,0.0962995105613683,-1
2,18,0.571651757613948,1
4,18,0.540150890694059,1
5,18,0.610641494131736,1
9,18,0.120827446717677,-1
12,18,0.157263453753942,-1
15,18,0.467328860211024,1
17,18,0.162366713870418,-1
2,19,0.47630842880511,1
3,19,0.0866154597785131,-1
4,19,0.49297224733273,1
6,19,0.123537784837719,-1
7,19,0.157505620686811,-1
8,19,0.482682868096607,1
9,19,0.108753411743795,-1
10,19,0.140434342185104,-1
11,19,0.507065186977919,1
12,19,0.152592131911574,-1
13,19,0.149162837279804,-1
14,19,0.12133733696665,-1
16,19,0.454644258482955,1
2,20,0.485032693220028,1
4,20,0.452754566963232,1
5,20,0.632185834312856,1
11,20,0.531680297013028,1
12,20,0.149022090547025,-1
15,20,0.499627385725412,1
16,20,0.504513680353586,1
18,20,0.593646393198906,1
19,20,0.49812971182133,1
4,21,0.146727839174453,-1
11,21,0.0853730856012301,-1
12,21,0.547414683891627,1
19,21,0.0982237165591701,-1
20,21,0.12694187487927,-1
3,22,0.616041103719673,1
6,22,0.464696835420321,1
8,22,0.119594466913183,-1
9,22,0.490163960439922,1
10,22,0.460086026328406,1
13,22,0.738906516013867,1
14,22,0.670972311499321,1
17,22,0.139972868011941,-1
19,22,0.102678175151497,-1
2,23,0.147146262702834,-1
4,23,0.0958598000616029,-1
6,23,0.531627000607032,1
9,23,0.501848998440049,1
11,23,0.0938908330991347,-1
12,23,0.573653348181521,1
19,23,0.107671417223186,-1
20,23,0.153505477716913,-1
21,23,0.600798134036261,1
1,24,0.155227307699215,-1
2,24,0.155244631670778,-1
22,24,0.477401838673583,1
2,25,0.535710699040386,1
4,25,0.538540003524007,1
5,25,0.630454388081305,1
9,25,0.146252838205953,-1
11,25,0.561547974953423,1
12,25,0.115046254153848,-1
15,25,0.456334028272444,1
16,25,0.461074504114484,1
18,25,0.662538637990188,1
19,25,0.549227716128011,1
20,25,0.740438412966303,1
21,25,0.119268015097392,-1
23,25,0.126501676894873,-1
1,26,0.0745754381870515,-1
2,26,0.0736997892340649,-1
4,26,0.152268995592586,-1
5,26,0.15030003463401,-1
15,26,0.0882218878764994,-1
5,27,0.479281583184634,1
15,27,0.524984167266582,1
16,27,0.526362077515935,1
20,27,0.584618975590852,1
25,27,0.510268021811779,1
2,28,0.141828155456189,-1
3,28,0.472058927054726,1
4,28,0.0946992013966498,-1
6,28,0.525861367547728,1
9,28,0.533060033775984,1
11,28,0.1426008330105,-1
12,28,0.543414660603158,1
18,28,0.131276671777895,-1
19,28,0.122136394784657,-1
21,28,0.524763025518874,1
23,28,0.590537706454416,1
25,28,0.134077742630159,-1
2,29,0.552610128103775,1
4,29,0.547481722704684,1
5,29,0.633811316147863,1
9,29,0.143604579486993,-1
11,29,0.549943509326251,1
12,29,0.117782732641496,-1
15,29,0.453436416571232,1
18,29,0.649100767970636,1
19,29,0.544482881112554,1
20,29,0.724358401558462,1
21,29,0.117777082489782,-1
23,29,0.112347536204095,-1
