"index","lable","cluster","hubs","degree","ev","between","close"
1,"Macrococcus",3,0,0.121212121212121,0.0696366571623844,0.0142238713667285,0.825595581989708
2,"Kocuria",3,0,0.343434343434343,0.425627143094744,0.0307153164296021,1.05925526737476
3,"Streptococcus",2,0,0.272727272727273,0.315909000494506,0.0245310245310245,1.04732615824797
4,"Arthrobacter",3,0,0.454545454545455,0.526020158011057,0.0420531849103278,1.09468365974479
5,"Enhydrobacter",3,0,0.272727272727273,0.298385653374118,0.0152545866831581,1.02263091444369
6,"Atopococcus",2,0,0.303030303030303,0.572836761345686,0.0342197485054628,1.04929330244923
7,"Corynebacterium",3,0,0.0909090909090909,0.0546695886580641,0.00247371675943105,0.80045480451445
8,"Staphylococcus",3,0,0.181818181818182,0.160585642589971,0.00494743351886209,0.948246782791315
9,"Granulicatella",2,0,0.464646464646465,0.788759965776956,0.0577200577200577,1.18234254973184
10,"Ornithinimicrobium",2,0,0.141414141414141,0.09904355402528,0.00247371675943105,0.852308001076246
11,"Bifidobacterium",3,0,0.343434343434343,0.381247803348591,0.018140589569161,1.00752255409855
12,"Succinispira",1,0,0.313131313131313,0.844264858488586,0.015460729746444,1.06388191346135
13,"Rothia",2,0,0.111111111111111,0.0640671114985553,0.00144300144300144,0.816456343190179
14,"Helcobacillus",2,0,0.171717171717172,0.181562983908593,0.00618429189857761,0.926794504240008
15,"Acinetobacter",3,0,0.181818181818182,0.154959923891001,0.00329828901257473,0.863323798814858
16,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",3,0,0.181818181818182,0.172753889793109,0.0131931560502989,0.930933668511808
17,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",3,0,0.181818181818182,0.0966566083380308,0.0115440115440115,0.892026162157045
18,"Aeromonas",3,0,0.262626262626263,0.370592904476968,0.0212327355184498,1.03312894012225
19,"Lacticigenium",3,0,0.404040404040404,0.444279658571631,0.023294166151309,1.04028875734405
20,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",3,0,0.292929292929293,0.43280973056564,0.0193774479488765,1.07915214666946
21,"Alistipes",1,0,0.343434343434343,0.862961874148163,0.0344258915687487,1.0664821786574
22,"Micrococcus",2,0,0.212121212121212,0.190387046243375,0.0171098742527314,0.941460193931889
23,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",1,1,0.363636363636364,0.984235079893212,0.0276231704803133,1.1168965948091
24,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",3,0,0.101010101010101,0.0334615841473766,0,0.703140581441084
25,"Rheinheimera",3,0,0.383838383838384,0.527545180006668,0.0251494537208823,1.13045221447403
26,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",2,0,0.171717171717172,0.12822944297327,0.00845186559472274,0.938433216895878
27,"Wautersiella",3,0,0.373737373737374,0.348142364118427,0.0195835910121624,1.01707543340519
28,"Weissella",1,1,0.383838383838384,1,0.0340136054421769,1.13467483013796
29,"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio",3,0,0.363636363636364,0.512144512881031,0.00329828901257473,1.11059173225562
30,"Ochrobactrum",2,0,0.292929292929293,0.28097688039991,0.0150484436198722,1.0022727015935
31,"[Clostridium]",2,0,0.343434343434343,0.650533000592437,0.025974025974026,1.11444580157624
32,"Flavobacterium",4,0,0.333333333333333,0.387865000415082,0.023294166151309,1.07735009098241
33,"Nocardioides",2,0,0.171717171717172,0.127249175570709,0.00597814883529169,0.875847499585202
34,"Deinobacterium",2,0,0.303030303030303,0.31354510951712,0.00680272108843537,1.00307638718069
35,"Alysiella",2,0,0.141414141414141,0.142294231036978,0.0121624407338693,0.951345087281173
36,"Petrimonas",4,0,0.444444444444444,0.814171704956577,0.0397856112141826,1.12626027657027
37,"CF231",1,1,0.343434343434343,0.960993590520639,0.00453514739229025,1.08946049603723
38,"Psychrobacter",2,0,0.171717171717172,0.204788677055571,0.0119562976705834,0.991148596737804
39,"Nitriliruptor",2,0,0.282828282828283,0.293550156633411,0.00247371675943105,0.994298297952772
40,"Caldimonas",2,0,0.333333333333333,0.336445233652464,0.0224695938981653,1.04505937079614
41,"Novosphingobium",3,0,0.292929292929293,0.304544701325558,0.0183467326324469,1.01198476640444
42,"Elizabethkingia",2,0,0.202020202020202,0.187148441403334,0.00639043496186353,0.961221566149033
43,"Sporobacter",3,0,0.131313131313131,0.0810170384773486,0.00700886415172129,0.906623033019922
44,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",1,0,0.0606060606060606,0.100465424926206,0.010307153164296,0.735854096213735
45,"Dietzia",2,0,0.303030303030303,0.293071976012063,0.0189651618223047,0.997986907059916
46,"Treponema",1,0,0.212121212121212,0.606225272761752,0,0.901449781324886
47,"Prevotella",1,0,0.313131313131313,0.901571669618299,0,1.06365300906244
48,"Akkermansia",1,0,0.323232323232323,0.885407626505061,0.00123685837971552,1.05351692037553
49,"Albidovulum",2,0,0.282828282828283,0.288676285495489,0,0.981208369284774
50,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",1,0,0.313131313131313,0.840321012613651,0.000618429189857761,1.0219129550779
51,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",1,1,0.343434343434343,0.921209156802545,0.0119562976705834,1.06285420615931
52,"Papillibacter",1,0,0.272727272727273,0.793082241846814,0,0.977363641717958
53,"Blastococcus",2,0,0.323232323232323,0.323181103025118,0.00391671820243249,1.00127333898342
54,"ph2",4,0,0.303030303030303,0.328568785792375,0.0020614306328592,1.0333074178595
55,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",1,1,0.343434343434343,0.923876699083828,0.00144300144300144,1.06159695737975
56,"Millisia",3,0,0.0707070707070707,0.0263212774876348,0.00123685837971552,0.744098191011064
57,"Ornithinicoccus",2,0,0.303030303030303,0.262735371256513,0.00535971964543393,0.959619267124326
58,"Bergeyella",2,0,0.202020202020202,0.25068324974007,0.00577200577200577,0.983613405690667
59,"Roseburia",1,0,0.262626262626263,0.798828087298255,0,0.981048324390186
60,"Atopostipes",1,0,0.181818181818182,0.386079535766525,0.0138115852401567,0.873660655533789
61,"Brevibacterium",3,0,0.111111111111111,0.0880089780722633,0.00556586270871985,0.853315432927669
62,"Actinobacillus",2,0,0.212121212121212,0.238587547137006,0.0140177283034426,0.934946725561075
63,"Lysobacter",1,0,0.333333333333333,0.904177788991231,0,1.05028566621865
64,"Anaerosinus",3,0,0.232323232323232,0.229087724309304,0.0278293135435993,0.997468854500612
65,"Bordetella",2,0,0.282828282828283,0.292812000131897,0,0.963995280391824
66,"Olsenella",2,0,0.131313131313131,0.159810809090243,0.0121624407338693,0.86509526434341
67,"Kribbia",4,0,0.303030303030303,0.326541840002692,0.00412286126571841,1.04230306226476
68,"Lactobacillus",3,0,0.101010101010101,0.0541214532228228,0.000412286126571841,0.83686896972711
69,"Lactonifactor",1,0,0.252525252525253,0.758115356560684,0,0.974015066158633
70,"Sphingomonas",3,0,0.171717171717172,0.155307126713508,0.00226757369614512,0.9036407767881
71,"Planktophila",3,0,0.353535353535354,0.488253312276647,0.00164914450628736,1.08308383663216
72,"GW-34",4,0,0.282828282828283,0.288818909624345,0.00309214594928881,1.00930086315285
