"from","to","weight","association"
3,6,0.336913739287204,1
6,7,0.343379257986561,1
6,10,0.31037782523604,1
1,11,0.28688859712413,-1
10,13,0.333632265618465,1
10,14,0.34530665731336,1
4,18,0.310920096805842,1
3,19,0.218077213158457,-1
5,20,0.319310375269043,1
3,22,0.304443059414091,1
10,22,0.299234443006632,1
14,22,0.447124549175587,1
6,23,0.292992463133353,1
12,23,0.295005193462185,1
2,26,0.288092110980589,-1
15,27,0.300273679510862,1
20,27,0.436178265673846,1
6,28,0.29297031903341,1
12,28,0.295077110224666,1
23,28,0.304571715065525,1
25,29,0.366330939913691,1
7,30,0.349008582254328,1
11,30,0.221985740401741,-1
9,31,0.365802277669093,1
17,32,0.293668660381837,1
33,34,0.295732630545416,1
6,36,0.292983902113318,1
12,36,0.295141130730626,1
23,36,0.304813794857436,1
28,36,0.304842539895244,1
21,37,0.310442728475321,1
9,38,0.380982428498939,1
33,39,0.295710721229958,1
34,39,0.310523547008148,1
34,40,0.298979594887763,1
39,40,0.298885072787371,1
8,41,0.33003789834879,1
2,42,0.266829611966803,-1
9,42,0.356396151181541,1
24,42,0.331398107921617,1
26,42,0.312970959512595,1
8,43,0.305105697460351,1
16,43,0.303062046698635,1
17,43,0.323909317011781,1
12,44,0.311631047382161,1
30,44,0.304714907587659,1
18,45,0.435936588501904,1
21,46,0.310326688625002,1
37,46,0.310210649662243,1
6,47,0.293017966289877,1
12,47,0.295191187468379,1
23,47,0.304726924261644,1
28,47,0.304815380946615,1
36,47,0.30489124640793,1
6,48,0.293064939971096,1
12,48,0.295199588300624,1
23,48,0.304907823120911,1
28,48,0.304936572047368,1
36,48,0.304840269079349,1
47,48,0.304858430764112,1
33,49,0.295744149858016,1
34,49,0.310395910080017,1
39,49,0.310268341859215,1
40,49,0.298800105903515,1
21,50,0.310295349398219,1
37,50,0.310179312577877,1
46,50,0.310147976917011,1
6,51,0.293124388485284,1
12,51,0.295171938019247,1
23,51,0.304734574221722,1
28,51,0.304823031880109,1
36,51,0.30474527578367,1
47,51,0.304917061393141,1
48,51,0.304752925945662,1
21,52,0.310366963017569,1
37,52,0.31025091856357,1
46,52,0.310219579649739,1
50,52,0.310291189815987,1
33,53,0.295817356522077,1
34,53,0.310336170709989,1
39,53,0.310208591098175,1
40,53,0.298764266194412,1
49,53,0.310148845512551,1
17,54,0.293723151769846,1
32,54,0.310523493622529,1
6,55,0.293192290544852,1
12,55,0.295112425988349,1
23,55,0.304827072599609,1
28,55,0.30485581818646,1
36,55,0.304665588333943,1
47,55,0.304777685979764,1
48,55,0.304519665071819,1
51,55,0.304603020954968,1
16,56,0.315522810727273,1
24,56,0.315376516265946,1
19,57,0.283483458631757,-1
33,57,0.314029016916813,1
19,58,0.27415419699,-1
31,58,0.363133002029473,1
57,58,0.369321924822171,1
6,59,0.293294368519094,1
12,59,0.29503441466869,1
23,59,0.304483607823938,1
28,59,0.304567350704716,1
36,59,0.304504715167309,1
47,59,0.304732319700207,1
48,59,0.304615724509211,1
51,59,0.304759712837589,1
55,59,0.304552178691238,1
44,60,0.315994350528572,1
7,61,0.293948367947285,1
15,61,0.304947386561694,1
56,61,0.304559297829189,1
11,62,0.306627000775713,1
15,62,0.276507112107313,-1
16,62,0.288997906447617,-1
6,63,0.29325539597642,1
12,63,0.294957392717402,1
23,63,0.304395218662774,1
28,63,0.304478950901248,1
36,63,0.304475843457564,1
47,63,0.304643898924408,1
48,63,0.304586848190644,1
51,63,0.304604434213332,1
55,63,0.304523305011104,1
59,63,0.304641987893054,1
4,64,0.21036302662774,-1
17,64,0.299581047714697,1
43,64,0.29450168940054,1
33,65,0.295896267496691,1
34,65,0.310379163776686,1
39,65,0.310251541997677,1
40,65,0.298794304038811,1
49,65,0.310191792692125,1
53,65,0.310234742545839,1
21,66,0.310499625096134,1
37,66,0.310383567694362,1
46,66,0.310352222752717,1
50,66,0.310423846693497,1
52,66,0.310556529095726,1
