"index","lable","cluster","hubs","degree","ev","between","close"
1,"Macrococcus",3,0,1,6.63491194606034e-05,0,0.28101223333565
2,"Kocuria",1,0,3,1.05202087444018e-06,0.0229335881509795,0.351365655539067
3,"Streptococcus",2,0,3,0.0755965194677423,0.114190157668419,0.420978855785464
4,"Arthrobacter",1,0,2,5.99756888803146e-06,0.0255613951266125,0.362987908489374
5,"Enhydrobacter",3,0,2,0.00011690789916111,0.00477783086478739,0.320903520067274
6,"Atopococcus",2,0,17,0.9294376388394,0.302197802197802,0.553156949725638
7,"Corynebacterium",3,0,5,0.0787906766318974,0.26899187768753,0.490135796846475
8,"Staphylococcus",4,0,2,1.36556682627244e-06,0.0967510750119446,0.375638737120715
9,"Granulicatella",1,0,3,3.076504155361e-06,0.0482560917343526,0.341503055985878
10,"Ornithinimicrobium",2,0,6,0.0750810635905078,0.0623506927854754,0.457902671869857
11,"Bifidobacterium",3,0,3,0.000971449321743283,0.0504061156235069,0.360982996643863
12,"Succinispira",2,0,15,0.924488483673468,0.0124223602484472,0.450749678782136
13,"Rothia",2,0,2,0.00599468708384644,0.0164835164835165,0.373830484818565
14,"Helcobacillus",2,0,2,0.00740867805131234,0,0.360399865940903
15,"Acinetobacter",3,0,5,0.00107335322062295,0.042044911610129,0.40544008154099
16,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",3,0,3,0.000107369677457944,0.0652173913043478,0.427236614322003
17,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",6,0,11,1.72632181651547e-06,0.178451982799809,0.443410203816439
18,"Aeromonas",1,0,4,7.98670366292739e-05,0.108456760630674,0.409908584770404
19,"Lacticigenium",1,0,3,0.00396354478597372,0.0962732919254658,0.36952499583666
20,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",3,0,2,1.70383896370642e-05,0.000238891543239369,0.285800410148628
21,"Alistipes",5,0,9,2.05691868927039e-05,0,0.409553965444581
22,"Micrococcus",2,0,3,0.0116163749421321,0.00453893932154802,0.373437050128773
23,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",2,0,14,0.999537251180586,0,0.476917690381574
24,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",1,0,2,9.63794420345058e-05,0.0852842809364548,0.395892148385353
25,"Rheinheimera",7,0,0,0,0,0
26,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",1,0,2,6.66838584103089e-07,0,0.316295762595223
27,"Wautersiella",3,0,2,7.84986450712396e-05,0.0167224080267559,0.3207974508004
28,"Weissella",2,0,14,0.999719367330727,0,0.476934891310887
29,"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio",7,0,0,0,0,0
30,"Ochrobactrum",2,0,4,0.0180905230800171,0.101767797419971,0.407670321702424
31,"[Clostridium]",1,0,2,2.50772238386749e-05,0.021978021978022,0.325641195994851
32,"Flavobacterium",6,0,9,2.95340667470435e-07,0,0.373896296432948
