"from","to","weight","association"
1,2,0.780493046898442,1
1,4,1,1
2,4,0.786918800188087,1
3,4,0.119028989287502,-1
1,5,0.703631109485023,1
2,5,0.514262091497032,1
3,5,0.059805939829515,-1
4,5,0.74022711530387,1
2,6,0.155289970531927,-1
3,6,0.0771331146021729,-1
5,6,0.5236770750377,1
1,7,0.127370891199521,-1
2,7,0.0907463830359906,-1
3,7,0.53677292186316,1
4,7,0.0959840299923462,-1
2,8,0.452754395691642,1
3,8,0.479660666095206,1
5,8,0.138460338400988,-1
6,8,0.0543425967715447,-1
7,8,0.145580267128198,-1
2,9,0.125062155562573,-1
6,9,0.617660673614592,1
7,9,0.644587637096546,1
8,9,0.0290213186791057,-1
1,10,0.0844308222973609,-1
2,10,0.0287455802697578,-1
4,10,0.0892178161434226,-1
6,10,0.628594243004345,1
7,10,0.553374692877325,1
8,10,0.114115104290736,-1
9,10,0.596016404248614,1
1,11,0.838506653921445,1
2,11,0.697317579978726,1
4,11,0.788242546682237,1
5,11,0.670238147111024,1
10,11,0.10591314164565,-1
1,12,0.0960033982385355,-1
2,12,0.0350209824056387,-1
4,12,0.100218870144561,-1
6,12,0.642716118542066,1
7,12,0.520147596211759,1
8,12,0.097447670862929,-1
9,12,0.616891599637296,1
10,12,0.803374323630399,1
11,12,0.120206036442146,-1
3,13,0.76840871971143,1
4,13,0.149073002647393,-1
5,13,0.0509354288334349,-1
6,13,0.0448436181473856,-1
8,13,0.657581524107514,1
9,13,0.132330846742042,-1
1,14,0.104030484866391,-1
2,14,0.0388431917219938,-1
4,14,0.114340525546074,-1
6,14,0.645239794861255,1
7,14,0.529336445060195,1
8,14,0.104321231814896,-1
9,14,0.601638737274576,1
10,14,0.799602535487902,1
11,14,0.110495947851505,-1
12,14,0.817549186783431,1
1,15,0.0877434578648256,-1
2,15,0.0325832253684731,-1
4,15,0.0853325989206738,-1
6,15,0.612455258637793,1
7,15,0.537147756625059,1
8,15,0.121008364049092,-1
9,15,0.593689599470636,1
10,15,0.802324995962762,1
11,15,0.109571679273054,-1
12,15,0.811262239511692,1
14,15,0.811082209779631,1
2,16,0.0902801292538472,-1
6,16,0.608220546286506,1
7,16,0.684354400228892,1
8,16,0.0382847865907016,-1
9,16,0.825773055031686,1
10,16,0.635696254712785,1
12,16,0.656572814666666,1
13,16,0.146207871765553,-1
14,16,0.65527517443529,1
15,16,0.646010875610473,1
3,17,0.0527473760068972,-1
6,17,0.600238719528423,1
7,17,0.156400109961283,-1
10,17,0.457560673747788,1
12,17,0.474607000814346,1
13,17,0.122707932654482,-1
14,17,0.467340269954712,1
15,17,0.469885523965879,1
1,18,0.543870750340114,1
2,18,0.588717408324644,1
3,18,0.133363745170086,-1
4,18,0.588815569029285,1
5,18,0.47753129363519,1
7,18,0.0243399190532678,-1
8,18,0.463696431633611,1
9,18,0.0970674292396611,-1
10,18,0.139694922182865,-1
12,18,0.146288491483906,-1
14,18,0.145808740125152,-1
15,18,0.131533254090362,-1
16,18,0.0905679335792813,-1
17,18,0.486602838585511,1
3,19,0.766125412193436,1
4,19,0.145446506065975,-1
5,19,0.0508708072429039,-1
6,19,0.0447899832801026,-1
8,19,0.652894306228474,1
9,19,0.140353386384837,-1
13,19,0.830552435629377,1
16,19,0.146789533256153,-1
17,19,0.117832973055553,-1
1,20,0.537375582543197,1
2,20,0.556704533644642,1
3,20,0.124869486962827,-1
4,20,0.579609071414257,1
5,20,0.467573410755545,1
7,20,0.0246474525651564,-1
8,20,0.478165979320993,1
9,20,0.100251836127599,-1
10,20,0.156271313402129,-1
12,20,0.163200603559145,-1
14,20,0.156481273445991,-1
16,20,0.0955340147349835,-1
17,20,0.506073298285958,1
18,20,0.76157301845161,1
3,21,0.0662246258999806,-1
6,21,0.678731454362618,1
10,21,0.518937793735342,1
12,21,0.558871091575641,1
13,21,0.106077243586295,-1
14,21,0.569525993575775,1
15,21,0.554355012969644,1
17,21,0.809388854176282,1
19,21,0.103531556586079,-1
1,22,0.101086722442259,-1
2,22,0.0388844185015056,-1
4,22,0.100960152410843,-1
6,22,0.621637144071646,1
7,22,0.559214991044306,1
8,22,0.10638331154453,-1
9,22,0.584572223723535,1
10,22,0.798814694923579,1
11,22,0.121942985576665,-1
12,22,0.77170241613067,1
14,22,0.765639089421443,1
15,22,0.77688623681839,1
16,22,0.645624100316047,1
17,22,0.45939111769179,1
18,22,0.12538659737347,-1
20,22,0.149783958798232,-1
21,22,0.531144558373876,1
3,23,0.760229885287996,1
4,23,0.156049438276648,-1
5,23,0.0608472081753677,-1
6,23,0.0430760189127175,-1
8,23,0.637752132021006,1
9,23,0.135433119473168,-1
13,23,0.809999832784695,1
16,23,0.145904515105945,-1
17,23,0.106555167066717,-1
19,23,0.811360108119946,1
21,23,0.110102919990462,-1
1,24,0.0941024785968299,-1
2,24,0.0402692600643416,-1
4,24,0.0913472109758988,-1
6,24,0.595162999297607,1
7,24,0.515040202079078,1
8,24,0.12079832967626,-1
9,24,0.59808173463036,1
10,24,0.793811165320393,1
11,24,0.10644844271981,-1
12,24,0.791706278897894,1
14,24,0.768767492485438,1
15,24,0.777832100873112,1
16,24,0.639349364117612,1
17,24,0.469188308626063,1
18,24,0.139734562021662,-1
20,24,0.146395573142607,-1
21,24,0.555113631885464,1
22,24,0.704004077267484,1
2,25,0.486820514452882,1
6,25,0.0639643036517531,-1
7,25,0.121580942879473,-1
8,25,0.869872245609336,1
9,25,0.0242215847475649,-1
10,25,0.0999285415867899,-1
12,25,0.103819256730138,-1
13,25,0.600453680176636,1
14,25,0.100110396227505,-1
15,25,0.122700004088337,-1
16,25,0.0313923269939039,-1
18,25,0.503571889202737,1
19,25,0.575953084656785,1
20,25,0.516113423179128,1
22,25,0.105307957365687,-1
23,25,0.586804911812848,1
24,25,0.107204858936694,-1
3,26,0.622256806363353,1
4,26,0.140701149118596,-1
7,26,0.825220252509359,1
9,26,0.563110292257564,1
16,26,0.561512209144404,1
17,26,0.0864622336446188,-1
18,26,0.033058406543368,-1
20,26,0.0275041831348605,-1
21,26,0.130295561995836,-1
1,27,0.131001752939957,-1
2,27,0.0839375443922868,-1
3,27,0.155845669172691,-1
4,27,0.152446987460071,-1
6,27,0.693686989997081,1
8,27,0.14401181114399,-1
9,27,0.476999042838637,1
10,27,0.6749136557063,1
11,27,0.124093361950961,-1
12,27,0.734555491609977,1
13,27,0.15142285430098,-1
14,27,0.713605666039781,1
15,27,0.700868397424042,1
16,27,0.519042262827749,1
17,27,0.641240112666603,1
19,27,0.140136090792595,-1
21,27,0.706291352626275,1
22,27,0.687750626389189,1
23,27,0.142846838006419,-1
24,27,0.677687295863963,1
25,27,0.143425046681739,-1
2,28,0.490104305969698,1
6,28,0.0680444755860422,-1
7,28,0.10623516615888,-1
8,28,0.85787313288579,1
9,28,0.0209219621563087,-1
10,28,0.0964861630078222,-1
12,28,0.0970813916953782,-1
13,28,0.573234788408799,1
14,28,0.0920011146581564,-1
15,28,0.094115506473924,-1
16,28,0.0278858456220081,-1
18,28,0.53292029141178,1
19,28,0.555829530711423,1
20,28,0.539301547507875,1
22,28,0.0935887515791948,-1
23,28,0.557274411611989,1
24,28,0.11067886284985,-1
25,28,0.865430642550456,1
26,28,0.149479491200769,-1
27,28,0.152190066938406,-1
3,29,0.0658183842491468,-1
6,29,0.588768320887834,1
10,29,0.459952921343033,1
12,29,0.470670165891823,1
13,29,0.128266022609125,-1
14,29,0.476572751698475,1
15,29,0.479100654456344,1
17,29,0.852101097224193,1
18,29,0.484760178952879,1
19,29,0.117940439650316,-1
20,29,0.479821678072752,1
21,29,0.806382061508622,1
22,29,0.456392027364252,1
23,29,0.121000015424674,-1
26,29,0.0954624489526781,-1
27,29,0.641655750223207,1
1,30,0.112320544943236,-1
2,30,0.0476567261585235,-1
4,30,0.110819888000701,-1
6,30,0.616617396494811,1
7,30,0.528230537542437,1
8,30,0.115111495354227,-1
