"index","lable","cluster","hubs","degree"
1,"Macrococcus",3,0,0.353535353535354
2,"Kocuria",3,0,0.404040404040404
3,"Arthrobacter",4,0,0.313131313131313
4,"Staphylococcus",3,0,0.414141414141414
5,"Corynebacterium",3,0,0.222222222222222
6,"Streptococcus",1,0,0.404040404040404
7,"Bifidobacterium",4,0,0.373737373737374
8,"Lacticigenium",3,0,0.424242424242424
9,"Rothia",4,0,0.404040404040404
10,"Alysiella",1,1,0.393939393939394
11,"Enhydrobacter",3,0,0.222222222222222
12,"Psychrobacter",1,1,0.434343434343434
13,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",4,0,0.252525252525253
14,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",1,1,0.404040404040404
15,"Actinobacillus",1,1,0.393939393939394
16,"Micrococcus",4,0,0.393939393939394
17,"Nocardioides",1,0,0.434343434343434
18,"Novosphingobium",3,0,0.393939393939394
19,"Collinsella",4,0,0.252525252525253
20,"Brevundimonas",3,0,0.373737373737374
21,"Ornithinimicrobium",1,0,0.393939393939394
22,"Helcobacillus",1,1,0.404040404040404
23,"Sphingobium",4,0,0.232323232323232
24,"Pusillimonas",1,0,0.383838383838384
25,"Denitromonas",3,0,0.393939393939394
26,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",4,0,0.222222222222222
27,"Bibersteinia",1,0,0.454545454545455
28,"Acinetobacter",3,0,0.414141414141414
29,"Atopococcus",1,0,0.404040404040404
30,"Granulicatella",1,0,0.393939393939394
31,"Elizabethkingia",1,0,0.404040404040404
32,"Alkanindiges",1,0,0.424242424242424
33,"Rubricoccus",1,0,0.404040404040404
34,"Succinispira",3,0,0.383838383838384
35,"Chloronema",4,0,0.212121212121212
36,"[Clostridium]",1,0,0.404040404040404
37,"Caldimonas",3,0,0.393939393939394
38,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",3,0,0.131313131313131
39,"Porphyrobacter",1,0,0.393939393939394
40,"Abiotrophia",1,0,0.414141414141414
41,"Leifsonia",3,0,0.373737373737374
42,"Bacteria_Proteobacteria_Betaproteobacteria_Neisseriales_Neisseriaceae_Vitreoscilla",3,0,0.151515151515152
43,"Bergeyella",1,0,0.404040404040404
44,"Aurantimonas",3,0,0.373737373737374
45,"Ochrobactrum",3,0,0.393939393939394
46,"Rhizobium",3,0,0.373737373737374
47,"Ornithinicoccus",1,0,0.393939393939394
48,"Pedobacter",3,0,0.353535353535354
49,"Sphingomonas",3,0,0.373737373737374
50,"Atopostipes",4,0,0.171717171717172
51,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",3,0,0.323232323232323
52,"Deinobacterium",4,0,0.0707070707070707
53,"Deinococcus",4,0,0.0202020202020202
54,"Ilumatobacter",1,0,0.0101010101010101
55,"Planktophila",1,0,0.0101010101010101
56,"Serinibacter",1,0,0.0202020202020202
57,"Brevibacterium",3,0,0.0101010101010101
58,"Dietzia",1,0,0.111111111111111
59,"Blastococcus",4,0,0.0303030303030303
60,"Arsenicicoccus",2,0,0.0606060606060606
61,"Kribbia",4,0,0.0404040404040404
62,"Tetrasphaera",3,0,0.0101010101010101
63,"Kineosporia",4,0,0.0202020202020202
64,"Sanguibacter",4,0,0.0303030303030303
65,"Alloscardovia",4,0,0.101010101010101
66,"Eggerthella",4,0,0.0505050505050505
67,"Enterococcus",4,0,0.0505050505050505
68,"Olsenella",4,0,0.121212121212121
69,"Solirubrobacter",4,0,0.0505050505050505
70,"Trachelomonas",4,0,0.0909090909090909
71,"Butyricimonas",4,0,0.0101010101010101
72,"[Prevotella]",1,0,0.0404040404040404
73,"CF231",4,0,0.0202020202020202
74,"YRC22",1,0,0.0101010101010101
75,"Dysgonomonas",4,0,0.0505050505050505
76,"Macellibacteroides",4,0,0.0404040404040404
77,"Parabacteroides",1,0,0.0707070707070707
78,"Petrimonas",3,0,0.0202020202020202
79,"Ornithobacterium",1,0,0.0202020202020202
80,"Wautersiella",1,0,0.0202020202020202
81,"Nonlabens",2,0,0.0101010101010101
