"from","to","weight","association"
1,2,0.319415387594269,1
3,4,0.32099227277264,1
5,7,0.396369383470714,1
4,9,0.289244440108637,-1
5,9,0.294851135735934,1
7,9,0.295184756911655,1
8,9,0.322994627616867,1
11,12,0.358416887207418,1
6,13,0.450112008662663,1
2,14,0.304073529945103,1
9,14,0.3500505238164,1
1,16,0.276209466367333,-1
2,18,0.326976524081173,1
4,18,0.282649784422625,-1
8,18,0.301091077181018,1
9,18,0.301967384107347,1
12,18,0.36322206957325,1
2,19,0.330570360077085,1
17,21,0.303551438496505,1
19,21,0.304642357153082,1
11,23,0.33152819074777,1
12,23,0.310540682311446,1
22,23,0.293781271474937,1
11,24,0.345671535644115,1
23,24,0.369618050148561,1
10,25,0.322101970283094,1
11,26,0.330526048803789,1
24,26,0.29873299439732,1
1,27,0.352219214126388,1
2,27,0.295238254704593,1
9,27,0.392497666295897,1
26,27,0.31335289149597,1
22,28,0.377788312517069,1
23,28,0.294240313399529,1
5,29,0.396796361124413,1
7,29,0.397223641228357,1
9,29,0.294933187652409,1
6,30,0.296802673096384,1
13,30,0.296602847190338,1
2,32,0.291556093621065,-1
31,33,0.133096918052632,-1
5,34,0.295735468922672,1
6,34,0.324439601738687,1
7,34,0.295545500606316,1
13,34,0.324525639921903,1
25,34,0.299472903022259,1
29,34,0.295589878748475,1
30,34,0.47524314993629,1
18,35,0.293491355903984,1
19,35,0.288879596131025,-1
33,35,0.339700705459009,1
11,36,0.305733745504308,1
3,38,0.32129844666053,1
4,38,0.455680344043663,1
9,38,0.289244722697191,-1
18,38,0.282539606592073,-1
6,39,0.300390166865311,1
9,39,0.315386725751266,1
13,39,0.300657690211333,1
20,39,0.378154280956834,1
35,39,0.350992580330205,1
36,39,0.343876440007186,1
2,40,0.291797916104165,-1
32,40,0.320251194136989,1
24,42,0.23897195362967,-1
32,42,0.293310204596418,1
40,42,0.293492609033458,1
42,43,0.402043453785068,1
12,44,0.158311655623657,-1
17,44,0.280670007706351,-1
37,45,0.294136685824447,1
17,48,0.278653445915904,-1
10,49,0.30836943149581,1
12,49,0.293455281179698,1
33,49,0.348530143967236,1
15,51,0.332401650231044,1
44,51,0.295667049008746,1
5,52,0.293860526957279,1
7,52,0.294147443445672,1
12,52,0.329418258575543,1
14,52,0.324150137959284,1
17,52,0.388916600412418,1
25,52,0.350978038191924,1
29,52,0.293875248788592,1
2,53,0.291998914466952,-1
32,53,0.320091596408923,1
40,53,0.319932036743533,1
42,53,0.29336870454565,1
48,54,0.449888058859592,1
3,55,0.322844528558264,1
20,55,0.318997732704386,1
8,56,0.294643949805157,1
9,56,0.318377514358191,1
23,56,0.320393726378018,1
44,56,0.298863505271544,1
25,57,0.279879937232412,-1
44,57,0.357739990336838,1
45,57,0.329423528408172,1
30,58,0.276649602089939,-1
39,58,0.286642153042448,-1
50,58,0.436276923723236,1
1,59,0.372718038275634,1
3,59,0.312133204076018,1
23,59,0.406355809839957,1
24,59,0.312891022314964,1
26,59,0.296445961811113,1
30,59,0.291757505282613,-1
17,60,0.303369052752998,1
19,60,0.304347142771416,1
21,60,0.334782458483075,1
2,61,0.270051651703678,-1
23,61,0.262739613515403,-1
44,61,0.288215631950511,-1
49,61,0.2465858564494,-1
56,61,0.206281468236631,-1
1,62,0.306058904565649,1
22,62,0.354493697937396,1
28,62,0.355121563398718,1
19,63,0.334395086655359,1
51,63,0.417623144790108,1
51,64,0.293541999830516,1
3,65,0.302124171969274,1
11,65,0.29912431846596,1
20,65,0.299822640144573,1
25,65,0.372982510943729,1
33,65,0.349879527659202,1
44,65,0.269176682123092,-1
49,65,0.294994036975324,1
57,65,0.288930975024188,-1
26,66,0.507919994579722,1
45,66,0.286781446750639,-1
48,66,0.301437008640364,1
51,66,0.312338319805388,1
6,67,0.449737764119313,1
13,67,0.449363774965248,1
30,67,0.296112143105534,1
34,67,0.324409461535955,1
39,67,0.30009619575634,1
14,68,0.484458051580878,1
35,68,0.304399130185624,1
44,68,0.284402435271914,-1
57,68,0.286091388725388,-1
42,69,0.440020437840554,1
43,69,0.469008328565132,1
41,70,0.358592674733506,1
1,71,0.290988485649825,-1
18,71,0.285256501764262,-1
27,71,0.215277461307984,-1
31,71,0.363271223631028,1
27,72,0.307195624735195,1
50,72,0.301251828537191,1
71,72,0.291061013001761,-1
9,73,0.321455942625218,1
12,73,0.280493234595484,-1
51,73,0.261240310166502,-1
20,74,0.286546657441776,-1
55,74,0.290914545100824,-1
64,74,0.344375074671164,1
65,74,0.247067703474412,-1
2,75,0.24615092749266,-1
4,75,0.32462241980952,1
27,75,0.277024672869337,-1
31,75,0.330460833232703,1
38,75,0.324526107122901,1
44,75,0.25184547641714,-1
54,75,0.265205440586186,-1
41,76,0.304659961547012,1
64,76,0.313155702957337,1
66,76,0.303555064880326,1
2,77,0.292102253129163,-1
32,77,0.319884765614604,1
40,77,0.319725254557268,1
42,77,0.293157007971283,1
53,77,0.319518534598176,1
34,78,0.296523769394179,1
36,78,0.293938750981191,1
16,79,0.396129070128374,1
68,79,0.301443693889366,1
47,80,0.296095632722096,1
16,81,0.395375844989513,1
68,81,0.301099504238287,1
79,81,0.515481980445497,1
47,82,0.325588882405265,1
54,82,0.390907551721785,1
61,82,0.338074825028838,1
68,82,0.368474243136773,1
34,83,0.296436225865002,1
36,83,0.294313570437586,1
78,83,0.396364003083973,1
34,84,0.296509073284976,1
36,84,0.294108715085903,1
78,84,0.396793152994659,1
83,84,0.39722260844034,1
10,85,0.293470003341804,1
11,85,0.317254104215258,1
12,85,0.293549314658014,1
15,85,0.258810214837116,-1
49,85,0.324921578672237,1
50,85,0.38842604309267,1
16,86,0.295737018980476,1
35,86,0.362053995519603,1
42,86,0.294387288314165,1
68,86,0.299055110494784,1
79,86,0.361596646075151,1
81,86,0.362119235707887,1
2,87,0.292069610435749,-1
32,87,0.319692983423416,1
