"index","lable","cluster","hubs","degree"
1,"Deinobacterium",4,0,11
2,"Deinococcus",8,0,26
3,"Ilumatobacter",8,0,13
4,"Planktophila",8,0,8
5,"Trueperella",4,0,8
6,"Beutenbergia",4,0,7
7,"Serinibacter",4,0,8
8,"Brevibacterium",6,0,9
9,"Corynebacterium",6,0,16
10,"Devriesea",3,0,7
11,"Helcobacillus",3,0,9
12,"Dietzia",3,0,11
13,"Blastococcus",4,0,7
14,"Millisia",5,0,7
15,"Arsenicicoccus",6,0,7
16,"Kribbia",5,0,5
17,"Ornithinicoccus",2,0,11
18,"Ornithinimicrobium",6,0,11
19,"Tetrasphaera",8,0,17
20,"Kineosporia",8,0,9
21,"Herbiconiux",2,0,10
22,"Leifsonia",3,0,6
23,"Arthrobacter",3,0,12
24,"Kocuria",3,0,8
25,"Micrococcus",7,0,10
26,"Rothia",6,0,8
27,"Nocardioides",6,0,11
28,"Luteimicrobium",3,0,6
29,"Brooklawnia",4,0,8
30,"Aeriscardovia",4,0,9
31,"Bifidobacterium",4,0,9
32,"Collinsella",1,1,15
33,"Eggerthella",6,0,9
34,"Enterococcus",4,0,14
35,"Olsenella",5,0,11
36,"Gaiella",2,0,7
37,"Rubricoccus",6,0,5
38,"Terrimonas",8,0,8
39,"Trachelomonas",2,0,11
40,"Barnesiella",1,1,15
41,"[Prevotella]",7,0,6
42,"CF231",7,0,17
43,"YRC22",7,0,6
44,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",6,0,10
45,"Dysgonomonas",6,0,7
46,"Macellibacteroides",5,0,3
47,"Petrimonas",5,0,6
48,"Prevotella",6,0,6
49,"Alistipes",3,0,13
50,"Bergeyella",4,0,7
51,"Elizabethkingia",6,0,11
52,"Ornithobacterium",4,0,11
53,"Wautersiella",1,1,15
54,"Flavobacterium",3,0,8
55,"Nonlabens",8,0,6
56,"Persicivirga",6,0,9
57,"Mucilaginibacter",6,0,8
58,"Pedobacter",4,0,8
59,"Sphingobacterium",4,0,9
60,"Chloronema",2,0,10
61,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",3,0,12
62,"Oceanobacillus",3,0,6
63,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",7,0,6
64,"Kurthia",7,0,7
65,"Staphylococcus",6,0,11
66,"Macrococcus",6,0,9
67,"Haloplasma",4,0,7
68,"Atopococcus",5,0,10
69,"Atopostipes",7,0,4
70,"Granulicatella",7,0,4
71,"Lacticigenium",6,0,11
72,"Lactobacillus",4,0,10
73,"Pediococcus",6,0,9
74,"Weissella",7,0,9
75,"Lactococcus",8,0,10
76,"Streptococcus",4,0,7
77,"Guggenheimella",1,1,15
78,"Gallicola",2,0,6
79,"GW-34",5,0,5
80,"Helcococcus",5,0,3
81,"ph2",5,0,5
82,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",5,0,7
83,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Bacteroides",2,0,6
84,"Butyrivibrio",2,0,6
85,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",7,0,12
86,"Defluviitalea",5,0,11
87,"Dorea",1,1,15
88,"Lactonifactor",7,0,8
89,"Roseburia",7,0,8
90,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",7,0,9
91,"Syntrophococcus",7,0,12
92,"rc4-4",1,0,15
93,"[Clostridium]",7,0,8
94,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",7,0,11
95,"Peptostreptococcus",5,0,4
96,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",6,0,7
97,"Butyricicoccus",5,0,6
98,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",7,0,9
99,"Faecalibacterium",4,0,8
100,"Oscillospira",7,0,6
101,"Papillibacter",7,0,9
102,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus",4,0,8
103,"Sporobacter",7,0,8
104,"Selenomonas",1,1,15
105,"Succinispira",6,0,10
106,"Anaerorhabdus",7,0,7
107,"Bulleidia",5,0,3
108,"Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Clostridium",2,0,6
109,"Sharpea",3,0,3
110,"Streptobacillus",4,0,8
111,"Brevundimonas",3,0,9
112,"Caulobacter",4,0,6
113,"Nitrobacteria",2,0,10
114,"Aurantimonas",5,0,7
115,"Salinarimonas",8,0,7
116,"Ochrobactrum",6,0,8
117,"Aquamicrobium",8,0,6
118,"Rhizobium",3,0,11
119,"Xanthobacter",3,0,6
120,"Albidovulum",6,0,9
121,"Oceaniovalibus",8,0,9
122,"Paracoccus",8,0,7
123,"Gluconacetobacter",8,0,6
124,"Dongia",2,0,10
125,"Porphyrobacter",3,0,6
126,"Novosphingobium",1,0,21
127,"Sphingobium",3,0,10
128,"Sphingomonas",4,0,21
129,"Advenella",1,1,15
130,"Bordetella",6,0,8
131,"Kerstersia",6,0,7
132,"Oligella",4,0,7
133,"Pusillimonas",6,0,10
134,"Acidovorax",3,0,10
135,"Caldimonas",2,0,17
136,"Pelomonas",3,0,5
137,"Sphaerotilus",2,0,10
138,"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_Vitreoscilla",3,0,7
139,"Massilia",6,0,13
140,"Methylotenera",3,0,5
141,"Alysiella",4,0,10
142,"Aquaspirillum",2,0,10
143,"Gulbenkiania",3,0,9
144,"Azospira",2,0,10
145,"Denitromonas",8,0,10
146,"Peredibacter",8,0,8
147,"Bdellovibrio",8,0,7
148,"Desulfovibrio",7,0,4
149,"Arcobacter",1,1,15
150,"Campylobacter",5,0,5
151,"Helicobacter",3,0,5
152,"Aeromonas",4,0,12
153,"Anaerobiospirillum",1,1,15
154,"Succinivibrio",1,1,15
155,"Rheinheimera",3,0,11
156,"Pantoea",1,1,15
157,"Proteus",6,0,7
158,"Halomonas",7,0,9
159,"Bibersteinia",4,0,8
160,"Acinetobacter",4,0,8
161,"Alkanindiges",4,0,7
162,"Enhydrobacter",3,0,10
163,"Moraxella",6,0,8
164,"Psychrobacter",7,0,15
165,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",4,0,13
166,"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio",2,0,10
167,"Lysobacter",4,0,8
168,"Pseudoxanthomonas",6,0,4
169,"Thermomonas",2,0,8
170,"Treponema",7,0,6
171,"Acholeplasma",7,0,7
172,"Akkermansia",6,0,10
