"from","to","weight","association"
2,3,0.0159455938733761,-1
1,4,0.836704180000509,1
2,4,0.460988228046896,1
1,5,0.162286221087229,-1
2,5,0.0160667675467966,-1
3,5,0.909253237106678,1
2,6,0.670403648337537,1
3,6,0.107274151520167,-1
4,6,0.472378928151011,1
5,6,0.110620911726382,-1
1,7,0.0556244805719546,-1
3,7,0.496296457054633,1
4,7,0.113890364655983,-1
5,7,0.541921839652052,1
1,8,0.51812229459471,1
2,8,0.811949140710829,1
3,8,0.0166135420579482,-1
4,8,0.502953387293053,1
5,8,0.0116897101276066,-1
6,8,0.514890868894274,1
7,8,0.086210122218583,-1
1,9,0.679688257176492,1
2,9,0.72753623038027,1
3,9,0.0479931192153458,-1
4,9,0.689955177554411,1
5,9,0.035071378604291,-1
6,9,0.549980494844786,1
7,9,0.0711956973122534,-1
8,9,0.821798023853648,1
1,10,0.875684650614606,1
2,10,0.468198589390529,1
3,10,0.15398721803033,-1
4,10,0.739204711090819,1
5,10,0.128296548548298,-1
7,10,0.0286423769763451,-1
8,10,0.590848761697611,1
9,10,0.707315439797995,1
1,11,0.672431538694525,1
4,11,0.576940418507423,1
6,11,0.161801986515307,-1
7,11,0.0970387425203256,-1
10,11,0.627089508715162,1
1,12,0.509912756477464,1
2,12,0.786507523810963,1
3,12,0.0193730596494708,-1
4,12,0.480597125879782,1
5,12,0.0143342094763708,-1
6,12,0.491466018057435,1
7,12,0.0809918373790318,-1
8,12,0.962647777543085,1
9,12,0.791712503919854,1
10,12,0.586838107017254,1
1,13,0.124937204800238,-1
6,13,0.562732443019318,1
7,13,0.732258407900123,1
10,13,0.0924164727839504,-1
11,13,0.0730342631265424,-1
1,14,0.507032423808946,1
2,14,0.0984461624577039,-1
3,14,0.561962985626215,1
5,14,0.521356228657306,1
6,14,0.107883503767262,-1
10,14,0.458818949495972,1
11,14,0.8048911007798,1
13,14,0.112748101590861,-1
1,15,0.846416678913753,1
4,15,0.706820786490193,1
5,15,0.140184336193313,-1
7,15,0.0275891633878944,-1
8,15,0.582995172604452,1
9,15,0.688864198444783,1
10,15,0.882388616819437,1
11,15,0.65738895297054,1
12,15,0.58540555842974,1
13,15,0.0842122443856013,-1
14,15,0.482398570694845,1
2,16,0.145699304801272,-1
3,16,0.595129622464334,1
5,16,0.593988291794317,1
7,16,0.65183654646691,1
8,16,0.0795656586444944,-1
9,16,0.138730174676141,-1
10,16,0.148145215685162,-1
12,16,0.0698234073980122,-1
13,16,0.616837575121535,1
15,16,0.145463825098124,-1
2,17,0.0152227707774877,-1
3,17,0.820796245783511,1
5,17,0.789629488260757,1
6,17,0.0517210416133139,-1
8,17,0.0521616036736761,-1
9,17,0.0886532933761948,-1
11,17,0.510851986124268,1
12,17,0.0583833826169413,-1
14,17,0.691740695721292,1
1,18,0.600342951126261,1
2,18,0.133849204071199,-1
3,18,0.604967967404723,1
4,18,0.61700440764674,1
5,18,0.547215339993611,1
8,18,0.157085154694351,-1
10,18,0.544719917748047,1
11,18,0.783872287952184,1
14,18,0.853921017623663,1
15,18,0.553080409317687,1
16,18,0.565944541296968,1
17,18,0.597341832097592,1
1,19,0.822430093521368,1
4,19,0.688709667184626,1
5,19,0.1366986688771,-1
7,19,0.0235478545985788,-1
8,19,0.580728815754828,1
9,19,0.683052904132521,1
10,19,0.892359699069508,1
11,19,0.669268963528499,1
12,19,0.579726375659067,1
13,19,0.0760747954228976,-1
14,19,0.485443301530305,1
15,19,0.878116569772912,1
16,19,0.138149757488931,-1
18,19,0.510531858174013,1
1,20,0.758925709654931,1
4,20,0.618972043115001,1
5,20,0.145783275793909,-1
7,20,0.0157847990086988,-1
8,20,0.567324067462835,1
9,20,0.639695887688277,1
10,20,0.838662340028345,1
11,20,0.653024363859807,1
12,20,0.565566914680394,1
13,20,0.0506675921506674,-1
14,20,0.490827830880267,1
15,20,0.851341265657618,1
16,20,0.109270164265195,-1
18,20,0.520366327540294,1
19,20,0.866384061655124,1
1,21,0.67538520300419,1
4,21,0.55511676607084,1
6,21,0.15096528849498,-1
7,21,0.0820893953904125,-1
10,21,0.661265640369549,1
11,21,0.931292517570876,1
13,21,0.0568158221925126,-1
14,21,0.779668220197595,1
15,21,0.684884818714883,1
17,21,0.501052127691044,1
18,21,0.672617379727978,1
19,21,0.686079149494984,1
20,21,0.686377521721157,1
1,22,0.58620107343961,1
2,22,0.77765107935934,1
3,22,0.0251486870828336,-1
4,22,0.566626409057315,1
5,22,0.0184712932616846,-1
6,22,0.519580335913069,1
7,22,0.071132950203744,-1
8,22,0.926953921300743,1
9,22,0.890256105972146,1
10,22,0.663656500512022,1
12,22,0.89941835881028,1
15,22,0.635465267141824,1
16,22,0.0934032729901921,-1
17,22,0.0641808763070704,-1
19,22,0.638069467657305,1
20,22,0.615397250986728,1
2,23,0.871222560869789,1
3,23,0.0124116414459768,-1
5,23,0.0166105283519973,-1
6,23,0.58634656859369,1
8,23,0.795296354729819,1
9,23,0.652489425575174,1
11,23,0.158789779773239,-1
12,23,0.784028121237421,1
14,23,0.0748843230837991,-1
16,23,0.110043872856658,-1
17,23,0.0181803998963324,-1
18,23,0.0809891633661044,-1
22,23,0.732734154378622,1
1,24,0.536441670964818,1
2,24,0.800517828776563,1
3,24,0.0111973509478711,-1
4,24,0.483078326294399,1
5,24,0.00967336301253718,-1
6,24,0.452626344092788,1
7,24,0.0451977074133301,-1
8,24,1,1
9,24,0.874755903989662,1
10,24,0.708679895327392,1
12,24,1,1
13,24,0.133810615777456,-1
15,24,0.726214972636935,1
16,24,0.0293227234824182,-1
17,24,0.0534673099103916,-1
19,24,0.740025159423234,1
20,24,0.770281788271365,1
22,24,1,1
23,24,0.837029731259191,1
2,25,0.610172773115968,1
3,25,0.115390197923551,-1
5,25,0.133879998724749,-1
6,25,0.735508116050081,1
8,25,0.456010640995078,1
11,25,0.0570582540853651,-1
13,25,0.647962495294659,1
14,25,0.0305995038913799,-1
17,25,0.0482648569486682,-1
18,25,0.104741445049976,-1
21,25,0.0526308484896046,-1
23,25,0.618988613650167,1
1,26,0.0827856392010573,-1
4,26,0.14089112153908,-1
6,26,0.515406524070345,1
7,26,0.590967287804317,1
10,26,0.0872613667556518,-1
11,26,0.0140412989436074,-1
13,26,0.67579906737634,1
14,26,0.0297988773362872,-1
15,26,0.0806037169782504,-1
17,26,0.126194086065985,-1
18,26,0.0566097696387305,-1
19,26,0.07727523178408,-1
20,26,0.0763079474116104,-1
21,26,0.0143850637744082,-1
23,26,0.471963043326407,1
25,26,0.730646173375347,1
2,27,0.0435251104836896,-1
3,27,0.80473562409807,1
5,27,0.765326800717208,1
6,27,0.151091699148672,-1
8,27,0.049639927960724,-1
9,27,0.119426119075392,-1
11,27,0.50266894626267,1
12,27,0.0463911221001539,-1
14,27,0.672560740532703,1
16,27,0.622657439236386,1
17,27,0.74560973060475,1
18,27,0.844048913166147,1
21,27,0.457501002927135,1
22,27,0.074556983987859,-1
23,27,0.0210059789783719,-1
24,27,0.0310576260868878,-1
25,27,0.108080199428355,-1
26,27,0.147863356081936,-1
