"from","to","weight","association"
1,2,0.0858561994739103,-1
1,4,0.105495186832411,-1
2,4,0.662363797841387,1
3,4,0.130134847074956,-1
1,5,0.129839660528386,-1
2,5,0.57684151768779,1
3,5,0.117243273573518,-1
4,5,0.69642355611958,1
1,6,0.137639384924546,-1
2,6,0.521959660441077,1
3,6,0.0580227506120655,-1
4,6,0.68164700671137,1
5,6,0.734782787896674,1
1,7,0.518471389564652,1
3,7,0.62816141999046,1
4,7,0.0904848545414382,-1
5,7,0.0625706766687918,-1
6,7,0.0532132709934759,-1
1,8,0.519483163014257,1
3,8,0.63582694170889,1
4,8,0.102611909496325,-1
5,8,0.0756580321378995,-1
6,8,0.0538376145300464,-1
7,8,0.806924175682491,1
1,9,0.0644223535722678,-1
2,9,0.581177437546466,1
4,9,0.599122647216429,1
5,9,0.504251145654432,1
6,9,0.485273966480064,1
1,10,0.127335260607094,-1
2,10,0.657021177473927,1
3,10,0.0832111134982249,-1
4,10,0.664467947059853,1
5,10,0.746173973493795,1
6,10,0.733112796567283,1
7,10,0.0784844562646336,-1
8,10,0.0816334412597469,-1
9,10,0.470349222184683,1
1,11,0.13569564837618,-1
2,11,0.573815562064474,1
3,11,0.1269666385227,-1
4,11,0.663543053173367,1
5,11,0.640362236141273,1
6,11,0.611393269872254,1
7,11,0.089639203063931,-1
8,11,0.105044171712461,-1
9,11,0.48141115278276,1
10,11,0.710329336060636,1
1,13,0.124150914013879,-1
2,13,0.489956265619592,1
4,13,0.456662906217575,1
5,13,0.508273126518773,1
6,13,0.514409818210803,1
9,13,0.493191547889864,1
10,13,0.544430202895092,1
11,13,0.53247603287724,1
1,15,0.53577013024393,1
3,15,0.73086450995125,1
4,15,0.110193021795456,-1
5,15,0.110299770718338,-1
6,15,0.0524740096944901,-1
7,15,0.68780004194201,1
8,15,0.682243143149093,1
10,15,0.0849147729418503,-1
11,15,0.113383606732769,-1
13,15,0.155700089359394,-1
1,16,0.138142213921801,-1
2,16,0.462014283869774,1
3,16,0.127089208458142,-1
6,16,0.567978716594656,1
8,16,0.156532558436156,-1
10,16,0.524254467315685,1
13,16,0.549054582029335,1
15,16,0.11527933424172,-1
1,17,0.114983281922812,-1
2,17,0.529273470120397,1
4,17,0.550805293718981,1
5,17,0.60824301722741,1
6,17,0.553038721154359,1
7,17,0.142979493162123,-1
8,17,0.135306516157284,-1
9,17,0.507691370726037,1
10,17,0.502276028933388,1
15,17,0.160886559825158,-1
1,18,0.502964418330692,1
3,18,0.657974083566216,1
4,18,0.11648282323697,-1
