"index","lable","cluster","hubs","degree"
1,"Streptococcus",3,0,0.353535353535354
2,"Atopococcus",2,0,0.262626262626263
3,"Elizabethkingia",3,0,0.474747474747475
4,"Corynebacterium",2,0,0.424242424242424
5,"Macrococcus",2,0,0.474747474747475
6,"Micrococcus",4,0,0.535353535353535
7,"Lactococcus",3,0,0.404040404040404
8,"Kocuria",3,0,0.434343434343434
9,"Helcobacillus",2,0,0.292929292929293
10,"Granulicatella",4,0,0.484848484848485
11,"Millisia",2,0,0.363636363636364
12,"Bifidobacterium",4,0,0.101010101010101
13,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",4,0,0.333333333333333
14,"Staphylococcus",2,0,0.202020202020202
15,"Nonlabens",3,1,0.454545454545455
16,"Succinispira",4,0,0.393939393939394
17,"Ornithinimicrobium",2,0,0.343434343434343
18,"Pseudoxanthomonas",3,0,0.424242424242424
19,"Acinetobacter",3,0,0.424242424242424
20,"Pedobacter",3,1,0.454545454545455
21,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",4,0,0.434343434343434
22,"Kurthia",4,0,0.202020202020202
23,"Dietzia",2,0,0.404040404040404
24,"Lacticigenium",2,0,0.0909090909090909
25,"Atopostipes",2,0,0.353535353535354
26,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",4,0,0.424242424242424
27,"Alistipes",2,0,0.333333333333333
28,"Arthrobacter",2,0,0.353535353535354
29,"Alkanindiges",3,0,0.434343434343434
30,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",2,0,0.191919191919192
31,"Anaerobiospirillum",4,0,0.232323232323232
32,"Roseburia",1,0,0.101010101010101
33,"[Clostridium]",4,0,0.353535353535354
34,"Prevotella",4,0,0.222222222222222
35,"CF231",4,0,0.232323232323232
36,"Treponema",1,0,0.131313131313131
37,"Snodgrassella",3,1,0.464646464646465
38,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",4,0,0.363636363636364
39,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",4,0,0.232323232323232
40,"Rhizobium",3,0,0.424242424242424
41,"ph2",4,0,0.212121212121212
42,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",4,0,0.353535353535354
43,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",1,0,0.0505050505050505
44,"Brevundimonas",3,0,0.444444444444444
45,"Olsenella",4,0,0.353535353535354
46,"Isobaculum",4,0,0.141414141414141
47,"Barnesiella",4,0,0.333333333333333
48,"GW-34",4,0,0.333333333333333
49,"Trueperella",4,0,0.272727272727273
50,"Kribbia",4,0,0.171717171717172
51,"Sporobacter",4,0,0.232323232323232
52,"Flavobacterium",2,0,0.181818181818182
53,"Mucilaginibacter",3,1,0.494949494949495
54,"Arcobacter",4,0,0.222222222222222
55,"Bdellovibrio",3,1,0.515151515151515
56,"Novosphingobium",1,0,0.141414141414141
57,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",3,0,0.393939393939394
58,"Papillibacter",2,0,0.0808080808080808
59,"Weissella",4,0,0.232323232323232
60,"Enhydrobacter",3,0,0.434343434343434
61,"Desulfovibrio",2,0,0.0808080808080808
62,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",4,0,0.292929292929293
63,"Salinarimonas",3,0,0.505050505050505
64,"rc4-4",1,0,0.0909090909090909
65,"Brevibacterium",2,0,0.0808080808080808
66,"Rhodocytophaga",2,0,0.0707070707070707
67,"Helcococcus",4,0,0.161616161616162
68,"Lactonifactor",4,0,0.151515151515152
69,"YRC22",2,0,0.101010101010101
70,"Sharpea",4,0,0.151515151515152
71,"Succinivibrio",1,0,0.101010101010101
72,"Terrimonas",3,0,0.505050505050505
73,"Petrimonas",4,0,0.313131313131313
74,"Lysobacter",2,0,0.161616161616162
75,"Pediococcus",4,0,0.131313131313131
76,"Nitrobacteria",2,0,0.121212121212121
77,"Nocardioides",2,0,0.363636363636364
78,"Trachelomonas",3,0,0.464646464646465
79,"Peredibacter",3,0,0.505050505050505
80,"Butyrivibrio",4,0,0.171717171717172
81,"Persicivirga",3,0,0.515151515151515
82,"Serinibacter",2,0,0.101010101010101
83,"Escherichia",2,0,0.0909090909090909
84,"Aurantimonas",3,0,0.272727272727273
85,"Ruminobacter",1,0,0.0808080808080808
86,"Anaerorhabdus",2,0,0.171717171717172
87,"Ochrobactrum",3,0,0.212121212121212
88,"Sphingomonas",2,0,0.0707070707070707
89,"Oceaniovalibus",2,0,0.141414141414141
90,"Weeksella",2,0,0.121212121212121
91,"Lactobacillus",4,0,0.171717171717172
92,"Erythrobacter",4,0,0.0808080808080808
93,"Devriesea",1,0,0.0404040404040404
94,"Oscillospira",1,0,0.0707070707070707
95,"Albidovulum",1,0,0.0808080808080808
96,"Psychrobacter",1,0,0.0707070707070707
97,"Deinococcus",2,0,0.0404040404040404
98,"Acholeplasma",4,0,0.212121212121212
99,"Paracoccus",3,0,0.494949494949495
100,"Campylobacter",4,0,0.131313131313131
