"from","to","weight","association"
2,3,0.301075946343038,1
3,5,0.330536518819618,1
4,5,0.298131024278172,1
5,6,0.459043418472866,1
2,8,0.292980800832595,1
9,10,0.360729024575077,1
2,11,0.465623111944515,1
8,11,0.312806262574832,1
6,12,0.302134114034607,1
7,12,0.323545814956246,1
9,12,0.320573774945362,1
11,13,0.339899712684151,1
3,14,0.306064734148541,1
4,14,0.298523423083749,1
13,14,0.41448780430419,1
4,15,0.294629237640548,1
4,16,0.313438314786333,1
5,16,0.316906642336418,1
14,16,0.298562302295607,1
4,18,0.298011056249256,1
5,18,0.305819733394979,1
7,18,0.354105672956161,1
14,18,0.296116891079195,1
16,18,0.293579435226039,1
2,20,0.329087758848685,1
7,21,0.296257610539012,1
10,21,0.365923846360846,1
12,21,0.33590034558002,1
16,21,0.334770984447546,1
17,21,0.281051358161694,-1
18,21,0.307640705651584,1
4,22,0.294957606753322,1
15,22,0.33986538405846,1
1,23,0.349136615405845,1
11,23,0.416270784882804,1
1,25,0.29472553245291,1
15,25,0.288918916513147,-1
22,25,0.288928073927255,-1
4,26,0.297581729847657,1
15,26,0.296520964073993,1
22,26,0.296900673965871,1
11,27,0.278977218516756,-1
1,29,0.295923780437734,1
18,31,0.184399326420543,-1
23,33,0.30022352642393,1
26,33,0.64615568508929,1
2,34,0.281285206080402,-1
6,34,0.298768776575636,1
11,34,0.284139044935675,-1
24,34,0.303845442397392,1
1,35,0.304323342378817,1
29,35,0.293581738997514,1
32,35,0.294208255977461,1
1,36,0.397593369702763,1
2,36,0.249050604182366,-1
20,36,0.283745737674889,-1
34,36,0.313693526105433,1
24,37,0.538242693826758,1
34,37,0.30325565400539,1
3,38,0.3580875295868,1
27,38,0.349379036381271,1
27,39,0.510856854877398,1
5,40,0.380860119218858,1
12,40,0.295077760214009,1
16,40,0.362768390013412,1
21,40,0.303149727999079,1
35,40,0.321438210023778,1
2,41,0.329810882133265,1
20,41,0.774160746914462,1
36,41,0.282999812233735,-1
4,42,0.295276847165784,1
15,42,0.340303050794883,1
22,42,0.340741008087737,1
25,42,0.288617171165867,-1
26,42,0.297108094742459,1
1,43,0.294957971528395,1
10,44,0.331621734216158,1
15,44,0.293216299675485,1
17,44,0.282848857250743,-1
20,44,0.303532459407266,1
22,44,0.293309807760009,1
26,44,0.371747592476705,1
33,44,0.325398877867632,1
41,44,0.30354769675258,1
42,44,0.293625602465219,1
9,45,0.304144224651064,1
10,45,0.305285089374954,1
11,45,0.297174389037509,1
30,46,0.321237922378685,1
30,47,0.321519882281294,1
46,47,0.321801652930896,1
30,48,0.321846325628104,1
46,48,0.322128297614413,1
47,48,0.32245509977346,1
27,49,0.291201653912626,-1
32,49,0.2916847132983,-1
7,50,0.289207712945189,-1
18,50,0.282804568601951,-1
30,50,0.32230028029306,1
46,50,0.32265718992016,1
47,50,0.322708927151571,1
48,50,0.322439573476298,1
10,51,0.288993702262828,-1
11,51,0.284647950080159,-1
23,51,0.289889498728912,-1
36,51,0.319107609883725,1
5,52,0.394444843189183,1
7,52,0.313976624446332,1
12,52,0.350391728159995,1
13,53,0.50162029568992,1
19,53,0.303691508952324,1
23,53,0.29625979228679,1
9,54,0.297324998971084,1
19,54,0.316231535031492,1
33,54,0.29472260420957,1
4,55,0.296978339045181,1
7,55,0.437597566510071,1
9,55,0.305217106644759,1
10,55,0.303749215837052,1
14,55,0.321001040309591,1
18,55,0.318662030100338,1
21,55,0.337312145826466,1
1,56,0.295556037765407,1
29,56,0.333620434203825,1
35,56,0.293395775150812,1
12,57,0.299569311432624,1
24,57,0.293911738570926,1
35,57,0.303352908692185,1
37,57,0.293911521235055,1
39,57,0.294707822895043,1
40,57,0.297066673153452,1
3,58,0.295855386530209,1
5,58,0.306028619971548,1
14,58,0.343364122222346,1
40,58,0.292902270942383,1
55,58,0.297030058825583,1
7,59,0.324542761689401,1
8,59,0.297312888838359,1
11,59,0.294394238827383,1
18,59,0.309423324443903,1
21,59,0.349197383670109,1
45,59,0.448885978716093,1
52,59,0.447824646511236,1
55,59,0.303489644588282,1
18,60,0.354018937912504,1
32,60,0.30214388305457,1
40,60,0.306424528769018,1
58,60,0.419039648325699,1
1,61,0.341749059698726,1
17,61,0.289868108819297,-1
19,61,0.1037380383623,-1
25,61,0.311114774843009,1
19,62,0.362101049091685,1
43,62,0.239547928571068,-1
25,63,0.294107187673847,1
29,64,0.295162723034912,1
51,64,0.316280878406199,1
56,64,0.295511591884475,1
63,64,0.295279378962278,1
24,65,0.392219292291373,1
27,65,0.294767861419362,1
28,65,0.330447900953632,1
37,65,0.39287250960682,1
17,66,0.778977982926288,1
21,66,0.28104397900423,-1
44,66,0.282860097295444,-1
61,66,0.290213952521831,-1
1,67,0.28901461255038,-1
23,67,0.269978948609528,-1
25,67,0.189768764341234,-1
35,67,0.291885905045038,-1
36,67,0.282830678700472,-1
61,67,0.255057398253936,-1
13,68,0.371091735274208,1
62,68,0.342556190629821,1
4,69,0.295445432431246,1
15,69,0.340555442728095,1
22,69,0.340993567753708,1
25,69,0.288174085917372,-1
26,69,0.297065408185175,1
42,69,0.341246224248576,1
44,69,0.293979959610855,1
7,70,0.295437527705981,1
12,70,0.366080398286701,1
25,70,0.31825306871732,1
1,71,0.273743847765544,-1
3,71,0.293189212111102,1
4,71,0.299339755700059,1
13,71,0.30207534933788,1
15,71,0.298798422230678,1
22,71,0.298935574439349,1
42,71,0.298887370009015,1
52,71,0.29890515333346,1
68,71,0.577847891144972,1
69,71,0.298807051012757,1
3,72,0.415372571031001,1
38,72,0.306252645224785,1
54,72,0.285388039724136,-1
68,72,0.366790727696998,1
2,73,0.290369578879674,-1
19,73,0.294459139077855,1
25,73,0.306117567461195,1
28,73,0.297970694793898,1
53,73,0.295970734593964,1
27,74,0.313407110863522,1
51,74,0.30341239402553,1
63,74,0.305135533883709,1
64,74,0.638415107603473,1
65,74,0.295727259965808,1
14,75,0.299471521740128,1
35,75,0.302490893982851,1
36,75,0.302557963842199,1
67,75,0.21709214172983,-1
5,76,0.295416101158625,1
39,76,0.3013125296714,1
57,76,0.31676099028651,1
3,77,0.49211181161077,1
20,77,0.304199139206022,1
27,77,0.356633496939217,1
38,77,0.299205362727907,1
41,77,0.303559006263126,1
43,77,0.27189980966361,-1
70,77,0.30226982217106,1
8,78,0.632515957267828,1
12,78,0.301030089811651,1
29,78,0.29726114205768,1
56,78,0.297440612917374,1
63,78,0.293172627520593,1
20,79,0.288455845395234,-1
24,79,0.296005931321629,1
28,79,0.302370292744653,1
37,79,0.296006959910885,1
41,79,0.288225114335798,-1
52,79,0.296125498797247,1
72,79,0.348385928344944,1
73,79,0.300201603187085,1
4,80,0.295440053706768,1
15,80,0.340486110839098,1
22,80,0.340924189776085,1
25,80,0.28788186615262,-1
26,80,0.296899592564682,1
42,80,0.341176819664644,1
44,80,0.294143308008506,1
69,80,0.341107422391385,1
71,80,0.298713796991693,1
12,81,0.299490439498726,1
24,81,0.293871975176462,1
35,81,0.303431805033996,1
37,81,0.293871768585361,1
39,81,0.295086988789245,1
40,81,0.297017024792062,1
57,81,0.433070699707325,1
76,81,0.316490532173244,1
9,82,0.308753252554238,1
19,82,0.350820028852525,1
20,82,0.283566039275475,-1
28,82,0.295099764148336,1
32,82,0.358758411917001,1
41,82,0.283857080759958,-1
60,82,0.304413404445316,1
71,82,0.293034690079633,1
73,82,0.41064897033201,1
3,83,0.34659035137657,1
5,83,0.359203041183288,1
17,83,0.278680649046342,-1
39,83,0.386751883074963,1
