"index","lable","cluster","hubs","degree"
1,"Deinococcus",6,0,23
2,"Ilumatobacter",2,0,13
3,"Trueperella",4,0,10
4,"Beutenbergia",4,0,16
5,"Serinibacter",2,0,14
6,"Brevibacterium",2,0,12
7,"Corynebacterium",1,0,9
8,"Devriesea",6,0,9
9,"Helcobacillus",1,0,11
10,"Dietzia",1,0,10
11,"Blastococcus",4,0,16
12,"Millisia",1,0,14
13,"Kribbia",4,0,7
14,"Ornithinimicrobium",4,0,13
15,"Leifsonia",4,0,14
16,"Arthrobacter",4,0,8
17,"Kocuria",1,0,8
18,"Micrococcus",1,0,12
19,"Rothia",3,0,12
20,"Marmoricola",2,0,9
21,"Nocardioides",1,0,10
22,"Luteimicrobium",4,0,14
23,"Brooklawnia",4,0,9
24,"Aeriscardovia",2,0,10
25,"Bifidobacterium",6,0,18
26,"Eggerthella",4,0,13
27,"Enterococcus",2,0,14
28,"Olsenella",2,0,7
29,"Solirubrobacter",6,0,14
30,"Terrimonas",5,1,15
31,"Trachelomonas",5,0,7
32,"Barnesiella",2,0,10
33,"[Prevotella]",4,0,7
34,"CF231",2,0,10
35,"YRC22",6,0,21
36,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",2,0,13
37,"Macellibacteroides",2,0,10
38,"Petrimonas",4,0,6
39,"Prevotella",2,0,11
40,"Alistipes",2,0,12
41,"Rhodocytophaga",2,0,9
42,"Bergeyella",4,0,14
43,"Elizabethkingia",4,0,8
44,"Weeksella",2,0,19
45,"Flavobacterium",1,0,8
46,"Nonlabens",5,1,15
47,"Persicivirga",5,1,15
48,"Mucilaginibacter",5,1,15
49,"Pedobacter",2,0,12
50,"Sphingobacterium",5,0,16
51,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",6,0,10
52,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",1,0,9
53,"Kurthia",4,0,8
54,"Staphylococcus",4,0,11
55,"Macrococcus",1,0,11
56,"Haloplasma",6,0,14
57,"Alkalibacterium",2,0,12
58,"Atopococcus",2,0,9
59,"Atopostipes",1,0,9
60,"Granulicatella",2,0,8
61,"Lacticigenium",5,0,13
62,"Isobaculum",3,0,7
63,"Lactobacillus",6,0,9
64,"Pediococcus",6,0,14
65,"Weissella",2,0,7
66,"Lactococcus",1,0,8
67,"Streptococcus",2,0,12
68,"Guggenheimella",4,0,8
69,"Gallicola",4,0,14
70,"GW-34",1,0,10
71,"Helcococcus",4,0,15
72,"ph2",4,0,8
73,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",2,0,13
74,"Butyrivibrio",6,0,10
75,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",2,0,7
76,"Defluviitalea",2,0,10
77,"Lactonifactor",4,0,9
78,"Roseburia",6,0,16
79,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",2,0,12
80,"Syntrophococcus",4,0,14
81,"rc4-4",2,0,12
82,"[Clostridium]",2,0,12
83,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",4,0,9
84,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",2,0,5
85,"Butyricicoccus",3,0,9
86,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",2,0,11
87,"Faecalibacterium",3,0,9
88,"Oscillospira",2,0,12
89,"Papillibacter",2,0,14
90,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus",6,0,8
91,"Sporobacter",2,0,9
92,"Selenomonas",3,0,13
93,"Succinispira",2,0,8
94,"Anaerorhabdus",6,0,9
95,"Bulleidia",6,0,14
96,"Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Clostridium",6,0,14
97,"Sharpea",6,0,9
98,"Brevundimonas",5,0,10
99,"Caulobacter",4,0,11
100,"Nitrobacteria",4,0,14
101,"Aurantimonas",5,0,11
102,"Chelatococcus",2,0,10
103,"Salinarimonas",5,1,15
104,"Ochrobactrum",5,0,7
105,"Aquamicrobium",4,0,9
106,"Amorphomonas",5,0,13
107,"Rhizobium",5,0,6
108,"Albidovulum",6,0,14
109,"Oceaniovalibus",4,0,9
110,"Paracoccus",5,0,11
111,"Gluconacetobacter",5,1,15
112,"Dongia",4,0,14
113,"Oceanibaculum",5,0,13
114,"Erythrobacter",3,0,9
115,"Porphyrobacter",6,0,14
116,"Novosphingobium",6,0,13
117,"Sphingobium",6,0,22
118,"Sphingomonas",1,0,12
119,"Advenella",4,0,14
120,"Bordetella",5,0,6
121,"Oligella",4,0,14
122,"Caldimonas",5,1,18
123,"Massilia",1,0,14
124,"Gulbenkiania",5,1,18
125,"Snodgrassella",5,1,15
126,"Denitromonas",1,0,17
127,"Peredibacter",5,1,15
128,"Bdellovibrio",5,1,15
129,"Desulfovibrio",1,0,11
130,"Arcobacter",1,0,10
131,"Campylobacter",2,0,13
132,"Aeromonas",2,0,10
133,"Anaerobiospirillum",6,0,19
134,"Ruminobacter",6,0,14
135,"Succinivibrio",6,0,14
136,"Rheinheimera",4,0,5
137,"Escherichia",2,0,13
138,"Pantoea",5,0,15
139,"Acinetobacter",2,0,15
140,"Alkanindiges",4,0,9
141,"Enhydrobacter",1,0,11
142,"Psychrobacter",2,0,10
143,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",5,0,10
144,"Lysobacter",1,0,10
145,"Pseudoxanthomonas",5,0,6
146,"Thermomonas",5,0,16
147,"Treponema",6,0,14
148,"Acholeplasma",2,0,13
149,"Akkermansia",1,0,10
