"from","to","weight","association"
1,3,0.145036009824224,-1
2,3,0.468489520081295,1
2,4,0.676755607049918,1
3,4,0.599595257798519,1
2,5,0.114948905250339,-1
4,5,0.131127925220352,-1
3,6,0.155027534519493,-1
5,6,0.452782416903593,1
1,8,0.145148577301975,-1
3,8,0.544162621263169,1
4,8,0.529142825042564,1
5,8,0.110943474673634,-1
6,8,0.0944145958576479,-1
1,9,0.135141453849268,-1
7,11,0.515971014363803,1
2,12,0.605808988828223,1
3,12,0.583896349722235,1
4,12,0.666251835513813,1
5,12,0.158640263604075,-1
6,12,0.160921211227092,-1
8,12,0.481266727473472,1
1,13,0.133732137395364,-1
2,13,0.477843734081998,1
2,14,0.159667427671504,-1
4,14,0.152115929679008,-1
5,14,0.482743857993749,1
6,14,0.530068967407198,1
7,14,0.515886050850262,1
11,14,0.463602530678858,1
12,14,0.139490243487959,-1
1,15,0.144918620981578,-1
3,15,0.508079229102174,1
10,15,0.504829720213879,1
11,15,0.467499439446034,1
2,16,0.570414350274975,1
4,16,0.508841501309085,1
5,16,0.109864286091937,-1
8,16,0.504684400007443,1
12,16,0.543215018792158,1
6,17,0.452892027676179,1
2,18,0.572455963219617,1
3,18,0.470287349729551,1
4,18,0.596623699804217,1
5,18,0.14089416438171,-1
8,18,0.500966411063946,1
12,18,0.566994622344018,1
16,18,0.582770756072408,1
1,19,0.507481515080139,1
5,19,0.574493645127594,1
6,19,0.510423616241864,1
8,19,0.0853333455922556,-1
16,19,0.145432447828319,-1
18,19,0.159077135763194,-1
13,21,0.52608690763497,1
13,22,0.45464216342334,1
18,22,0.491128577424875,1
4,23,0.142950957412416,-1
5,23,0.465640518887256,1
6,23,0.616635545210944,1
12,23,0.150997017193379,-1
2,24,0.454583626876012,1
11,24,0.154850932285767,-1
13,24,0.493485788258589,1
16,24,0.463774957338579,1
22,24,0.519803694859176,1
8,25,0.475180982297366,1
10,25,0.545209054837595,1
15,25,0.454948038936985,1
1,26,0.137360407957887,-1
19,26,0.156099539885849,-1
24,26,0.461189890651267,1
1,27,0.103372566845357,-1
2,27,0.505488553890163,1
4,27,0.485917795985225,1
5,27,0.105284961914502,-1
6,27,0.137846981114544,-1
8,27,0.515773666648315,1
13,27,0.537857789028577,1
18,27,0.455363560648566,1
19,27,0.106315316144684,-1
21,27,0.492485370954057,1
23,27,0.159913234757683,-1
26,27,0.506003601533817,1
5,28,0.13447623802043,-1
16,28,0.51680904048326,1
19,28,0.120404890018514,-1
24,28,0.462006238443397,1
26,28,0.511058852161893,1
27,28,0.46579190615297,1
2,30,0.501045066910276,1
5,30,0.115790358459625,-1
13,30,0.555872524572414,1
16,30,0.479412929445477,1
21,30,0.475177475951161,1
13,31,0.479337935872289,1
21,31,0.465795032290263,1
22,31,0.472001634164069,1
27,31,0.524881063972397,1
2,32,0.51668933165849,1
3,32,0.458538071925937,1
4,32,0.54697987465825,1
11,32,0.150769713819398,-1
12,32,0.535209776606244,1
16,32,0.509053524884856,1
18,32,0.539509728225362,1
23,32,0.150085141858626,-1
