"index","lable","cluster","hubs","degree","ev","between","close"
1,"Streptococcus",6,0,0.161616161616162,0.621360125560222,0.0277114190157668,0.782778171618546
2,"Atopococcus",4,0,0.191919191919192,0.215176872483591,0.0365504061156235,0.963590810859118
3,"Corynebacterium",2,0,0.101010101010101,0.131708181032298,0.0396559961777353,0.837995741142987
4,"Macrococcus",4,0,0.212121212121212,0.232018737001684,0.0812231247013856,0.9813108181626
5,"Kocuria",6,0,0.232323232323232,0.716222713086254,0.024605828953655,0.885563647396359
6,"Elizabethkingia",6,0,0.202020202020202,0.879005372020574,0.0936454849498328,0.922455375837348
7,"Rothia",2,0,0.0303030303030303,0.0193495718418229,0,0.645226979609964
8,"Micrococcus",2,0,0.212121212121212,0.289133572972111,0.02651696129957,0.875438185496192
9,"Bifidobacterium",3,0,0.0303030303030303,0.0119305663304916,0.0140946010511228,0.524664560296002
10,"Arthrobacter",2,0,0.0606060606060606,0.00564879990746655,0.0167224080267559,0.650570426907244
11,"Staphylococcus",2,0,0.171717171717172,0.0362757829022062,0.0532728141423794,0.799657112486494
12,"Millisia",4,0,0.151515151515152,0.201055983357358,0.0274725274725275,0.916161613257153
13,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",1,0,0.171717171717172,0.280428680664081,0.00812231247013856,0.847959253797807
14,"Enhydrobacter",6,0,0.141414141414141,0.212354957178535,0.0473005255613951,0.834451927342451
15,"Helcobacillus",2,0,0.0808080808080808,0.0282743946185273,0.0377448638318204,0.740273259876425
16,"Granulicatella",4,0,0.212121212121212,0.265870897671842,0.031055900621118,0.917255997383241
17,"Novosphingobium",3,0,0.0404040404040404,0.0564129027369187,0.0365504061156235,0.631672586085548
18,"Atopostipes",4,0,0.161616161616162,0.224359052477302,0.0179168657429527,0.91039054873871
19,"Lactococcus",6,0,0.191919191919192,0.912484719718899,0.00191113234591495,0.874401720767656
20,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",1,0,0.0303030303030303,0.00340223389155677,0.00382226469182991,0.530573254821611
