"from","to","weight","association"
2,4,0.361812714911873,1
3,4,0.317382110844027,1
4,8,0.32298787064593,1
1,9,0.26255451580382,-1
3,12,0.371351337772743,1
4,12,0.365158001834312,1
6,14,0.330373364729875,1
7,15,0.296296275775621,1
8,15,0.300035681076486,1
10,15,0.297931054351202,1
2,16,0.438400773737481,1
4,18,0.351347800826752,1
16,18,0.338272522968088,1
1,19,0.360291557964059,1
8,19,0.289137964723115,-1
1,20,0.287129322463328,-1
13,21,0.332976750015563,1
18,22,0.296071269008935,1
6,23,0.342047779007214,1
13,24,0.334688216475477,1
22,24,0.297566261103105,1
10,25,0.335367655179355,1
19,26,0.276833103824369,-1
22,27,0.297760049257856,1
27,28,0.307705399434227,1
27,29,0.297927265119578,1
17,30,0.2786345359746,-1
21,31,0.307358345620672,1
28,32,0.304740861929642,1
2,33,0.298856944938784,1
4,33,0.303911908418451,1
24,33,0.29636756372094,1
29,33,0.296614476017237,1
30,34,0.298859618876624,1
28,36,0.424930410424969,1
35,36,0.378476242529628,1
20,37,0.336217320953767,1
32,37,0.321739895004835,1
20,38,0.294439455397349,1
30,38,0.318589919511966,1
3,39,0.312637816263744,1
15,39,0.336028262153919,1
8,41,0.291285342650529,-1
19,41,0.298177278641606,1
28,41,0.282087639709925,-1
29,41,0.286036004672241,-1
3,42,0.307324253719698,1
17,42,0.334447330429127,1
21,43,0.299059356494092,1
9,44,0.289148760721221,-1
41,44,0.328488991509242,1
9,45,0.323627389971559,1
21,45,0.301546329495651,1
22,45,0.373148238519488,1
29,45,0.304037788892992,1
32,45,0.357131700718923,1
23,47,0.324945901614291,1
1,48,0.294942929837431,1
19,48,0.305800346166704,1
44,48,0.314317181973132,1
47,48,0.350435986735512,1
33,49,0.295684555407197,1
25,50,0.298035393742955,1
12,51,0.321584231323527,1
49,51,0.300545821284301,1
33,52,0.452464407779747,1
13,53,0.295718947891604,1
33,53,0.346138666855389,1
6,54,0.326410518320908,1
13,54,0.285072263935189,-1
