"index","lable","cluster","hubs","degree","ev","between","close"
1,"Streptococcus",4,0,4,0.0826077629144635,0.0261801690373119,0.445507096221787
2,"Atopococcus",7,1,7,0.645156014493595,0.0760667903525046,0.546049896663626
3,"Corynebacterium",7,0,5,0.217680501721275,0.0490620490620491,0.500626301517706
4,"Macrococcus",7,0,7,0.59832035202962,0.0795712224283653,0.555257018742588
5,"Kocuria",5,0,2,0.0449731912125244,0.00618429189857761,0.388349749465134
6,"Elizabethkingia",4,0,5,0.0881569998877267,0.0482374768089054,0.445503246319888
7,"Rothia",3,0,2,0.0376397662901049,0.015460729746444,0.393926465475734
8,"Micrococcus",1,0,8,0.352831131243741,0.126571840857555,0.558997293746178
9,"Bifidobacterium",4,0,3,0.125732557150092,0.0162853019995877,0.444979738940154
10,"Arthrobacter",1,0,5,0.0763672239504535,0.0482374768089054,0.447962303021469
11,"Staphylococcus",1,0,1,0.0119413342592545,0,0.320276611512175
12,"Millisia",7,0,3,0.239473453158417,0.0185528756957328,0.46975774141641
13,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",2,0,5,0.374241197407401,0.0663780663780664,0.513610876109833
14,"Enhydrobacter",4,0,2,0.0175549460517514,0.0202020202020202,0.342799917549275
15,"Helcobacillus",1,0,4,0.0970223388873012,0.0498866213151927,0.468581958163235
16,"Granulicatella",7,0,2,0.208703518603108,0.00432900432900433,0.424195375489294
17,"Novosphingobium",1,0,3,0.0347682174349846,0.0418470418470418,0.419338197836291
18,"Atopostipes",7,0,3,0.221797683626835,0.00845186559472274,0.446629563547057
19,"Lactococcus",4,0,5,0.166912075456488,0.0531849103277675,0.494748469920827
20,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",6,0,4,0.0325211321461004,0.0249433106575964,0.395833078721789
21,"Succinispira",3,0,6,0.529021705906976,0.0379303236446094,0.511198832474657
22,"Roseburia",2,0,4,0.336069022536971,0.0123685837971552,0.476702210209773
23,"Acinetobacter",4,0,4,0.120359675943799,0.0470006184291899,0.456972328626996
24,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",2,1,7,0.771476916701802,0.0356627499484642,0.551744784723879
25,"Ornithinimicrobium",1,0,3,0.0373151421754825,0,0.383910808907848
26,"Lacticigenium",4,0,1,0.0269473694097813,0,0.355235009547922
27,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",2,0,5,0.371187958539603,0.0253555967841682,0.500384175581655
28,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",3,0,7,0.375744733025176,0.10307153164296,0.54841839071363
29,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",2,0,5,0.490083425374865,0.0237064522778808,0.53646816493441
30,"Faecalibacterium",6,0,5,0.0814279818429296,0.0764790764790765,0.449844889470855
31,"[Clostridium]",3,0,5,0.382542435727917,0.0373118944547516,0.460347551574421
32,"Prevotella",6,0,3,0.169094466511584,0.0286538857967429,0.455054010172039
33,"Trueperella",7,1,10,1,0.0655534941249227,0.590967111097095
34,"Lactobacillus",3,0,4,0.138333859690654,0.0253555967841682,0.439906922110434
35,"CF231",3,0,4,0.286074795443792,0.0175221603793032,0.46091269560133
