"from","to","weight","association"
1,2,0.0202717638927146,-1
1,3,0.795100531362515,1
2,3,0.0283921722489303,-1
1,4,0.0991335301624695,-1
2,4,0.596162103836706,1
1,5,0.0151400828553159,-1
2,5,0.894360358181193,1
3,5,0.0202544760998007,-1
4,5,0.52451637967253,1
1,6,0.717651927474992,1
2,6,0.0479723505195976,-1
3,6,0.820655271660978,1
5,6,0.035901967473199,-1
1,8,0.521206543565963,1
2,8,0.140406284295617,-1
3,8,0.615557135059842,1
5,8,0.101447643980605,-1
6,8,0.685039663833332,1
7,8,0.0739341812141786,-1
7,9,0.821223053085069,1
8,9,0.120187557493996,-1
1,10,0.0643439786282028,-1
2,10,0.646397799390646,1
3,10,0.0409931658017577,-1
5,10,0.683913332426945,1
6,10,0.0245549417367431,-1
8,10,0.0786582988521233,-1
1,11,0.830783112095993,1
2,11,0.0147894215235548,-1
3,11,0.826527079099818,1
4,11,0.131115527603362,-1
5,11,0.0147456053016164,-1
6,11,0.746146186342037,1
8,11,0.548975939339682,1
10,11,0.0663103817265615,-1
1,12,0.477564498965472,1
2,12,0.115914573119263,-1
3,12,0.568026082909554,1
5,12,0.134967760764479,-1
6,12,0.592952505855816,1
9,12,0.512431336817442,1
10,12,0.0766902309117015,-1
11,12,0.559345936747182,1
1,13,0.710696765869293,1
2,13,0.05521368230642,-1
3,13,0.805992972936121,1
5,13,0.0383330004116483,-1
6,13,0.828975402176924,1
8,13,0.674755210085298,1
10,13,0.0254049476190831,-1
11,13,0.728343080888554,1
12,13,0.583233230242782,1
1,14,0.0442316001985169,-1
2,14,0.774432316725915,1
3,14,0.0287808914913658,-1
4,14,0.458772090040396,1
5,14,0.825472164156195,1
6,14,0.0477207251845583,-1
8,14,0.0704428214593031,-1
10,14,0.603940679360589,1
11,14,0.0271787754717701,-1
12,14,0.156991538880129,-1
13,14,0.0526665537112265,-1
1,15,0.0192789929886713,-1
2,15,0.839405391723466,1
3,15,0.02034474212119,-1
4,15,0.495085500565089,1
5,15,0.927978044776766,1
6,15,0.0319106279458373,-1
8,15,0.0827185972906254,-1
10,15,0.694873269026585,1
11,15,0.0183865251403926,-1
12,15,0.144942970375605,-1
13,15,0.0325184408720274,-1
14,15,0.84785503224581,1
1,16,0.133866596277387,-1
2,16,0.489569629018869,1
4,16,0.465014235402449,1
10,16,0.500088026473453,1
12,16,0.14060762574088,-1
1,17,0.0822213907109125,-1
2,17,0.606422635719572,1
3,17,0.0469340502161754,-1
5,17,0.655048015006187,1
6,17,0.0240529080541033,-1
7,17,0.461731210101284,1
8,17,0.0569160865957922,-1
10,17,0.920784842474403,1
11,17,0.0757616882712407,-1
12,17,0.0804848935386815,-1
13,17,0.0246112129266448,-1
14,17,0.605669633863872,1
15,17,0.679327919909656,1
1,18,0.0653620838433588,-1
2,18,0.740003569752288,1
3,18,0.100183122001758,-1
4,18,0.661761178665944,1
5,18,0.647988472012307,1
6,18,0.131357602659699,-1
10,18,0.49943319522029,1
11,18,0.061519790256565,-1
12,18,0.111561019170833,-1
13,18,0.140732407404245,-1
14,18,0.54585554286426,1
15,18,0.591708580865432,1
16,18,0.608144167122875,1
3,19,0.11470968579504,-1
4,19,0.104405022650638,-1
5,19,0.473390672927112,1
6,19,0.0785612217595983,-1
8,19,0.0908945954813206,-1
10,19,0.70204700403663,1
11,19,0.153846500337384,-1
12,19,0.0541393647753995,-1
13,19,0.0785192722934859,-1
14,19,0.471231750376815,1
15,19,0.476360413864412,1
17,19,0.754528141544449,1
1,20,0.0661890554198147,-1
2,20,0.588470821358388,1
3,20,0.0540163300600377,-1
5,20,0.683456215842295,1
6,20,0.0379140812287539,-1
7,20,0.636056710553158,1
8,20,0.0446234469786251,-1
9,20,0.583897336466566,1
10,20,0.742491723482798,1
11,20,0.0852848047961822,-1
13,20,0.0374382874120935,-1
14,20,0.637100643591999,1
15,20,0.715118785877347,1
17,20,0.74686423908259,1
19,20,0.539973232814188,1
1,21,0.0815035832286318,-1
2,21,0.670260135341599,1
3,21,0.090757902826364,-1
4,21,0.63183751655282,1
5,21,0.671862620318992,1
6,21,0.125983367687193,-1
8,21,0.155946067344624,-1
11,21,0.0664745318118424,-1
13,21,0.137891622619377,-1
14,21,0.75501259690232,1
15,21,0.675970527351215,1
18,21,0.545423506649082,1
20,21,0.463430426844176,1
1,22,0.111343657290661,-1
2,22,0.459568589657848,1
4,22,0.489727055764555,1
5,22,0.493335473977247,1
6,22,0.16313261932154,-1
7,22,0.470065102530521,1
9,22,0.520315610454696,1
10,22,0.504892344194492,1
13,22,0.158115392580522,-1
15,22,0.491898638162801,1
16,22,0.563442933589178,1
17,22,0.468221417857807,1
20,22,0.590059736982134,1
1,23,0.0967910904586122,-1
2,23,0.565497731660589,1
3,23,0.0559201308807805,-1
5,23,0.630882597202607,1
6,23,0.0269936555453485,-1
7,23,0.556384923567947,1
8,23,0.029592531466694,-1
10,23,0.819535492465915,1
11,23,0.0892023947752826,-1
12,23,0.118178984198514,-1
13,23,0.0292408989998483,-1
14,23,0.627138619191968,1
15,23,0.669558749233648,1
17,23,0.879226033091594,1
19,23,0.717276562361147,1
20,23,0.80118865656372,1
22,23,0.458965090305703,1
1,24,0.145678253641602,-1
2,24,0.50544653368037,1
3,24,0.0764492661046142,-1
4,24,0.144898120533561,-1
5,24,0.555654725580728,1
6,24,0.0492848708394369,-1
7,24,0.501883886674785,1
8,24,0.031368203594808,-1
10,24,0.714630476528728,1
11,24,0.114811964390798,-1
12,24,0.102014524178283,-1
13,24,0.0493827301438051,-1
14,24,0.598905001205433,1
15,24,0.587185656133423,1
17,24,0.783528261169214,1
19,24,0.795004709141283,1
20,24,0.658408880121302,1
23,24,0.833595118206158,1
1,25,0.724758023372624,1
2,25,0.0507847571997131,-1
3,25,0.821839639535452,1
5,25,0.0340449679440668,-1
6,25,0.835087818471592,1
8,25,0.6906846405081,1
10,25,0.0264186650139002,-1
11,25,0.735892258999223,1
12,25,0.571007585414032,1
