"index","lable","cluster","hubs","degree"
1,"Elizabethkingia",3,0,0.717171717171717
2,"Atopococcus",2,0,0.696969696969697
3,"Alkanindiges",3,0,0.606060606060606
4,"Corynebacterium",2,0,0.535353535353535
5,"Macrococcus",2,0,0.656565656565657
6,"Nonlabens",3,1,0.585858585858586
7,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",2,0,0.353535353535354
8,"Acinetobacter",3,0,0.545454545454545
9,"Bifidobacterium",2,0,0.282828282828283
10,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",2,0,0.636363636363636
11,"Lactococcus",3,0,0.595959595959596
12,"Streptococcus",3,0,0.606060606060606
13,"Bdellovibrio",3,0,0.575757575757576
14,"Micrococcus",2,0,0.525252525252525
15,"Millisia",2,0,0.636363636363636
16,"Atopostipes",2,0,0.464646464646465
17,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",2,0,0.585858585858586
18,"Granulicatella",2,0,0.676767676767677
19,"Succinispira",1,0,0.606060606060606
20,"Roseburia",2,0,0.636363636363636
21,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",2,0,0.464646464646465
22,"Trueperella",2,0,0.606060606060606
23,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",1,0,0.606060606060606
24,"Prevotella",1,0,0.575757575757576
25,"Pedobacter",3,1,0.616161616161616
26,"[Clostridium]",1,0,0.525252525252525
27,"Rhizobium",3,0,0.656565656565657
28,"Collinsella",1,0,0.363636363636364
29,"Ochrobactrum",3,0,0.646464646464647
30,"Dietzia",2,0,0.515151515151515
31,"Novosphingobium",2,0,0.545454545454545
32,"Treponema",2,0,0.545454545454545
33,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",1,0,0.585858585858586
34,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",3,0,0.707070707070707
35,"Kocuria",3,0,0.595959595959596
36,"Lactobacillus",1,0,0.494949494949495
37,"GW-34",2,0,0.646464646464647
38,"Helcobacillus",3,0,0.282828282828283
39,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",2,0,0.636363636363636
40,"Snodgrassella",3,0,0.595959595959596
41,"Isobaculum",2,0,0.616161616161616
42,"Peredibacter",3,0,0.565656565656566
43,"Weissella",2,0,0.646464646464647
44,"Ornithinimicrobium",2,0,0.343434343434343
45,"Lacticigenium",3,0,0.363636363636364
46,"Oscillospira",1,0,0.373737373737374
47,"Alistipes",1,0,0.424242424242424
48,"CF231",2,0,0.363636363636364
49,"Desulfovibrio",1,0,0.515151515151515
50,"Pseudoxanthomonas",3,0,0.606060606060606
51,"Lactonifactor",2,0,0.535353535353535
52,"Mucilaginibacter",3,1,0.626262626262626
53,"Enhydrobacter",3,0,0.616161616161616
54,"ph2",2,0,0.696969696969697
55,"Faecalibacterium",1,0,0.333333333333333
56,"Succinivibrio",1,0,0.424242424242424
57,"Selenomonas",1,0,0.353535353535354
58,"Anaerobiospirillum",2,0,0.434343434343434
59,"Sporobacter",2,0,0.535353535353535
60,"Alkalibacterium",2,0,0.474747474747475
61,"Arthrobacter",2,0,0.585858585858586
62,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",1,0,0.373737373737374
63,"Brevundimonas",3,0,0.595959595959596
64,"Salinarimonas",3,0,0.545454545454545
65,"[Prevotella]",1,0,0.353535353535354
66,"Staphylococcus",3,1,0.444444444444444
67,"Nitrobacteria",3,0,0.525252525252525
68,"Amorphomonas",3,0,0.585858585858586
69,"Deinococcus",3,0,0.343434343434343
70,"Kurthia",1,0,0.383838383838384
71,"Barnesiella",2,0,0.555555555555556
72,"Wautersiella",2,0,0.424242424242424
73,"Oceanibaculum",3,0,0.585858585858586
74,"Gluconacetobacter",3,0,0.585858585858586
75,"Arcobacter",3,0,0.585858585858586
76,"Papillibacter",1,0,0.535353535353535
77,"Rothia",3,0,0.535353535353535
78,"Bordetella",3,0,0.636363636363636
79,"Defluviitalea",2,0,0.404040404040404
80,"Anaerorhabdus",2,0,0.454545454545455
81,"Aurantimonas",2,0,0.353535353535354
82,"Akkermansia",1,0,0.404040404040404
83,"Syntrophococcus",2,0,0.434343434343434
84,"Haloplasma",2,0,0.393939393939394
85,"Eggerthella",2,0,0.353535353535354
86,"Acholeplasma",2,0,0.525252525252525
87,"Kribbia",2,0,0.424242424242424
88,"Massilia",2,0,0.474747474747475
89,"Dorea",1,0,0.363636363636364
90,"Persicivirga",3,0,0.616161616161616
91,"Aeriscardovia",2,0,0.444444444444444
92,"rc4-4",1,0,0.313131313131313
93,"Petrimonas",2,0,0.565656565656566
94,"Sphingomonas",2,0,0.525252525252525
95,"Sharpea",2,0,0.454545454545455
96,"Macellibacteroides",3,0,0.525252525252525
97,"Guggenheimella",2,0,0.383838383838384
98,"Sphingobium",2,0,0.474747474747475
99,"Leifsonia",3,1,0.656565656565657
100,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus",2,0,0.323232323232323
