"from","to","weight","association"
5,6,0.294093884588179,1
5,7,0.294375670533736,1
6,7,0.315496598765674,1
3,8,0.295241819850191,1
3,9,0.298007735914253,1
5,9,0.193637176376401,-1
5,10,0.287728992678529,-1
4,11,0.330662485900508,1
2,13,0.294442941978457,1
10,14,0.299570141121774,1
10,15,0.284730041115722,-1
2,16,0.294396545978576,1
13,16,0.350783306977944,1
1,17,0.32636061082322,1
1,18,0.296357750914024,1
1,19,0.296132278578586,1
2,19,0.300517081747536,1
14,19,0.34899667242033,1
15,19,0.288306267478954,-1
14,20,0.373993677850477,1
17,20,0.297359066804406,1
14,21,0.310720893839851,1
19,21,0.335809099996219,1
12,22,0.370376428526897,1
13,23,0.289582141317673,-1
16,23,0.28938825315819,-1
3,25,0.335560008349274,1
8,25,0.295309573012914,1
9,25,0.298366849526212,1
5,26,0.197706639872561,-1
9,26,0.352983716813339,1
14,26,0.379813116740788,1
18,26,0.302613966385416,1
20,26,0.375366913466515,1
2,27,0.338015068651138,1
8,27,0.245653640884365,-1
10,28,0.284566226205373,-1
15,28,0.382072914295876,1
19,28,0.288044274600342,-1
5,29,0.294488620227172,1
6,29,0.315824690176084,1
7,29,0.316153973987532,1
24,30,0.486483063817124,1
2,31,0.288658921797549,-1
6,31,0.293327320554268,1
7,31,0.293368752753714,1
29,31,0.293457879390931,1
12,33,0.29152173981202,-1
3,34,0.335990677855836,1
8,34,0.295451584216231,1
9,34,0.298364976278702,1
25,34,0.336421626871494,1
2,35,0.0999189974512761,-1
5,35,0.305411697218924,1
8,35,0.417287970247549,1
15,35,0.299455104302051,1
24,35,0.283179505620992,-1
28,35,0.299865151674332,1
30,35,0.283172578825463,-1
6,36,0.292992721190149,1
7,36,0.29289334171559,1
29,36,0.292893221161908,1
32,36,0.293973995999244,1
4,38,0.331081963100204,1
11,38,0.331501703518387,1
10,39,0.391127421332319,1
27,39,0.264535824293731,-1
3,40,0.297811671947598,1
8,40,0.294350851425424,1
25,40,0.298272813772052,1
31,40,0.391836404589176,1
34,40,0.298316372008976,1
3,41,0.336153386997348,1
8,41,0.29547890649995,1
9,41,0.298040989036229,1
25,41,0.336584441707467,1
34,41,0.336747296511148,1
40,41,0.298182539312339,1
5,42,0.29446056253641,1
6,42,0.315763115645115,1
7,42,0.316093692962313,1
29,42,0.316029838764023,1
31,42,0.293615374364529,1
36,42,0.292987747302625,1
