"index","lable","cluster","hubs","degree"
1,"Deinobacterium",6,0,10
2,"Deinococcus",1,0,14
3,"Ilumatobacter",3,0,13
4,"Planktophila",2,0,12
5,"Trueperella",1,0,22
6,"Serinibacter",1,1,22
7,"Brevibacterium",1,1,22
8,"Corynebacterium",4,0,17
9,"Devriesea",3,0,13
10,"Helcobacillus",4,0,12
11,"Dietzia",2,0,12
12,"Millisia",5,0,8
13,"Ornithinicoccus",2,0,12
14,"Ornithinimicrobium",6,0,7
15,"Kineosporia",4,0,12
16,"Herbiconiux",2,0,12
17,"Arthrobacter",6,0,12
18,"Kocuria",6,0,8
19,"Micrococcus",6,0,14
20,"Rothia",6,0,7
21,"Nocardioides",6,0,7
22,"Aeriscardovia",5,0,8
23,"Bifidobacterium",4,0,14
24,"Eggerthella",4,0,10
25,"Enterococcus",3,0,13
26,"Olsenella",6,0,7
27,"Gaiella",4,0,9
28,"Trachelomonas",4,0,12
29,"Barnesiella",1,1,22
30,"[Prevotella]",4,0,10
31,"CF231",1,0,22
32,"YRC22",5,0,9
33,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",5,0,7
34,"Macellibacteroides",3,0,13
35,"Petrimonas",4,0,14
36,"Prevotella",5,0,28
37,"Alistipes",4,0,6
38,"Bergeyella",2,0,12
39,"Elizabethkingia",4,0,8
40,"Wautersiella",1,0,15
41,"Flavobacterium",3,0,13
42,"Persicivirga",1,1,22
43,"Sphingobacterium",4,0,10
44,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",4,0,7
45,"Oceanobacillus",4,0,12
46,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",6,0,9
47,"Kurthia",4,0,10
48,"Staphylococcus",6,0,15
49,"Macrococcus",4,0,7
50,"Alkalibacterium",4,0,12
51,"Atopococcus",5,0,8
52,"Atopostipes",1,0,23
53,"Granulicatella",1,0,14
54,"Lacticigenium",4,0,9
55,"Isobaculum",1,1,22
56,"Lactobacillus",5,0,8
57,"Pediococcus",1,1,22
58,"Weissella",4,0,6
59,"Streptococcus",5,0,14
60,"Anaerococcus",1,1,22
61,"Gallicola",5,0,9
62,"GW-34",5,0,9
63,"Helcococcus",5,0,9
64,"ph2",5,0,11
65,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",5,0,30
66,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Bacteroides",2,0,12
67,"Butyrivibrio",4,0,9
68,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",4,0,11
69,"Defluviitalea",5,0,9
70,"Lactonifactor",5,0,11
71,"Roseburia",5,0,8
72,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",5,0,7
73,"Syntrophococcus",5,0,26
74,"rc4-4",1,1,22
75,"[Clostridium]",4,0,11
76,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",4,0,8
77,"Peptostreptococcus",4,0,12
78,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",2,0,12
79,"Butyricicoccus",1,1,22
80,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",4,0,7
81,"Faecalibacterium",6,0,10
82,"Oscillospira",4,0,10
83,"Papillibacter",4,0,10
84,"Sporobacter",4,0,12
85,"Selenomonas",1,1,22
86,"Succinispira",4,0,7
87,"Anaerorhabdus",4,0,12
88,"Bulleidia",1,1,22
89,"Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Clostridium",1,0,22
90,"Sharpea",1,0,22
91,"Brevundimonas",6,0,17
92,"Nitrobacteria",5,0,13
93,"Aurantimonas",6,0,8
94,"Ochrobactrum",3,0,13
95,"Rhizobium",1,0,7
96,"Albidovulum",6,0,15
97,"Paracoccus",1,0,7
98,"Erythrobacter",3,0,13
99,"Porphyrobacter",2,0,12
100,"Novosphingobium",5,0,7
101,"Sphingobium",4,0,11
102,"Sphingomonas",2,0,12
103,"Oligella",1,0,22
104,"Acidovorax",2,0,12
105,"Caldimonas",4,0,19
106,"Pelomonas",2,0,12
107,"Sphaerotilus",2,0,12
108,"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_Vitreoscilla",2,0,12
109,"Massilia",4,0,12
110,"Methylotenera",2,0,12
111,"Alysiella",1,0,7
112,"Aquaspirillum",2,0,12
113,"Gulbenkiania",6,0,10
114,"Bacteria_Proteobacteria_Betaproteobacteria_Neisseriales_Neisseriaceae_Vitreoscilla",1,0,22
115,"Azospira",4,0,12
116,"Denitromonas",1,0,22
117,"Desulfovibrio",5,0,9
118,"Campylobacter",1,0,22
119,"Helicobacter",2,0,12
120,"Aeromonas",2,0,12
121,"Anaerobiospirillum",5,0,11
122,"Ruminobacter",4,0,12
123,"Succinivibrio",5,0,9
124,"Rheinheimera",4,0,21
125,"Pantoea",3,0,13
126,"Bibersteinia",1,0,7
127,"Acinetobacter",6,0,8
128,"Alkanindiges",1,0,7
129,"Enhydrobacter",6,0,27
130,"Moraxella",3,0,13
131,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",2,0,22
132,"Lysobacter",4,0,12
133,"Pseudoxanthomonas",3,0,13
134,"Treponema",5,0,28
135,"Acholeplasma",4,0,12
136,"Akkermansia",4,0,7
