"from","to","weight","association"
1,2,0.752907689866866,1
1,3,0.665753024805522,1
2,3,0.480385230475236,1
1,5,0.527123695096347,1
2,5,0.550745697215943,1
3,5,0.473310068151827,1
4,5,0.130919217537217,-1
1,6,0.692734846664823,1
2,6,0.775916877709664,1
4,6,0.473299187345609,1
1,7,0.0736522770301348,-1
2,7,0.161726616719593,-1
3,7,0.0452236217976493,-1
6,7,0.140291991360709,-1
1,8,0.70319803464194,1
2,8,0.562879500631988,1
3,8,0.786603517450093,1
5,8,0.563413520344973,1
6,8,0.476214663979396,1
7,8,0.103058927419049,-1
1,9,0.145096318727231,-1
6,9,0.114665158015667,-1
7,9,0.66220091608526,1
1,10,0.533781627788628,1
3,10,0.80412610889217,1
7,10,0.0688627426312639,-1
8,10,0.65822829803035,1
5,11,0.635129907269186,1
8,11,0.547280054771932,1
9,11,0.607930198244665,1
2,12,0.487641338970269,1
3,12,0.486922667804764,1
5,12,0.474106955813044,1
8,12,0.569983445009511,1
11,12,0.55575054205545,1
3,13,0.153833964192449,-1
6,13,0.472022207805933,1
10,13,0.0969724523722717,-1
1,14,0.542879397590982,1
2,14,0.468923693611366,1
3,14,0.514469707600217,1
4,14,0.594362132493432,1
6,14,0.608924966287771,1
7,14,0.0564714777071075,-1
9,14,0.0491998584753667,-1
11,14,0.154687487225152,-1
1,15,0.111593005183763,-1
3,15,0.151859165196214,-1
6,15,0.142922339094371,-1
7,15,0.673379012462886,1
9,15,0.779594623047767,1
11,15,0.495312993812318,1
14,15,0.10372188213213,-1
1,16,0.06101202488996,-1
2,16,0.130171010430194,-1
3,16,0.0208557190985444,-1
5,16,0.0875808781500805,-1
7,16,0.636574529820867,1
8,16,0.031794785338331,-1
10,16,0.0417680757675415,-1
11,16,0.149546201519937,-1
12,16,0.131396332606962,-1
13,16,0.483417019237769,1
15,16,0.468034020994066,1
1,17,0.540456662013019,1
3,17,0.491353277938635,1
5,17,0.467277507284014,1
8,17,0.549386892790216,1
10,17,0.496803064725995,1
11,17,0.453627143822796,1
13,17,0.0821032387520696,-1
16,17,0.137495576748837,-1
1,18,0.634546313789169,1
2,18,0.480738167661632,1
3,18,0.754049984532356,1
4,18,0.564049657300473,1
6,18,0.51477521181751,1
7,18,0.0410560420256444,-1
8,18,0.665863602359148,1
9,18,0.142983664379117,-1
10,18,0.633789964851166,1
12,18,0.476942548803792,1
14,18,0.674777063114072,1
15,18,0.160230699784378,-1
16,18,0.0765559638075535,-1
1,19,0.48315122021151,1
3,19,0.733310082878452,1
7,19,0.0915775614254213,-1
8,19,0.648451016088783,1
10,19,0.759749879803356,1
13,19,0.102282845309403,-1
16,19,0.0698404919113772,-1
17,19,0.466929452405258,1
18,19,0.685437110165473,1
4,20,0.564210245198073,1
5,20,0.141088180955203,-1
6,20,0.541136283482757,1
9,20,0.15046321821816,-1
11,20,0.146185364058264,-1
12,20,0.150589541820454,-1
14,20,0.50691963622852,1
1,21,0.0973986655148324,-1
2,21,0.120613635065186,-1
3,21,0.122402457780918,-1
4,21,0.160925826743313,-1
6,21,0.0806794574630493,-1
7,21,0.721198556499831,1
9,21,0.765528153280713,1
11,21,0.453926275176421,1
14,21,0.0242578501397033,-1
15,21,0.622126423449142,1
16,21,0.465394736106084,1
18,21,0.0800802793062471,-1
5,22,0.572749633887099,1
9,22,0.475496816332833,1
11,22,0.576789090696765,1
12,22,0.671253927420249,1
20,22,0.0551125339878619,-1
3,23,0.0923991744356482,-1
7,23,0.703079677557877,1
9,23,0.548601737510716,1
10,23,0.0718161810499102,-1
13,23,0.519785929032747,1
14,23,0.102322726682987,-1
15,23,0.594854816840911,1
16,23,0.486760556573481,1
17,23,0.142745572704968,-1
18,23,0.0766771916671496,-1
19,23,0.0843132449990648,-1
21,23,0.508108172229094,1
22,23,0.532629989715595,1
3,24,0.560558704930628,1
7,24,0.0595639308744855,-1
9,24,0.110306458752629,-1
10,24,0.587088282900992,1
11,24,0.159777830892399,-1
14,24,0.593928030478998,1
15,24,0.148602358053426,-1
16,24,0.153858428073986,-1
18,24,0.589092450788356,1
19,24,0.583339838113018,1
21,24,0.092423909167422,-1
23,24,0.0624015062986265,-1
12,25,0.117535668581574,-1
15,25,0.120519604287889,-1
17,25,0.551421947748035,1
20,25,0.455993996278077,1
1,26,0.155801749550132,-1
3,26,0.0497983041211519,-1
4,26,0.122026653512722,-1
7,26,0.688135193015884,1
8,26,0.102772088034047,-1
10,26,0.0573881716964167,-1
14,26,0.0998938858408557,-1
16,26,0.586703761922143,1
18,26,0.0382182293020304,-1
19,26,0.034532467964017,-1
21,26,0.529192850964552,1
23,26,0.696074401235867,1
24,26,0.0552499089584363,-1
1,27,0.656657889366559,1
2,27,0.543985871802488,1
3,27,0.769883486591316,1
5,27,0.583583529967292,1
7,27,0.105726978192884,-1
8,27,0.836951905661116,1
10,27,0.656078684351817,1
11,27,0.555087110948328,1
12,27,0.602330120556467,1
16,27,0.0299747154787037,-1
17,27,0.476810181395203,1
18,27,0.652709193601708,1
19,27,0.633295874510709,1
22,27,0.471189821246723,1
26,27,0.111392885275317,-1
1,28,0.580046572153694,1
2,28,0.470828815280439,1
3,28,0.690416259941498,1
4,28,0.49552306494149,1
7,28,0.126205911761027,-1
8,28,0.725927715460608,1
10,28,0.603318110935872,1
11,28,0.522035420690671,1
12,28,0.544672620400749,1
14,28,0.456798533605148,1
16,28,0.0680020954266396,-1
17,28,0.511447292569733,1
18,28,0.683580351388786,1
19,28,0.665747917828898,1
23,28,0.157864834735007,-1
26,28,0.0750204017749582,-1
27,28,0.708265522622189,1
1,29,0.556951385159591,1
