"index","lable","cluster","hubs","degree"
1,"Enhydrobacter",3,0,0.626262626262626
2,"Rothia",3,0,0.494949494949495
3,"Arthrobacter",3,1,0.646464646464647
4,"Streptococcus",2,0,0.313131313131313
5,"Micrococcus",3,0,0.414141414141414
6,"Staphylococcus",2,0,0.434343434343434
7,"Atopococcus",1,0,0.676767676767677
8,"Acinetobacter",3,0,0.585858585858586
9,"Macrococcus",1,0,0.393939393939394
10,"Helicobacter",3,0,0.545454545454545
11,"Helcobacillus",3,0,0.343434343434343
12,"Elizabethkingia",3,0,0.343434343434343
13,"Corynebacterium",2,0,0.343434343434343
14,"Lacticigenium",3,0,0.515151515151515
15,"Bifidobacterium",1,0,0.525252525252525
16,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",1,0,0.636363636363636
17,"Deinococcus",3,0,0.474747474747475
18,"Sphingobium",3,1,0.666666666666667
19,"Rhizobium",3,0,0.555555555555556
20,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",2,0,0.292929292929293
21,"Millisia",1,0,0.505050505050505
22,"Succinispira",3,0,0.242424242424242
23,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",1,0,0.656565656565657
24,"Rheinheimera",3,0,0.454545454545455
25,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",2,0,0.222222222222222
26,"Granulicatella",1,0,0.606060606060606
27,"Brevundimonas",3,0,0.585858585858586
28,"Kocuria",3,0,0.585858585858586
29,"Novosphingobium",3,0,0.464646464646465
30,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",1,0,0.424242424242424
31,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",3,0,0.262626262626263
32,"Roseburia",1,0,0.616161616161616
33,"Atopostipes",1,0,0.585858585858586
34,"Weissella",2,0,0.232323232323232
35,"[Clostridium]",1,0,0.515151515151515
36,"Trueperella",2,0,0.474747474747475
37,"Caldimonas",2,0,0.232323232323232
38,"Ornithinimicrobium",3,0,0.373737373737374
39,"Gulbenkiania",3,1,0.616161616161616
40,"Alistipes",2,0,0.232323232323232
41,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",1,0,0.393939393939394
42,"Anaerococcus",1,0,0.595959595959596
43,"Methylotenera",3,0,0.565656565656566
44,"Deinobacterium",3,1,0.616161616161616
45,"Pelomonas",3,0,0.585858585858586
46,"Helcococcus",1,1,0.646464646464647
47,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",3,0,0.616161616161616
48,"Herbiconiux",2,0,0.303030303030303
49,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",3,0,0.373737373737374
50,"Aquaspirillum",2,0,0.313131313131313
51,"Albidovulum",2,0,0.282828282828283
52,"Treponema",1,0,0.494949494949495
53,"CF231",1,0,0.575757575757576
54,"Lactobacillus",1,0,0.575757575757576
55,"Butyrivibrio",1,0,0.505050505050505
56,"Succinivibrio",1,0,0.636363636363636
57,"Lactonifactor",2,0,0.242424242424242
58,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Bacteroides",3,0,0.555555555555556
59,"Aeromonas",3,0,0.505050505050505
60,"ph2",1,0,0.636363636363636
61,"Prevotella",1,0,0.616161616161616
62,"Sphingomonas",3,0,0.525252525252525
63,"Akkermansia",2,0,0.303030303030303
64,"Papillibacter",3,0,0.232323232323232
65,"Anaerobiospirillum",1,0,0.636363636363636
66,"Azospira",2,0,0.292929292929293
67,"Nitrobacteria",2,0,0.262626262626263
68,"Nocardioides",3,0,0.212121212121212
69,"Paracoccus",3,0,0.525252525252525
70,"Bibersteinia",3,0,0.515151515151515
71,"Kurthia",2,0,0.393939393939394
72,"Bergeyella",3,0,0.545454545454545
73,"Sphingobacterium",2,0,0.262626262626263
74,"GW-34",1,0,0.626262626262626
75,"Alkanindiges",3,0,0.545454545454545
76,"Aeriscardovia",1,0,0.525252525252525
77,"Sporobacter",3,0,0.222222222222222
78,"Oscillospira",1,0,0.565656565656566
79,"Sphaerotilus",2,0,0.272727272727273
80,"Barnesiella",1,0,0.585858585858586
81,"Lysobacter",2,0,0.212121212121212
82,"Dietzia",3,0,0.525252525252525
83,"Brevibacterium",1,0,0.585858585858586
84,"Devriesea",2,0,0.272727272727273
85,"Faecalibacterium",3,0,0.606060606060606
86,"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_Vitreoscilla",3,0,0.585858585858586
87,"Aurantimonas",3,0,0.565656565656566
88,"Ruminobacter",1,0,0.343434343434343
89,"Pseudoxanthomonas",2,0,0.333333333333333
90,"Massilia",1,0,0.343434343434343
91,"Pediococcus",1,0,0.595959595959596
92,"Eggerthella",2,0,0.252525252525253
93,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",2,0,0.262626262626263
94,"Pantoea",2,0,0.333333333333333
95,"Syntrophococcus",2,0,0.181818181818182
96,"Ornithinicoccus",2,0,0.232323232323232
97,"Gaiella",2,0,0.242424242424242
98,"Isobaculum",1,0,0.585858585858586
99,"Gallicola",1,0,0.525252525252525
100,"Anaerorhabdus",2,0,0.242424242424242
