"from","to","weight","association"
3,4,0.500035749556343,1
3,5,0.536773007096952,1
1,6,0.495230502331215,1
3,6,0.139092217762203,-1
5,8,0.517810511532844,1
3,9,0.539355345273862,1
4,9,0.499376596929393,1
5,9,0.562363930212337,1
6,9,0.161561174862375,-1
2,10,0.45270324749664,1
5,10,0.592591546693886,1
9,10,0.479864948169588,1
6,11,0.510408302991216,1
1,12,0.507903476588514,1
6,12,0.680364645146401,1
7,12,0.500525329311101,1
11,12,0.496761834088377,1
1,13,0.467774297000593,1
6,13,0.51126134944637,1
9,13,0.141259832560083,-1
12,13,0.539554980821981,1
3,15,0.551687509180288,1
4,15,0.464215516642589,1
6,15,0.130893417921133,-1
9,15,0.504208235244026,1
11,15,0.148778551709272,-1
14,16,0.456659832748568,1
1,17,0.500282594338266,1
10,17,0.453074054627816,1
6,18,0.573130375913963,1
11,18,0.471268895536432,1
12,18,0.517152121519876,1
15,18,0.15325593849749,-1
11,19,0.4729456726074,1
18,19,0.55370844530793,1
5,20,0.471456347511317,1
10,20,0.503204890928585,1
17,20,0.469722974270186,1
2,21,0.456495097443203,1
3,21,0.512947494924715,1
4,21,0.45856715073585,1
5,21,0.584224342886383,1
9,21,0.535932905020729,1
10,21,0.457729979409476,1
15,21,0.471037028599065,1
17,21,0.501496262560828,1
19,22,0.149167019332614,-1
1,23,0.151791523985251,-1
5,24,0.495586021229452,1
8,24,0.467081995872798,1
9,24,0.484677355539607,1
12,25,0.496703187395153,1
18,25,0.530140969891483,1
19,25,0.454268299123124,1
21,25,0.137742150150457,-1
3,26,0.551759260007099,1
5,26,0.527923197529386,1
6,26,0.161589800982812,-1
8,26,0.458570846331487,1
9,26,0.562390008250719,1
15,26,0.522007650888342,1
18,26,0.10705953128695,-1
21,26,0.573200097194744,1
1,28,0.151649164133421,-1
11,28,0.161493804480886,-1
23,28,0.656664594887556,1
22,29,0.486294875107339,1
6,30,0.514440737152663,1
11,30,0.578758938841734,1
12,30,0.453704682279007,1
15,30,0.147240736619053,-1
18,30,0.619067676844388,1
19,30,0.576612073156411,1
26,30,0.159776685018336,-1
3,31,0.142842431956229,-1
6,31,0.55247605865264,1
15,31,0.161941444523422,-1
21,31,0.0996045417479634,-1
26,31,0.145934998700722,-1
6,32,0.502739633491728,1
11,32,0.505661521142606,1
12,32,0.546227277914741,1
18,32,0.570621501873692,1
19,32,0.506050887717382,1
25,32,0.488762313583108,1
26,32,0.140305616325853,-1
30,32,0.540736574947525,1
15,33,0.480678318479697,1
18,33,0.153869459937516,-1
28,33,0.499593799060722,1
5,34,0.143387356922657,-1
9,34,0.159454633939531,-1
13,34,0.456640976088827,1
18,34,0.453789367912853,1
21,34,0.147928889018695,-1
24,34,0.158034762807026,-1
25,34,0.462246539689897,1
15,35,0.522390143262809,1
33,35,0.527021716419137,1
2,36,0.459670733686993,1
7,36,0.458003288795585,1
