"index","lable","cluster","hubs","degree","ev","between","close"
1,"Macrococcus",4,0,0.0707070707070707,0.137527010316864,0.0157894736842105,0.732701398078603
2,"Staphylococcus",2,0,0.0909090909090909,0.115259918220627,0.0699561403508772,0.725362911967552
3,"Elizabethkingia",1,0,0.131313131313131,0.538829645839338,0.0166666666666667,0.867646333833718
4,"Streptococcus",1,0,0.0707070707070707,0.241580799953177,0.00657894736842105,0.75476182974071
5,"Enhydrobacter",1,1,0.242424242424242,1,0.0530701754385965,0.943215480757777
6,"Atopococcus",4,0,0.242424242424242,0.643354589459391,0.0581140350877193,0.974296809679131
7,"Corynebacterium",4,0,0.111111111111111,0.282305400539126,0.0258771929824561,0.760142519590787
8,"Arthrobacter",1,0,0.111111111111111,0.505425077091065,0.0081140350877193,0.762580994559278
9,"Acinetobacter",1,1,0.202020202020202,0.773464286662158,0.0245614035087719,0.922567506809643
10,"Rothia",1,0,0.101010101010101,0.347054852161584,0.0245614035087719,0.804478239161155
11,"Micrococcus",4,0,0.101010101010101,0.246700257659757,0.00153508771929825,0.773731599742841
12,"Millisia",4,0,0.171717171717172,0.509729057105897,0.031359649122807,0.920779306223699
13,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",4,0,0.111111111111111,0.310808236909755,0.00307017543859649,0.792988044386936
14,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",2,0,0.0303030303030303,0.00997122206850273,0.00504385964912281,0.499760116702226
15,"Alkanindiges",7,0,0.202020202020202,0.556716309523976,0.0848684210526316,0.913647854668449
16,"Bifidobacterium",2,0,0.0303030303030303,0.00167228411912205,0.0037280701754386,0.446224114409122
17,"Helcobacillus",1,0,0.0606060606060606,0.122006850678598,0.0298245614035088,0.726346367123569
18,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",4,0,0.191919191919192,0.404537953995691,0.0635964912280702,0.909992044899243
19,"Succinispira",4,0,0.161616161616162,0.224091715996828,0.0921052631578947,0.821184199166772
20,"Deinococcus",1,0,0.0404040404040404,0.145564927710369,0.000657894736842105,0.658527179289576
21,"Kocuria",1,0,0.282828282828283,0.742164565449433,0.0947368421052632,0.963507456800872
22,"Lacticigenium",6,0,0.0202020202020202,0.00572042695706468,0.0208333333333333,0.468907924407947
23,"Bordetella",7,0,0.0808080808080808,0.0447893516863454,0.0142543859649123,0.685213954689759
24,"Helicobacter",1,1,0.191919191919192,0.873642485176365,0.0223684210526316,0.871410255411361
25,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",4,0,0.0909090909090909,0.23776114111379,0.00175438596491228,0.806842156142267
26,"Rhizobium",1,0,0.181818181818182,0.621851610937503,0.0192982456140351,0.898569095979387
27,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",2,0,0.0101010101010101,0.000313057498370347,0,0.341892674362909
28,"Ochrobactrum",7,0,0.121212121212121,0.08620497724717,0.0221491228070175,0.719851997122523
29,"Novosphingobium",6,0,0.0101010101010101,0.000472803823818446,0,0.376260744820775
30,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",4,0,0.121212121212121,0.300679964183866,0.0103070175438596,0.831092568510055
31,"Granulicatella",4,0,0.191919191919192,0.472224627739315,0.0508771929824561,0.917630137149122
32,"[Clostridium]",4,0,0.191919191919192,0.475583035623955,0.081140350877193,0.90756239088518
33,"Nonlabens",7,0,0.101010101010101,0.167328668481136,0.00986842105263158,0.751889395199647
34,"Prevotella",3,0,0.131313131313131,0.277612083963927,0.0177631578947368,0.793830117726492
35,"Lactococcus",7,0,0.0707070707070707,0.152313384547718,0,0.714212514080372
36,"Ornithinimicrobium",2,0,0.0404040404040404,0.0357805225467722,0.0280701754385965,0.62352617327228
37,"Trueperella",4,0,0.101010101010101,0.353464808908101,0.00043859649122807,0.778622553312592
38,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",1,0,0.202020202020202,0.490420984859813,0.0175438596491228,0.849017306811185
39,"Sphingobium",1,0,0.0909090909090909,0.439264822135367,0.0212719298245614,0.741145433659405
40,"Bergeyella",1,0,0.121212121212121,0.632089723845716,0.000219298245614035,0.803363250205694
41,"Alistipes",4,0,0.0303030303030303,0.0260279607404789,0.00789473684210526,0.585012953168006
42,"Bdellovibrio",7,0,0.131313131313131,0.21032632313982,0.0105263157894737,0.778548900492469
43,"Atopostipes",4,0,0.141414141414141,0.34944478606421,0.0614035087719298,0.843391912437311
44,"Roseburia",4,0,0.191919191919192,0.474574039764474,0.0530701754385965,0.905092709912664
45,"Rheinheimera",1,0,0.0909090909090909,0.566874204368301,0.000219298245614035,0.7576609409083
46,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",4,0,0.111111111111111,0.208038835773366,0.0157894736842105,0.813629368739366
47,"Brevundimonas",1,1,0.252525252525253,0.972865436520104,0.049780701754386,0.952824315553356
48,"Lactobacillus",2,0,0.0303030303030303,0.0122806456055124,0.0208333333333333,0.490316596366209
49,"Kerstersia",7,0,0.0707070707070707,0.0342581414626581,0.012280701754386,0.628444387634849
50,"Dietzia",2,0,0.0101010101010101,0.00303698303433764,0,0.465970587321066
51,"Treponema",3,0,0.0808080808080808,0.143846864957488,0.00723684210526316,0.736488445529597
52,"Collinsella",3,0,0.0707070707070707,0.0660273208454461,0.0116228070175439,0.675872147477756
53,"Pedobacter",7,0,0.141414141414141,0.223776377765419,0.0203947368421053,0.788861568554206
54,"GW-34",4,0,0.232323232323232,0.66177226532335,0.0289473684210526,0.937963522944065
55,"Weissella",2,0,0.0101010101010101,0.00303036135903225,0,0.435114492543868
56,"ph2",4,0,0.303030303030303,0.770489713052254,0.0717105263157895,0.983765643931127
57,"Gulbenkiania",1,1,0.212121212121212,0.946115169619559,0.0182017543859649,0.895781627998481
58,"CF231",3,0,0.0808080808080808,0.166772546290184,0.00679824561403509,0.727801660993424
59,"Aeromonas",1,0,0.181818181818182,0.681704502113462,0.0125,0.831252572445474
60,"Lactonifactor",4,0,0.141414141414141,0.241518086182171,0.0432017543859649,0.827438248547981
61,"Caldimonas",1,0,0.0101010101010101,0.00333302140697342,0,0.436626209884377
62,"Kribbia",4,0,0.0707070707070707,0.246648740963856,0,0.721094605551432
63,"Methylotenera",1,0,0.131313131313131,0.714176586544278,0.00087719298245614,0.814621076879123
64,"Aurantimonas",1,0,0.131313131313131,0.363677423069176,0.0418859649122807,0.790438049155857
65,"Succinivibrio",3,0,0.121212121212121,0.169542333002424,0.0392543859649123,0.746701976553355
66,"Desulfovibrio",3,0,0.0707070707070707,0.0761209583656421,0.0263157894736842,0.708979294388896
67,"Dysgonomonas",7,0,0.0505050505050505,0.0305110143374658,0,0.607069877194496
68,"Oscillospira",3,0,0.0808080808080808,0.127095395394134,0.0135964912280702,0.750159822256195
69,"Lysobacter",4,0,0.0303030303030303,0.0245737884303253,0,0.528070636078683
70,"Nocardioides",2,0,0.0303030303030303,0.0556743001345569,0.0037280701754386,0.595917865990436
71,"Helcococcus",4,0,0.121212121212121,0.372086002401995,0.00482456140350877,0.805787320470588
72,"Selenomonas",3,0,0.0303030303030303,0.0234222284793483,0.000657894736842105,0.58660526574524
73,"Serinibacter",4,0,0.0808080808080808,0.280386602198613,0.000657894736842105,0.748320370807602
74,"Papillibacter",4,0,0.0808080808080808,0.0862495436034237,0.00679824561403509,0.708232090149826
75,"Sporobacter",4,0,0.101010101010101,0.135654162587668,0.0166666666666667,0.769911033294748
76,"Sphingobacterium",1,0,0.151515151515152,0.567428097955128,0.00460526315789474,0.813793106697017
77,"Pseudoxanthomonas",7,0,0.151515151515152,0.203996511126084,0.00789473684210526,0.777596061397451
78,"Anaerobiospirillum",4,0,0.131313131313131,0.290219342817938,0.0103070175438596,0.778197180663824
79,"Dorea",3,0,0.0404040404040404,0.0225711522203361,0.00460526315789474,0.580627760801919
80,"[Prevotella]",3,0,0.0202020202020202,0.00774255890809104,0,0.524553463014519
81,"Eggerthella",2,0,0.0202020202020202,0.00913283814007929,0.0105263157894737,0.525032959944942
82,"Pelomonas",1,0,0.131313131313131,0.718635316822893,0,0.806456905797678
83,"Sphingomonas",1,0,0.0303030303030303,0.084267586964814,0,0.634409651758523
84,"Deinobacterium",1,0,0.0909090909090909,0.328939821857264,0.00482456140350877,0.723084767479885
85,"Akkermansia",4,0,0.0202020202020202,0.0255599911009419,0,0.570724163299763
86,"Brevibacterium",7,0,0.0404040404040404,0.0220016156388741,0.0138157894736842,0.570101392807737
87,"Aeriscardovia",4,0,0.0505050505050505,0.184631508837613,0,0.665034138017193
88,"Isobaculum",5,0,0.0303030303030303,0.0376853342760626,0.0208333333333333,0.611671597130537
89,"Pediococcus",7,0,0.0202020202020202,0.00448272601157745,0,0.483678179686925
90,"Anaerococcus",5,0,0.0101010101010101,0.00297944291065602,0,0.453923283914333
91,"Campylobacter",3,0,0.131313131313131,0.311428314812717,0.00328947368421053,0.737277876203017
92,"Wautersiella",4,0,0.0404040404040404,0.0753225702063657,0.00263157894736842,0.648502900914769
93,"Arcobacter",7,0,0.0404040404040404,0.0550712644009603,0.00131578947368421,0.588992138192961
94,"Snodgrassella",7,0,0.101010101010101,0.166192321495237,0.0037280701754386,0.736519062086987
95,"Peredibacter",7,0,0.101010101010101,0.17450387879496,0.00241228070175439,0.741986547359845
96,"Xanthobacter",7,0,0.0505050505050505,0.0310618867200659,0.00307017543859649,0.613416781858386
97,"Kurthia",4,0,0.0101010101010101,0.0371949013074107,0,0.586182049379453
