"index","lable","cluster","hubs","degree","ev","between","close"
1,"Macrococcus",6,0,2,0.170501948062766,0.0132692747654999,0.403380925908885
2,"Staphylococcus",4,0,5,0.119443505265167,0.069778082818577,0.5082865562742
3,"Elizabethkingia",3,0,3,0.212367921492759,0.00320292839167239,0.436131548914711
4,"Streptococcus",3,0,1,0.094205320793553,0,0.364081392404654
5,"Enhydrobacter",5,0,5,0.416141050378406,0.0404941660947152,0.485323271243508
6,"Atopococcus",6,0,3,0.047582818835398,0.0304278197208877,0.462199567242328
7,"Corynebacterium",1,0,4,0.0794819270693045,0.0313429421185083,0.451513354830154
8,"Arthrobacter",3,0,3,0.235854953600042,0.0139556165637154,0.452763057272841
9,"Acinetobacter",3,0,8,0.457723729432075,0.0592541752459391,0.508998402897465
10,"Rothia",5,0,4,0.281378044460565,0.030885380919698,0.466582884519465
11,"Micrococcus",6,0,5,0.0523078796223582,0.0546785632578357,0.480062135574857
12,"Millisia",6,0,4,0.0642378493976298,0.0432395332875772,0.46062920802332
13,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",2,0,3,0.0328574712283145,0.020132692747655,0.444684264330988
14,"Alkanindiges",3,0,5,0.252474100245561,0.0537634408602151,0.483935727077485
15,"Bifidobacterium",4,0,1,0.00578827295099089,0,0.321800014743624
16,"Helcobacillus",5,0,3,0.196468700577482,0.0196751315488447,0.423863379942496
17,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",2,0,5,0.0677998208100494,0.0501029512697323,0.505457000304372
18,"Succinispira",8,0,7,0.106403490746654,0.0567375886524823,0.494226367328304
19,"Deinococcus",3,0,3,0.0600000243214393,0.0155570807595516,0.417833210746957
20,"Kocuria",3,0,4,0.141471806500571,0.0370624571036376,0.497469484432406
21,"Lacticigenium",4,0,2,0.0330445753578936,0.00457561198810341,0.374407680072588
22,"Bordetella",1,0,1,0.00322678240726206,0,0.298709403904422
23,"Helicobacter",5,1,6,0.976461569128465,0.0272248913292153,0.491317948595151
24,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",2,0,5,0.074320480171171,0.0672614962251201,0.515342450005647
25,"Rhizobium",3,0,3,0.204986059865627,0.00549073438572409,0.433540648795263
26,"Ochrobactrum",1,0,2,0.0104837215754153,0.0212765957446809,0.354656023837633
27,"Novosphingobium",3,0,1,0.0414307834511157,0,0.359756632814373
28,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",2,0,3,0.0341313008752855,0.0169297643559826,0.449292902412126
29,"Granulicatella",8,0,6,0.0841778641774681,0.049645390070922,0.503037101043627
30,"[Clostridium]",2,0,3,0.0465250303238403,0.0137268359643102,0.465123479546217
31,"Nonlabens",7,0,4,0.0738865769379052,0.0139556165637154,0.43009894673223
32,"Prevotella",2,0,3,0.0569707473258791,0.021505376344086,0.468488316013542
33,"Lactococcus",7,0,2,0.0604638672951256,0.00663463738274994,0.402203568595468
